N	3gram	Tiupa_Anal	Vvedenie
1	в том что	12	15
2	о том что	7	13
3	не может быть	2	10
4	тем не менее	3	9
5	в то же	7	6
6	то же время	7	6
7	во всяком случае	6	5
8	с другой стороны	7	5
9	в том чтобы	2	5
10	по крайней мере	5	4
11	не только в	5	4
12	в данном случае	11	4
13	так или иначе	5	4
14	в этом отношении	3	4
15	с одной стороны	3	4
16	по отношению к	9	4
17	в отличие от	5	4
18	с точки зрения	2	4
19	в известном смысле	2	3
20	той или иной	6	3
21	можно сказать что	2	3
22	в свое время	4	3
23	дело в том	3	3
24	сама по себе	3	3
25	и то что	2	3
26	что несмотря на	2	2
27	тем или иным	2	2
28	состоит в том	2	2
29	одной и той	2	2
30	и той же	2	2
31	сам по себе	2	2
32	подобно тому как	3	2
33	в соответствии с	2	2
34	и того же	4	2
35	уже было сказано	2	2
36	одного и того	4	2
37	в свою очередь	7	2
