N	3gram	Bakhtin_Fr	Istorich
1	с другой стороны	2	46
2	до сих пор	3	30
3	мы видим что	2	30
4	с одной стороны	3	28
5	в том что	4	25
6	о том что	4	22
7	мы имеем в	2	19
8	в связи с	2	17
9	после того как	6	15
10	о том как	3	15
11	по отношению к	3	14
12	мы уже видели	2	13
13	как мы видели	4	12
14	но и в	2	12
15	как и в	2	10
16	можно было бы	2	10
17	более или менее	3	9
18	как мы увидим	2	9
19	таким образом и	2	8
20	что у него	2	8
21	в большинстве случаев	9	7
22	то что в	2	7
23	так и в	3	5
24	в том числе	4	5
25	со всех сторон	2	5
26	до наших дней	2	5
27	в другом месте	3	5
28	но уже в	2	4
29	с точки зрения	4	4
30	мы видим здесь	3	4
31	все то что	3	3
32	но и для	2	3
33	не только с	2	3
34	как один из	2	3
35	мы уже говорили	12	3
36	дело в том	2	3
37	в одном из	2	3
38	мы сейчас увидим	2	3
39	за то что	4	3
40	таким образом в	2	3
41	о загробном мире	2	3
42	в средние века	9	3
43	большей или меньшей	2	2
44	новые и новые	2	2
45	в самом деле	3	2
46	сам по себе	2	2
47	но все это	2	2
48	как мы видим	5	2
49	это одна из	4	2
50	все новые и	2	2
51	в преисподнюю в	3	2
52	в последней главе	4	2
53	и прежде всего	2	2
54	на первый план	2	2
55	того как он	2	2
56	том числе и	2	2
57	в свою очередь	3	2
58	в этой роли	2	2
59	вместо того чтобы	2	2
