N	3gram	Losev_Dial	EvropaiE
1	с точки зрения	25	16
2	в то же	3	15
3	то же время	3	14
4	с одной стороны	3	8
5	и в то	2	8
6	в том что	12	6
7	этой точки зрения	4	5
8	с этой точки	4	5
9	так же как	2	5
10	бы то ни	2	4
11	той или иной	2	4
12	и в этом	4	4
13	того или иного	3	4
14	само по себе	8	4
15	и прежде всего	6	3
16	во всяком случае	3	3
17	в этом отношении	2	3
18	из того что	2	2
19	есть не только	3	2
20	в данном случае	3	2
21	с другой стороны	3	2
22	на то что	3	2
23	и в частности	2	2
24	не говоря уже	6	2
25	не может быть	12	2
