N	2gram	Berdyaev_M	Sotsiolo
1	все это	6	7
2	в том	9	5
3	в этом	34	5
4	более чем	3	3
5	для нас	3	3
6	не только	42	3
7	в его	10	3
8	не в	16	3
9	и в	61	3
10	литературы и	2	2
11	это и	7	2
12	она может	2	2
13	должна быть	7	2
14	отношению к	4	2
15	по отношению	4	2
16	идей и	3	2
17	по природе	2	2
18	только в	7	2
19	что в	12	2
20	том что	7	2
21	было бы	11	2
22	то же	4	2
23	как будто	4	2
24	и что	4	2
25	конце концов	3	2
26	то что	10	2
27	как бы	10	2
28	но и	34	2
29	в конце	11	2
30	за пределы	5	2
31	и мы	2	2
32	может быть	42	2
33	ведь это	2	2
