N	3gram	Bakhtin_Pr	Narrotol
1	в том что	6	18
2	по отношению к	5	11
3	о том что	3	9
4	в то же	8	8
5	той или иной	2	8
6	тем не менее	2	8
7	в соответствии с	2	8
8	то же время	8	8
9	не может быть	8	8
10	можно сказать что	6	6
11	но и в	2	5
12	к себе самому	6	3
13	и не может	6	3
14	на себя внимание	2	3
15	с точки зрения	13	3
16	а также и	3	3
17	до сих пор	8	3
18	в зависимости от	3	3
19	на то что	2	3
20	дело в том	3	3
21	все то что	2	2
22	более или менее	3	2
23	как бы в	2	2
24	по своей природе	3	2
25	хотя и не	3	2
26	можно было бы	2	2
27	в себе самом	2	2
28	как своего рода	2	2
29	времени и пространства	2	2
30	а между тем	2	2
31	и в то	3	2
