N	3gram	Propp_Isto	Morfolog
1	и т д	25	60
2	в этих случаях	12	14
3	мы видим что	4	11
4	в этом случае	4	10
5	не может быть	5	9
6	таким образом мы	3	7
7	по отношению к	3	7
8	тем не менее	4	6
9	в иное царство	6	6
10	с другой стороны	17	5
11	но все же	3	4
12	в том что	7	4
13	образом мы видим	3	4
14	имеем в сказке	5	4
15	т д но	2	4
16	независимо от того	2	4
17	связи с сватовством	2	4
18	о том что	9	3
19	то время как	4	3
20	в то время	4	3
21	случай мы имеем	5	3
22	как и в	3	3
23	на первый взгляд	5	3
24	мы имеем в	7	2
25	в тех случаях	7	2
26	и в других	2	2
27	в сказке о	4	2
28	во всяком случае	3	2
29	то что в	4	2
30	дело не в	3	2
31	мы увидим что	2	2
32	в данном случае	7	2
33	во время боя	4	2
34	но так как	4	2
35	более или менее	3	2
36	мы не будем	2	2
37	с того что	3	2
38	т д в	3	2
39	начинается с того	3	2
40	мы уже видели	3	2
41	точно так же	2	2
42	тех случаях когда	6	2
43	есть и другие	2	2
44	о том как	3	2
45	отсюда видно что	5	2
46	можно было бы	3	2
47	друг на друга	2	2
48	с одной стороны	11	2
