N	3gram	Potebnia_M	Hudozhes
1	по отношению к	10	10
2	в том что	22	8
3	в то же	8	7
4	то же время	8	7
5	с другой стороны	4	6
6	более или менее	6	6
7	для того чтобы	5	5
8	не может быть	7	4
9	одно и то	7	3
10	и то же	7	3
11	с точки зрения	2	3
12	с одной стороны	4	3
13	тем не менее	7	3
14	подобно тому как	3	3
15	в этом смысле	2	3
16	можно сказать что	3	3
17	и того же	2	3
18	и в самом	3	3
19	одного и того	2	3
20	в таком случае	2	2
21	том что он	2	2
22	к тому что	3	2
23	сама по себе	3	2
24	в свою очередь	6	2
