N	2gram	Bakhtin_Fr	Tvorches
1	и в	68	56
2	как бы	7	41
3	в его	21	37
4	в романе	24	34
5	в то	14	30
6	то же	14	25
7	не только	21	24
8	но в	20	24
9	в году	11	24
10	же время	13	24
11	то есть	31	23
12	и его	26	23
13	и не	25	23
14	а в	3	23
15	как и	17	23
16	в этом	28	22
17	в том	12	21
18	что в	14	21
19	том что	6	19
20	он не	11	19
21	может быть	10	19
22	потому что	3	19
23	у него	14	18
24	то что	11	18
25	что он	7	17
26	все это	6	17
27	и на	16	17
28	таким образом	22	17
29	никогда не	2	16
30	прежде всего	23	16
31	как в	4	16
32	при этом	5	16
33	не может	5	16
34	но и	17	16
35	в творчестве	5	16
36	xix века	5	15
37	в этой	15	15
38	с его	6	15
39	но это	5	15
40	в мире	6	15
41	и с	15	15
42	это не	5	14
43	и даже	7	14
44	там же	2	13
45	о том	5	13
46	а не	6	13
47	в целом	3	12
48	в котором	3	12
49	все же	6	11
50	в своей	11	11
51	для него	7	11
52	в конце	8	10
53	не в	2	10
54	в основном	7	10
55	так и	8	10
56	уже в	4	10
57	представление о	2	10
58	но не	4	10
59	в самом	6	10
60	только в	9	10
61	как будто	2	10
62	в свою	3	9
63	в нем	12	9
64	один из	9	9
65	а затем	2	9
66	и от	4	9
67	в своих	7	9
68	даже в	4	8
69	так же	3	8
70	в себе	5	8
71	в духе	11	8
72	в их	6	8
73	одной из	3	8
74	не менее	2	8
75	это уже	2	8
76	на его	4	8
77	так как	7	8
78	вовсе не	18	8
79	к этому	6	8
80	об этом	3	8
81	еще не	3	8
82	одним из	2	8
83	именно в	5	8
84	хотя и	2	8
85	вместе с	4	8
86	он видит	2	7
87	влияние на	2	7
88	самом деле	5	7
89	своего рода	5	7
90	в чем	3	7
91	например в	2	7
92	в дальнейшем	4	7
93	и он	2	7
94	в которой	6	7
95	в этих	8	7
96	в кн	5	7
97	уже не	2	7
98	и сам	5	7
99	в книге	5	6
100	его в	7	6
101	и далее	3	6
102	и все	16	6
103	на эту	2	6
104	все эти	16	6
105	и ее	3	6
106	одна из	3	6
107	хотя бы	2	6
108	xx века	5	6
109	и как	5	6
110	если бы	3	6
111	еще более	5	6
112	с ним	3	6
113	начиная с	3	5
114	ничего не	4	5
115	из всех	4	5
116	до конца	10	5
117	в одной	3	5
118	по отношению	3	5
119	и у	2	5
120	и других	7	5
121	том же	4	5
122	как он	4	5
123	в виде	2	5
124	это как	2	5
125	в своем	11	5
126	не так	3	5
127	в них	19	5
128	и это	5	5
129	быть может	2	5
130	всего романа	2	5
131	что и	3	5
132	отметить что	2	5
133	в ее	5	5
134	в ту	8	5
135	мы не	3	5
136	и по	4	5
137	что они	3	5
138	в истории	5	5
139	во всей	3	5
140	тот же	4	5
141	что это	4	5
142	все время	3	5
143	с этим	2	5
144	из этой	3	5
145	в первой	3	5
146	дело не	3	5
147	мысли и	2	5
148	между тем	3	5
149	и другие	4	5
150	отношению к	2	5
151	в литературе	10	5
152	что у	2	5
153	с другой	8	5
154	что я	2	5
155	из них	8	5
156	не было	7	5
157	в таком	2	5
158	но его	2	5
159	перед нами	4	4
160	в плане	3	4
161	и потому	6	4
162	не был	4	4
163	в произведениях	2	4
164	роль в	7	4
165	это и	4	4
166	к роману	3	4
167	только на	4	4
168	в частности	4	4
169	отличие от	3	4
170	того что	3	4
171	что все	2	4
172	к нему	4	4
173	года и	2	4
174	но только	2	4
175	он говорит	6	4
176	точки зрения	8	4
177	так в	4	4
178	что на	2	4
179	сих пор	6	4
180	xix веке	3	4
181	на землю	2	4
182	с ними	4	4
183	мы видим	9	4
184	о его	2	4
185	считает что	3	4
186	было в	2	4
187	который в	2	4
188	в основе	7	4
189	как известно	3	4
190	говорит о	2	4
191	и мы	2	4
192	тут же	3	4
193	но эти	4	4
194	так сказать	7	4
195	по преимуществу	3	4
196	дело в	4	4
197	особенно в	6	4
198	себя в	2	4
199	на свете	2	4
200	т ii	2	4
201	и одновременно	3	4
202	превращается в	4	4
203	тем что	6	4
204	в xix	3	4
205	и наконец	5	4
206	и есть	5	4
207	времени и	5	4
208	такой же	3	4
209	в отличие	3	4
210	и более	2	4
211	связан с	6	4
212	далеко не	3	4
213	еще в	4	4
214	этой книги	2	4
215	к жизни	2	4
216	с точки	4	4
217	той же	9	4
218	связана с	4	4
219	и тут	2	4
220	но он	9	4
221	до сих	6	4
222	его к	3	3
223	на самом	7	3
224	вплоть до	5	3
225	в другом	3	3
226	отношение к	11	3
227	друг друга	2	3
228	к которому	2	3
229	в виду	8	3
230	со стороны	2	3
231	в области	5	3
232	в один	2	3
233	мы знаем	3	3
234	мы находим	3	3
235	так например	2	3
236	о котором	2	3
237	в свете	3	3
238	свидетельствует о	2	3
239	связь с	6	3
240	в ней	6	3
241	одного из	3	3
242	другой стороны	5	3
243	всяком случае	2	3
244	в образах	8	3
245	этого он	2	3
246	и др	9	3
247	должны быть	2	3
248	и до	14	3
249	там где	6	3
250	можно сказать	2	3
251	как мы	18	3
252	да и	2	3
253	сказать что	3	3
254	то в	2	3
255	из этих	2	3
256	в начале	5	3
257	это в	4	3
258	и еще	3	3
259	больше чем	3	3
260	в этот	2	3
261	во второй	2	3
