N	2gram	Tiupa_Vved	SlovoVZh
1	не может	14	16
2	может быть	25	14
3	и его	9	13
4	как бы	8	13
5	и в	23	12
6	таким образом	6	12
7	в нашем	9	11
8	отношению к	11	11
9	по отношению	11	11
10	и не	24	10
11	если бы	10	9
12	прежде всего	11	8
13	для нас	4	7
14	слова и	3	6
15	при этом	43	6
16	в том	21	6
17	в нем	9	6
18	только в	9	6
19	в ней	5	6
20	никогда не	6	5
21	как в	8	5
22	что мы	2	5
23	в жизни	7	5
24	в виду	3	5
25	можно сказать	6	5
26	но в	14	5
27	том что	16	5
28	то же	8	5
29	как и	21	5
30	героя и	5	5
31	должна быть	3	5
32	хотя бы	2	5
33	а не	31	5
34	то что	9	5
35	и др	2	5
36	отнюдь не	14	5
37	в самом	6	4
38	в этом	27	4
39	не только	32	4
40	в литературе	2	4
41	на самом	5	4
42	что не	2	4
43	жизни и	8	4
44	не в	12	4
45	высказывания как	3	4
46	с другой	10	4
47	все же	10	4
48	к нему	2	4
49	и к	2	4
50	так и	14	4
51	и на	5	4
52	уже не	7	4
53	отношение к	5	4
54	в них	4	3
55	по себе	2	3
56	о том	7	3
57	и для	8	3
58	или не	3	3
59	ее и	2	3
60	да и	3	3
61	так называемой	2	3
62	не к	4	3
63	в котором	11	3
64	и наконец	2	3
65	так же	2	3
66	в своей	10	3
67	мы не	6	3
68	точка зрения	3	3
69	в себе	15	3
70	еще не	8	3
71	здесь не	2	3
72	все это	3	3
73	только на	2	3
74	и ее	2	3
75	между тем	3	3
76	и с	2	3
77	бы мы	2	3
78	точек зрения	2	3
79	не менее	4	3
80	с ним	3	3
81	быть и	2	3
82	в пределах	3	3
83	и по	3	3
84	самом деле	6	3
85	того что	7	3
86	тем не	3	3
87	и более	5	3
88	но и	31	3
89	для него	5	3
90	ясно что	2	3
91	едва ли	4	2
92	в особенности	3	2
93	в его	9	2
94	данном случае	15	2
95	к его	5	2
96	имеет место	6	2
97	до конца	5	2
98	и здесь	2	2
99	что в	6	2
100	к ним	4	2
101	а к	3	2
102	стороны и	4	2
103	не есть	2	2
104	и притом	3	2
105	место в	2	2
106	ничего не	3	2
107	что и	6	2
108	это не	7	2
109	и все	8	2
110	слова но	2	2
111	тому же	6	2
112	в своем	9	2
113	дело с	4	2
114	бы не	3	2
115	все они	2	2
116	в данном	22	2
117	слово это	2	2
118	из него	2	2
119	зависит от	3	2
120	мы имеем	8	2
121	и что	2	2
122	в то	5	2
123	в событии	6	2
124	те же	2	2
125	уже в	2	2
126	по природе	2	2
127	в этих	5	2
128	одной стороны	9	2
129	но это	4	2
130	он не	6	2
131	в какой	4	2
132	подчеркнуть что	5	2
133	точку зрения	2	2
134	и потому	2	2
135	оно не	2	2
136	но не	9	2
137	как это	2	2
138	мы можем	2	2
139	могут быть	5	2
140	в чем	2	2
141	между собой	2	2
142	нет ничего	2	2
143	быть только	2	2
144	значения и	2	2
145	с одной	9	2
146	к этому	3	2
147	же самое	2	2
148	другой стороны	3	2
149	вместе с	2	2
150	на него	3	2
