N	3gram	Trubetskoy	StatiiOP
1	в том что	3	47
2	о том что	4	29
3	в этом отношении	2	24
4	для того чтобы	5	19
5	до сих пор	5	19
6	с точки зрения	6	14
7	во всяком случае	6	13
8	в то же	2	9
9	то же время	2	9
10	на то что	2	9
11	вместе с тем	8	9
12	тем не менее	3	8
13	в конце концов	3	7
14	и в этом	2	7
15	но все же	4	7
16	по крайней мере	5	6
17	так же как	3	6
18	с самого начала	2	5
19	то что он	2	4
20	ничего общего с	2	4
21	в связи с	3	4
22	с одной стороны	7	4
23	так или иначе	3	4
24	бы то ни	2	3
25	всяком случае не	3	3
26	можно сказать что	2	3
27	таким образом в	2	3
28	в том числе	5	3
29	но все это	2	3
30	к тому же	4	3
31	а с другой	5	3
32	более или менее	5	3
33	то или иное	2	3
34	но вместе с	2	2
35	то же самое	2	2
36	с тех пор	2	2
37	может быть и	2	2
38	той или иной	2	2
39	то ни было	2	2
40	точно так же	3	2
41	том числе и	4	2
42	и вместе с	4	2
