N	2gram	Tiupa_Narr	formyVre
1	и в	22	148
2	в этом	23	73
3	то есть	15	70
4	в романе	3	58
5	в нем	9	51
6	прежде всего	7	46
7	и т	3	40
8	и не	34	37
9	в его	12	36
10	и его	12	36
11	вовсе не	2	35
12	но и	39	33
13	то же	12	32
14	т п	2	32
15	не только	50	32
16	в литературе	8	32
17	но в	10	31
18	жизни и	7	31
19	так и	12	29
20	времени в	3	27
21	может быть	24	27
22	не в	12	26
23	как мы	3	26
24	как и	15	25
25	как бы	11	25
26	человеческой жизни	3	24
27	точки зрения	8	24
28	в то	9	23
29	человека в	2	23
30	времени и	9	23
31	только в	23	23
32	то что	14	22
33	в том	20	22
34	жизни в	7	21
35	все эти	3	21
36	связи с	3	21
37	во всех	2	21
38	же время	7	21
39	в своем	7	19
40	и для	4	19
41	и на	5	19
42	у него	13	18
43	и все	7	18
44	еще не	6	18
45	таким образом	5	18
46	при этом	31	17
47	в особенности	2	17
48	в пределах	2	17
49	все же	10	16
50	того же	2	16
51	в связи	3	16
52	не может	16	16
53	никогда не	8	15
54	лишь в	3	15
55	в пространстве	3	15
56	так сказать	4	15
57	в одном	5	15
58	с точки	2	15
59	с его	6	15
60	вместе с	3	15
61	так же	2	14
62	его жизни	5	14
63	и как	4	14
64	в конце	4	14
65	и с	3	14
66	как раз	9	14
67	а не	27	14
68	роль в	4	13
69	в частности	23	13
70	а в	19	13
71	того чтобы	7	13
72	же в	6	13
73	во время	2	13
74	для того	4	13
75	как в	9	13
76	в котором	3	13
77	в самом	8	13
78	с ним	6	13
79	ничего не	8	12
80	отнюдь не	6	12
81	не было	3	12
82	и наконец	2	12
83	но не	7	12
84	потому что	7	12
85	он не	8	12
86	что в	6	12
87	и у	4	11
88	между ними	3	11
89	в ней	5	11
90	хотя и	8	11
91	из них	4	11
92	мира и	2	11
93	здесь не	4	10
94	в ее	4	10
95	сих пор	3	10
96	также и	4	10
97	входит в	2	10
98	уже не	11	10
99	и того	5	10
100	до сих	3	10
101	одного и	2	9
102	к себе	11	9
103	в других	2	9
104	наряду с	2	9
105	том что	15	9
106	и даже	4	9
107	мира в	4	9
108	та же	2	9
109	с другой	6	9
110	на протяжении	12	9
111	для него	8	9
112	их в	4	9
113	оно не	4	9
114	до конца	2	8
115	это не	6	8
116	или иной	6	8
117	и смерть	2	8
118	для себя	3	8
119	и потому	2	8
120	в произведении	2	8
121	к тому	13	8
122	отношение к	2	8
123	все его	4	8
124	в целом	5	8
125	и т.п	11	8
126	один из	8	8
127	что и	3	8
128	себе самому	5	8
129	во всяком	2	8
130	и то	3	8
131	а также	11	8
132	характер и	3	8
133	в результате	4	8
134	и по	3	8
135	если бы	9	8
136	героя и	4	8
137	в этих	3	8
138	со всеми	3	8
139	отношению к	5	8
140	с одной	5	8
141	в жизни	9	8
142	в мире	8	8
143	и к	7	8
144	в виду	2	8
145	на фоне	2	8
146	жизни но	3	8
147	во времени	9	7
148	в процессе	2	7
149	в себе	14	7
150	для других	3	7
151	отличие от	6	7
152	не знает	2	7
153	того что	7	7
154	между собой	3	7
155	в той	4	7
156	место в	3	7
157	было бы	2	7
158	например в	2	7
159	имеет место	4	7
160	к этому	2	7
161	из этих	6	7
162	и он	8	7
163	в которой	2	7
164	с ее	3	7
165	этом отношении	5	7
166	в эпизоде	4	7
167	не могло	3	7
168	к ним	2	7
169	в отличие	6	7
170	в форме	7	7
171	в себя	3	7
172	но он	2	7
173	и ее	3	6
174	в присутствии	2	6
175	а как	2	6
176	своей жизни	2	6
177	одной из	2	6
178	могло быть	2	6
179	одной стороны	5	6
180	ни одного	2	6
181	между двумя	6	6
182	в качестве	27	6
183	сказать что	5	6
184	в начале	4	6
185	особенно в	3	6
186	мы не	5	6
187	мы можем	2	6
188	в сущности	2	6
189	не является	7	6
190	автора и	2	6
191	о том	5	6
192	именно в	5	6
193	все что	4	6
194	в таком	4	6
195	с помощью	2	6
196	о чем	6	5
197	и через	2	5
198	по своей	3	5
199	только на	4	5
200	одно из	2	5
201	в него	2	5
202	в едином	2	5
203	они не	3	5
204	с ними	5	5
205	той или	7	5
206	в этой	8	5
207	одно и	2	5
208	и от	3	5
209	хотя бы	4	5
210	мы имеем	6	5
211	в своей	8	5
212	об этом	8	5
213	с этой	3	5
214	было и	2	5
215	но они	4	5
216	не имеет	3	5
217	и является	2	5
218	далеко не	6	5
219	да и	5	5
220	человек в	3	5
221	новое и	2	5
222	и уже	4	5
223	точка зрения	5	5
224	или в	7	5
225	и только	2	5
226	нового времени	2	5
227	той же	2	5
228	мы и	2	5
229	перед нами	9	4
230	так в	4	4
231	по себе	4	4
232	при всей	5	4
233	по отношению	5	4
234	в другом	5	4
235	друг друга	2	4
236	и т.д	7	4
237	что он	7	4
238	и о	4	4
239	как он	3	4
240	за ними	3	4
241	как у	6	4
242	на друга	2	4
243	людей и	2	4
244	не являются	2	4
245	в тексте	17	4
246	жизни так	3	4
247	в чем	3	4
248	что не	2	4
249	другой стороны	2	4
250	для них	2	4
251	своей собственной	2	4
252	быть и	3	4
253	в данном	17	4
254	тем более	2	4
255	на одном	2	4
256	только что	4	4
257	как если	2	4
258	и вот	2	4
259	у нас	4	4
260	все равно	2	4
261	себе и	2	4
262	друг на	2	4
263	и более	2	4
264	раз в	4	4
265	мир и	2	4
266	в своих	2	4
267	жизни как	2	4
268	со своей	3	4
269	как она	2	4
270	всяком случае	2	4
271	раз и	2	4
272	к жизни	3	4
273	времени но	2	4
274	иного рода	2	4
275	это и	2	4
276	же самое	3	4
277	в нашем	4	4
278	в соответствии	8	3
279	как можно	2	3
280	вступает в	2	3
281	том как	3	3
282	вплоть до	5	3
283	а на	2	3
284	картины мира	3	3
285	в произведениях	3	3
286	точку зрения	3	3
287	как это	7	3
288	то они	3	3
289	нем не	2	3
290	тому что	4	3
291	она не	2	3
292	это уже	3	3
293	не могла	2	3
294	ему в	2	3
295	что на	4	3
296	но это	2	3
297	не столько	2	3
298	же как	2	3
299	в зависимости	3	3
300	в аспекте	3	3
301	в центре	4	3
302	в двух	2	3
303	одна из	5	3
304	бы в	2	3
305	все время	2	3
306	но при	5	3
307	существенную роль	3	3
308	и еще	2	3
309	дело в	2	3
310	только к	3	3
311	это было	3	3
312	к ней	3	3
313	в данной	2	3
314	по мере	2	3
315	и здесь	3	3
316	зависимости от	3	3
317	как на	2	3
318	его и	2	3
319	нас в	2	3
320	по своему	3	3
321	сами по	2	3
322	событие в	5	3
323	можно сказать	11	3
324	строго говоря	2	3
325	в свою	4	3
326	если не	4	3
327	жизни а	4	3
328	что мы	2	3
329	внимание на	7	3
330	которой он	4	3
331	к другому	2	3
332	не к	4	3
333	в слове	4	3
334	однако не	2	3
335	не обязательно	3	3
336	не мог	7	3
337	тем же	3	3
338	не о	2	2
339	данном случае	12	2
340	начиная с	3	2
341	или даже	3	2
342	напротив они	2	2
343	эпизоды в	3	2
344	самим собой	3	2
345	идет о	3	2
346	на себя	5	2
347	о жизни	2	2
348	человек и	2	2
349	в человеке	2	2
350	каждый из	3	2
351	если в	2	2
352	а потом	2	2
353	и притом	3	2
354	свою очередь	2	2
355	но одновременно	2	2
356	где в	3	2
357	столько же	2	2
358	мыслится как	2	2
359	героя в	6	2
360	самом деле	4	2
361	утверждает что	2	2
362	встречи с	4	2
363	к своей	2	2
364	за которым	2	2
365	к нему	5	2
366	и пространстве	6	2
367	особое место	4	2
368	могло бы	3	2
369	они и	2	2
370	во втором	6	2
371	и конец	3	2
372	жизни это	2	2
373	но как	3	2
374	на ее	2	2
375	видит в	3	2
376	в состав	5	2
377	с нею	2	2
378	говорить и	2	2
379	можно назвать	2	2
380	о его	3	2
381	и дело	2	2
382	на другой	6	2
383	как для	2	2
384	жизни то	2	2
385	внутренняя жизнь	2	2
386	не столь	2	2
387	или не	5	2
388	то в	4	2
389	то и	3	2
390	события в	3	2
391	в строгом	3	2
392	по аналогии	2	2
393	и тогда	2	2
394	его как	2	2
395	приобретает в	2	2
396	себя в	4	2
397	другой день	4	2
398	о котором	4	2
399	также в	2	2
400	которые могут	2	2
401	о смерти	2	2
402	и лишь	2	2
403	как по	2	2
404	начало и	3	2
405	для нас	2	2
406	опирается на	2	2
407	к своему	2	2
408	началом и	2	2
409	должна быть	2	2
410	в пределе	2	2
411	не можем	2	2
412	собственной жизни	2	2
413	но уже	2	2
414	за пределами	3	2
415	что у	6	2
416	частности в	2	2
417	со своими	3	2
418	о своей	3	2
419	беседы с	3	2
420	с собой	2	2
421	зрения на	2	2
422	но для	5	2
423	рассказывания в	6	2
424	соответствии с	7	2
425	и стал	2	2
426	не существует	3	2
427	еще в	4	2
428	вся жизнь	2	2
429	я не	5	2
430	он сам	4	2
431	и сама	2	2
432	и сам	4	2
433	тому же	9	2
434	и после	3	2
435	если же	2	2
436	в организации	2	2
437	всех его	2	2
438	и сами	2	2
439	подчеркнуть что	2	2
440	ясно что	2	2
