N	2gram	Tiupa_Anal	Problema
1	и в	30	182
2	то есть	19	165
3	и не	33	152
4	вовсе не	4	145
5	то что	11	144
6	не есть	8	113
7	не только	30	104
8	потому что	3	89
9	в этом	31	88
10	может быть	33	82
11	том что	21	81
12	в том	36	81
13	не просто	2	80
14	только в	8	73
15	сказать что	2	72
16	но и	29	70
17	также и	3	68
18	и даже	10	66
19	по себе	6	64
20	не менее	5	58
21	о том	11	57
22	так и	16	56
23	тем не	3	56
24	а не	25	56
25	но в	11	55
26	так что	3	52
27	ни в	5	51
28	отнюдь не	22	48
29	в себе	17	48
30	при помощи	2	47
31	было бы	4	46
32	в своей	7	45
33	прежде всего	8	45
34	что в	7	44
35	в его	15	44
36	все эти	3	43
37	не в	17	43
38	таким образом	5	42
39	как раз	5	42
40	то же	12	42
41	а именно	3	42
42	так как	3	40
43	что мы	3	40
44	и то	4	40
45	что он	3	40
46	и что	2	40
47	не может	26	39
48	в этой	12	39
49	такого рода	6	39
50	и тем	4	39
51	как бы	15	39
52	той или	8	38
53	в данном	6	38
54	никак не	2	37
55	хотя бы	4	37
56	того что	5	37
57	в нем	3	37
58	еще не	5	36
59	точки зрения	10	36
60	и все	5	36
61	и т	3	35
62	в виду	2	34
63	и с	2	34
64	как и	23	34
65	уже не	6	34
66	не является	3	33
67	или иной	8	33
68	в таком	5	33
69	же самое	3	33
70	в то	10	32
71	здесь не	2	32
72	едва ли	4	32
73	но не	13	32
74	в своем	2	31
75	в конце	4	31
76	связи с	2	31
77	все это	2	31
78	с другой	7	30
79	и для	3	30
80	некоторого рода	2	29
81	как мы	3	29
82	все же	4	29
83	в связи	2	29
84	можно сказать	6	29
85	данном случае	3	28
86	и о	3	28
87	что же	3	28
88	а в	11	28
89	и как	6	27
90	ничего не	10	27
91	хотя и	4	27
92	по крайней	4	26
93	в результате	3	26
94	как будто	6	26
95	вместе с	6	26
96	это не	7	26
97	крайней мере	4	26
98	да и	2	26
99	другой стороны	2	26
100	и его	9	26
101	тем самым	9	25
102	с точки	6	25
103	и на	10	25
104	на самом	2	24
105	тем более	2	24
106	в нашем	3	24
107	тут же	2	23
108	на то	2	23
109	таком случае	5	23
110	содержит в	3	23
111	есть не	9	23
112	при этом	20	23
113	в качестве	38	23
114	то и	2	23
115	никогда не	4	22
116	и если	2	22
117	и является	4	22
118	его в	2	22
119	и есть	3	22
120	только на	3	22
121	нет ничего	2	22
122	что и	5	22
123	раз и	2	22
124	всех этих	2	22
125	есть в	4	22
126	и к	5	22
127	мы должны	2	21
128	а также	8	21
129	для себя	3	21
130	разного рода	3	21
131	в самом	12	21
132	говорить о	3	21
133	и потому	2	20
134	как о	2	20
135	для того	4	20
136	именно в	6	20
137	о чем	3	20
138	несмотря на	5	20
139	или в	2	20
140	тем что	2	20
141	в отношении	2	19
142	того или	3	19
143	то в	2	19
144	если бы	6	19
145	если не	2	19
146	он не	4	19
147	с ним	6	19
148	самом деле	3	19
149	как в	3	19
150	этом смысле	3	19
151	того же	7	18
152	не будет	3	18
153	того чтобы	3	18
154	в ее	2	18
155	в этих	3	18
156	ни о	3	17
157	мы уже	2	17
158	тех или	3	17
159	совершенно не	2	17
160	во всех	5	17
161	к тому	12	16
162	художественного произведения	6	16
163	далеко не	6	16
164	для этого	2	16
165	как это	5	16
166	случае не	2	16
167	самое время	2	16
168	будто бы	4	16
169	он и	3	16
170	в чем	2	15
171	здесь в	2	15
172	и более	5	15
173	казалось бы	2	15
174	в частности	32	15
175	у него	5	15
176	что не	3	15
177	в той	8	15
178	и сам	4	15
179	не что	5	14
180	не так	3	14
181	что все	2	14
182	говорит о	5	14
183	за пределы	6	14
184	иное как	6	14
185	все равно	2	14
186	что иное	6	14
187	этом случае	4	14
188	в котором	5	14
189	с другими	4	14
190	то ни	3	14
191	который в	3	13
192	или даже	3	13
193	из этого	2	13
194	в их	8	13
195	тому что	2	13
196	мы имеем	9	13
197	в области	4	13
198	или иного	3	13
199	сами по	3	13
200	из них	2	13
201	не являются	2	12
202	не говоря	2	12
203	в которой	3	12
204	в другом	4	12
205	с одной	7	12
206	в целом	9	12
207	в начале	3	12
208	в литературе	4	12
209	или иначе	2	12
210	не о	3	11
211	могли бы	2	11
212	и во	3	11
213	и самого	3	11
214	вообще не	2	11
215	или иных	3	11
216	только не	6	11
217	тот же	2	11
218	не могут	3	11
219	одной стороны	6	11
220	том или	4	11
221	и тогда	3	11
222	бы то	3	11
223	по поводу	4	11
224	и их	2	11
225	к нему	4	11
226	заключается в	2	11
227	в искусстве	2	11
228	свидетельствует о	4	11
229	один из	4	10
230	однако в	4	10
231	отличается от	3	10
232	ни с	5	10
233	собственно говоря	6	10
234	в одном	3	10
235	художественного творчества	2	10
236	или менее	2	10
237	он в	5	10
238	внимание на	3	10
239	бы не	3	10
240	художественное произведение	5	10
241	более или	2	10
242	из которых	4	10
243	вопрос о	2	9
244	тогда когда	3	9
245	которые в	3	9
246	в художественном	4	9
247	языка и	2	9
248	и до	3	9
249	только для	3	9
250	и наконец	2	9
251	то он	3	9
252	не вполне	2	9
253	на себе	3	9
254	вообще и	2	9
255	не был	2	9
256	однако не	4	9
257	нет и	2	9
258	что даже	2	9
259	бы в	3	9
260	как он	4	8
261	между собой	2	8
262	на его	4	8
263	и по	2	8
264	никто не	3	8
265	для него	5	8
266	если в	3	8
267	не все	3	8
268	с этой	2	8
269	в силу	4	8
270	еще в	4	8
271	и особенно	4	8
272	поскольку в	2	8
273	к его	3	8
274	вплоть до	2	8
275	в сознании	6	8
276	только с	2	8
277	а то	3	8
278	из этих	2	8
279	и больше	2	8
280	он был	3	8
281	с ее	2	8
282	ни было	4	8
283	что на	3	7
284	времени и	7	7
285	это только	2	7
286	определенным образом	2	7
287	а с	3	7
288	может иметь	2	7
289	одной из	2	7
290	на этой	2	7
291	она есть	2	7
292	в основе	6	7
293	своего собственного	2	7
294	же не	3	7
295	его как	3	7
296	с самим	3	7
297	все они	2	7
298	понимать как	3	7
299	в какой	3	7
300	в такой	2	7
301	в случае	7	7
302	даже в	5	7
303	даже не	2	7
304	была бы	4	7
305	мере в	4	7
306	его от	3	7
307	себе в	2	7
308	для чего	2	7
309	по преимуществу	4	7
310	что касается	4	7
311	на этот	2	7
312	и всего	2	7
313	ее в	2	7
314	тому же	6	7
315	не как	2	6
316	с той	2	6
317	в известном	2	6
318	или не	2	6
319	но отнюдь	2	6
320	на него	3	6
321	по своей	6	6
322	этого слова	10	6
323	и того	5	6
324	что именно	2	6
325	не знает	4	6
326	в действительности	2	6
327	нам представляется	2	6
328	не всегда	4	6
329	могут быть	12	6
330	а скорее	2	6
331	бы быть	3	6
332	с его	3	6
333	независимо от	2	6
334	дело не	5	6
335	особенно в	9	6
336	прежде чем	2	6
337	этом отношении	5	6
338	к своему	2	6
339	не к	3	6
340	не мог	3	6
341	отношения к	4	6
342	однако здесь	2	5
343	отношение к	2	5
344	что ни	2	5
345	художественное творчество	2	5
346	все прочие	3	5
347	к самому	2	5
348	своей собственной	2	5
349	или ином	4	5
350	ли он	3	5
351	одно и	2	5
