N	2gram	Vygotskiy_	OGranits
1	и в	47	13
2	и его	14	12
3	прежде всего	9	9
4	и не	27	8
5	не может	23	8
6	может быть	20	8
7	в его	7	7
8	и их	7	7
9	точки зрения	39	7
10	не только	36	6
11	мы должны	7	6
12	как бы	13	6
13	таким образом	38	6
14	только в	24	6
15	то что	40	6
16	языка и	6	5
17	и т.д	4	5
18	все же	7	5
19	с точки	31	5
20	и наконец	4	5
21	в процессе	12	5
22	мы можем	7	4
23	но в	9	4
24	только и	5	4
25	в школе	5	4
26	лишь в	3	4
27	то же	16	4
28	в сознании	11	4
29	но мы	5	4
30	не является	4	4
31	в своей	4	4
32	все это	5	4
33	было бы	12	4
34	в двух	2	4
35	вопроса о	2	4
36	мы не	10	4
37	в каждом	3	4
38	слов и	6	4
39	на фоне	3	4
40	никогда не	7	3
41	одно и	3	3
42	и для	5	3
43	и то	10	3
44	и все	5	3
45	связана с	4	3
46	в ее	7	3
47	с этим	5	3
48	отношению к	9	3
49	как и	19	3
50	в пределах	3	3
51	не в	7	3
52	в их	4	3
53	так как	25	3
54	понятно что	3	3
55	в себе	14	3
56	что в	23	3
57	по отношению	10	3
58	точку зрения	4	3
59	но для	2	3
60	самом деле	6	3
61	за пределы	2	3
62	так и	8	3
63	что же	3	3
64	в которой	16	3
65	в одном	4	3
66	здесь мы	2	3
67	но и	19	3
68	в самом	15	2
69	могут быть	7	2
70	мы видим	10	2
71	она является	2	2
72	в этом	47	2
73	в них	3	2
74	для себя	24	2
75	данном случае	5	2
76	уже в	3	2
77	языка но	2	2
78	отношений между	11	2
79	в том	38	2
80	тем что	14	2
81	в отношении	9	2
82	есть не	3	2
83	несмотря на	2	2
84	в целом	7	2
85	если бы	8	2
86	речи не	7	2
87	от этого	3	2
88	с одной	7	2
89	не имеет	6	2
90	зависимости от	6	2
91	но так	2	2
92	ее в	11	2
93	разрыв между	4	2
94	более того	2	2
95	в действительности	3	2
96	с другой	7	2
97	там где	7	2
98	слова и	10	2
99	а в	3	2
100	и тем	10	2
101	том что	28	2
102	и к	11	2
103	в зависимости	6	2
104	в данном	7	2
105	не менее	6	2
106	и следовательно	8	2
107	все эти	7	2
108	к предмету	6	2
109	в области	5	2
110	что эта	7	2
111	связанные с	3	2
112	так же	26	2
113	иным как	2	2
114	что они	11	2
115	мы уже	5	2
116	нуждается в	5	2
117	и при	2	2
118	с этой	5	2
119	и может	2	2
120	в своих	2	2
121	в нем	6	2
122	при этом	4	2
123	и ее	3	2
124	форм и	5	2
125	а не	7	2
126	чем иным	2	2
127	во всей	3	2
128	в ней	5	2
129	себе что	3	2
130	входит в	3	2
131	еще в	3	2
132	как в	7	2
133	другой стороны	3	2
134	во всем	4	2
135	который мы	6	2
136	и наиболее	2	2
137	мог бы	6	2
138	и является	5	2
139	не чем	2	2
140	одной стороны	7	2
141	бы в	7	2
142	между тем	2	2
143	в чем	5	2
144	связанных с	2	2
145	которое мы	4	2
146	имеет место	4	2
147	в другом	3	2
148	самого начала	13	2
149	вовсе не	3	2
150	в этот	3	2
151	с самого	13	2
152	к анализу	4	2
153	учение о	3	2
154	к тому	13	2
155	не мог	2	2
156	с помощью	18	2
157	наконец в	3	2
158	для него	6	2
159	в структуре	2	2
160	может стать	2	2
