N	3gram	Tiupa_Disk	slovoVRo
1	не может быть	5	19
2	в то же	7	18
3	то же время	9	18
4	той или иной	6	15
5	с точки зрения	3	15
6	в отличие от	12	14
7	в большинстве случаев	2	11
8	с одной стороны	12	11
9	более или менее	2	9
10	в этом случае	3	9
11	во всяком случае	2	8
12	в значительной степени	3	7
13	и в особенности	2	7
14	большей или меньшей	2	6
15	так и в	4	6
16	с другой стороны	4	6
17	и в то	2	6
18	в том что	18	5
19	в этом отношении	4	5
20	не только в	2	5
21	по отношению к	13	5
22	одной стороны и	3	4
23	и не может	3	4
24	можно сказать что	3	4
25	в свою очередь	3	4
26	одно и то	2	3
27	до известной степени	2	3
28	и то же	2	3
29	как и в	3	3
30	в данном случае	6	3
31	того или иного	2	3
32	а не только	2	2
33	а не как	2	2
34	существенную роль в	4	2
35	тот или иной	2	2
36	дело не с	2	2
37	о том что	8	2
38	же время и	2	2
39	и не только	2	2
40	с самого начала	2	2
41	тем что он	2	2
