N	2gram	Vinokur_St	Marksizm
1	точки зрения	16	69
2	может быть	16	64
3	и в	61	63
4	и не	23	55
5	как бы	8	53
6	не может	10	47
7	с точки	10	46
8	и пр	4	42
9	и его	11	41
10	в этом	37	39
11	таким образом	16	38
12	в процессе	3	33
13	языка и	4	31
14	лишь в	3	30
15	не только	36	29
16	в нем	9	28
17	то же	7	28
18	но и	28	27
19	самом деле	14	25
20	связи с	3	25
21	прежде всего	11	24
22	как и	11	24
23	в самом	14	24
24	так и	15	23
25	только в	11	23
26	в том	56	22
27	то что	27	22
28	а не	19	22
29	при этом	4	20
30	для него	10	20
31	том что	49	19
32	не в	15	19
33	в его	19	19
34	если бы	11	19
35	на почве	2	19
36	но в	16	18
37	в ее	6	18
38	и для	4	18
39	в слове	5	18
40	вовсе не	24	18
41	все же	12	17
42	в сущности	2	17
43	в то	10	16
44	по отношению	3	16
45	и как	2	16
46	что он	23	15
47	во всех	8	15
48	отношению к	3	15
49	же время	5	15
50	в данном	16	14
51	хотя бы	8	14
52	ничего не	6	13
53	так же	7	13
54	мы не	3	13
55	того чтобы	15	13
56	было бы	21	13
57	в своей	12	13
58	не является	5	13
59	и здесь	2	13
60	то ни	2	13
61	что в	41	13
62	выражение в	2	12
63	в результате	5	12
64	а в	18	12
65	того же	4	12
66	в основе	4	12
67	бы то	2	12
68	для того	15	12
69	является не	4	12
70	он не	11	12
71	между тем	7	12
72	на самом	8	11
73	как в	15	11
74	и все	3	11
75	к нему	2	11
76	и на	7	11
77	в ней	9	11
78	сих пор	12	11
79	не столько	6	11
80	все эти	7	11
81	и от	2	11
82	так как	7	11
83	еще не	4	11
84	и что	8	11
85	до сих	13	11
86	никогда не	7	10
87	его в	4	10
88	и потому	3	10
89	в каждом	3	10
90	самого начала	3	10
91	с самого	4	10
92	во всяком	8	10
93	с его	3	10
94	сказать что	9	10
95	к этому	4	10
96	в своем	8	10
97	совершенно не	7	10
98	с другой	11	10
99	именно в	8	10
100	конечно не	2	10
101	в таком	4	10
102	в себе	3	9
103	о языке	2	9
104	а как	5	9
105	это не	8	9
106	одной из	4	9
107	и это	4	9
108	к тому	9	9
109	в истории	5	9
110	что это	5	9
111	не имеет	5	9
112	отношении к	3	9
113	и более	4	9
114	ни в	5	9
115	быть и	2	9
116	в каком	4	8
117	в отношении	11	8
118	не как	2	8
119	в форме	2	8
120	или же	3	8
121	в их	3	8
122	смысле этого	2	8
123	с этим	6	8
124	тому что	8	8
125	настоящее время	2	8
126	что не	3	8
127	что и	8	8
128	в настоящее	2	8
129	этого слова	2	8
130	другой стороны	9	8
131	за пределы	2	8
132	и даже	8	8
133	кроме того	3	8
134	в данной	2	8
135	и их	3	8
136	у нас	12	8
137	на то	5	8
138	и с	6	8
139	но что	2	8
140	столь же	5	8
141	не было	7	8
142	у него	3	8
143	ясно что	10	8
144	до конца	4	7
145	того что	14	7
146	по себе	3	7
147	место в	2	7
148	и те	4	7
149	могут быть	5	7
150	там где	6	7
151	в качестве	7	7
152	в этой	13	7
153	в начале	5	7
154	бы в	2	7
155	в этих	5	7
156	о том	30	7
157	в котором	11	7
158	языка не	2	7
159	не существует	4	7
160	той же	5	7
161	как раз	10	7
162	вопрос о	9	6
163	для понимания	2	6
164	не имеют	2	6
165	то есть	2	6
166	в другом	5	6
167	знака в	2	6
168	от своего	2	6
169	одной стороны	2	6
170	что же	6	6
171	в какой	4	6
172	должны быть	4	6
173	все это	13	6
174	должна быть	3	6
175	тот же	2	6
176	из этих	7	6
177	зависимости от	2	6
178	с одной	3	6
179	этот вопрос	6	6
180	всяком случае	8	6
181	в той	9	6
182	ничего общего	3	6
183	не к	2	6
184	тем же	3	6
185	этом отношении	13	5
186	о чем	4	5
187	в конце	5	5
188	и у	2	5
189	в виду	6	5
190	и тем	3	5
191	так называемая	3	5
192	точку зрения	3	5
193	то в	3	5
194	xix века	2	5
195	от этого	2	5
196	не менее	8	5
197	ведь если	2	5
198	в первом	2	5
199	в двух	4	5
200	этом случае	3	5
201	хотя и	4	5
202	да и	4	5
203	тем более	4	5
204	ее в	2	5
205	и лишь	2	5
206	она не	3	5
207	но не	5	5
208	для себя	3	5
209	что такое	2	5
210	еще более	5	5
211	в одном	7	5
212	как на	10	5
213	вместе с	5	5
214	не могут	2	4
215	нуждается в	2	4
216	в одной	3	4
217	как он	3	4
218	в тех	5	4
219	что здесь	2	4
220	так называемой	2	4
221	но именно	3	4
222	в области	16	4
223	к своему	3	4
224	так что	8	4
225	нас не	3	4
226	и к	5	4
227	что все	3	4
228	можно сказать	2	4
229	и он	2	4
230	в них	2	4
231	можно назвать	3	4
232	в зависимости	2	4
233	и до	2	4
