N	2gram	Vinokur_Vv	VrazhdaK
1	не только	26	9
2	и что	6	8
3	в этом	35	8
4	и в	35	8
5	что в	13	7
6	но и	7	7
7	то что	19	7
8	но в	10	6
9	как и	7	6
10	в котором	4	6
11	в начале	3	6
12	в нем	13	6
13	и с	2	6
14	все же	9	6
15	и даже	6	6
16	и не	13	5
17	не было	2	5
18	об этом	6	5
19	то же	11	5
20	в то	6	5
21	же время	6	5
22	между тем	10	5
23	уже в	5	4
24	несмотря на	2	4
25	в своих	2	4
26	это не	8	4
27	в виду	5	4
28	все это	6	4
29	при этом	3	4
30	о том	16	4
31	в ней	3	4
32	как бы	7	4
33	так же	3	4
34	что он	5	4
35	в истории	9	4
36	может быть	30	4
37	т е	40	3
38	в том	38	3
39	в чем	4	3
40	одним из	5	3
41	его в	6	3
42	и уже	3	3
43	в своем	3	3
44	том что	30	3
45	в его	12	3
46	в связи	2	3
47	и его	6	3
48	и как	9	3
49	в этот	2	3
50	речь идет	2	3
51	связи с	3	3
52	к этому	3	3
53	чтобы он	2	3
54	на то	2	3
55	наряду с	3	3
56	в конце	3	3
57	тем что	6	3
58	никогда не	3	2
59	и то	7	2
60	в них	5	2
61	уже не	6	2
62	одна из	3	2
63	нашего времени	2	2
64	в той	10	2
65	что к	2	2
66	при помощи	3	2
67	и это	6	2
68	в в	3	2
69	с точки	4	2
70	а в	6	2
71	а также	3	2
72	он сам	3	2
73	в этой	3	2
74	тогда как	2	2
75	том же	2	2
76	в своей	4	2
77	как раз	4	2
78	но как	2	2
79	в себе	4	2
80	еще не	4	2
81	точки зрения	12	2
82	о чем	4	2
83	же как	3	2
84	тем более	2	2
85	это в	2	2
86	после этого	2	2
87	таким образом	21	2
88	и ее	4	2
89	в свою	2	2
90	о которой	2	2
91	рядом с	2	2
92	не может	19	2
93	из них	4	2
94	ответ на	4	2
95	не менее	9	2
96	но это	2	2
97	а с	2	2
98	не мог	2	2
99	вместе с	6	2
100	в известном	3	2
101	и далее	2	2
102	отношение к	3	2
