N	2gram	Medvedev_S	slovoVRo
1	и в	3	92
2	может быть	2	59
3	не только	3	44
4	но и	2	39
5	в этом	5	36
6	в его	3	27
7	все это	7	25
8	как бы	2	24
9	то же	2	23
10	не в	3	21
11	таким образом	2	17
12	только в	2	14
13	еще не	2	12
14	в том	5	10
15	далеко не	2	10
16	в смысле	2	9
17	для нас	3	8
18	том что	2	7
19	за пределы	2	7
20	что в	2	6
21	отношению к	2	5
22	по отношению	2	5
23	в результате	2	5
24	должна быть	2	5
25	или даже	2	5
26	литературы и	2	4
27	в частности	2	4
28	истории литературы	10	4
29	дело не	2	4
30	как только	2	4
31	по существу	2	4
32	ввести в	2	3
33	было бы	2	3
34	исторического развития	2	3
35	исторической жизни	2	3
36	она может	2	2
37	это и	2	2
38	то что	2	2
39	только как	2	2
40	и что	2	2
41	главным образом	2	2
42	и только	3	2
