N	3gram	Bakhtin_Pr	Mirosoze
1	не может быть	8	28
2	но он не	2	9
3	в том что	10	9
4	это и есть	3	9
5	в творчестве достоевского	5	8
6	для того чтобы	3	7
7	в высшей степени	2	7
8	друг к другу	4	6
9	о том что	5	6
10	в братьях карамазовых	3	6
11	и в этом	8	6
12	записок из подполья	4	6
13	до сих пор	3	5
14	по отношению к	17	4
15	в конце концов	7	4
16	то время как	2	4
17	потому что он	2	4
18	можно было бы	4	4
19	в то время	3	4
20	а не только	2	3
21	во всяком случае	3	3
22	том что он	4	3
23	но это не	3	3
24	она не может	3	3
25	для него не	2	3
26	же как и	3	3
27	он остается в	2	3
28	на протяжении всего	2	3
29	потому что она	3	3
30	выходит за пределы	2	3
31	так же как	4	3
32	по сравнению с	2	3
33	он не может	2	2
34	что она не	3	2
35	идеи у достоевского	4	2
36	как бы в	3	2
37	потому что не	2	2
38	достоевский прежде всего	4	2
39	для него нет	2	2
40	преступления и наказания	2	2
41	смысле этого слова	2	2
42	в своей книге	2	2
43	если нет бессмертия	2	2
44	в романах достоевского	11	2
45	между тем как	4	2
46	подобно тому как	5	2
47	том что все	2	2
48	ивана карамазова и	5	2
49	из подполья и	2	2
50	в этом отношении	7	2
51	не только в	2	2
52	именно потому что	3	2
53	в его романах	5	2
54	хотя бы и	3	2
55	это не значит	3	2
56	с самим собою	2	2
57	и не может	3	2
58	по природе своей	2	2
59	и для него	2	2
60	он не только	2	2
