N	3gram	Tiupa_Anal	FransuaR
1	в то же	7	55
2	то же время	7	55
3	в том что	12	27
4	в этом отношении	3	20
5	с точки зрения	2	20
6	о том что	7	17
7	но и в	2	15
8	и прежде всего	2	14
9	не может быть	2	13
10	дело в том	3	13
11	с одной стороны	3	13
12	с другой стороны	7	12
13	можно сказать что	2	11
14	в отличие от	5	11
15	той или иной	6	10
16	в той или	2	10
17	в данном случае	11	10
18	как и в	6	10
19	не только в	5	10
20	в значительной степени	3	10
21	по отношению к	9	9
22	в свое время	4	9
23	до известной степени	3	9
24	включает в себя	2	7
25	подобно тому как	3	7
26	к тому же	7	6
27	в свою очередь	7	6
28	в этой системе	2	5
29	во всяком случае	6	5
30	в основе своей	2	5
31	в одной из	2	5
32	одной и той	2	4
33	в тарасе бульбе	3	4
34	же время в	2	4
35	и той же	2	4
36	и то что	2	4
37	так и не	5	3
38	не только не	3	3
39	и как бы	2	3
40	дело здесь не	4	3
41	в себя момент	2	3
42	одного и того	4	3
43	и того же	4	3
44	сам по себе	2	2
45	в полной мере	3	2
46	так и его	2	2
47	в конечном счете	5	2
48	том что он	2	2
49	при этом что	2	2
50	в известном смысле	2	2
51	в том чтобы	2	2
