N	3gram	Tiupa_Teor	VLabPisa
1	с другой стороны	6	8
2	не может быть	5	8
3	по отношению к	10	7
4	более или менее	6	6
5	в конечном счете	6	5
6	в то же	8	5
7	в том что	10	5
8	то же время	8	5
9	к тому что	2	4
10	можно сказать что	3	4
11	в связи с	3	4
12	не могут быть	2	4
13	а всего лишь	3	3
14	подобно тому как	3	3
15	для того чтобы	5	3
16	и в то	2	3
17	с одной стороны	3	2
18	в противном случае	2	2
19	не только не	2	2
20	в том числе	3	2
21	этой точки зрения	2	2
22	том числе и	2	2
23	приводит к тому	2	2
