N	2gram	Potebnia_M	Stilisti
1	и в	58	42
2	как бы	12	30
3	не только	32	28
4	прежде всего	8	22
5	хотя бы	4	18
6	то же	13	16
7	но и	26	16
8	и не	34	14
9	не может	30	13
10	может быть	47	13
11	как и	16	12
12	точки зрения	8	11
13	что мы	11	11
14	в себе	22	10
15	и как	11	10
16	мы должны	4	10
17	в этом	18	10
18	как мы	3	10
19	в то	6	9
20	для того	8	9
21	все же	11	9
22	то что	24	9
23	язык и	6	9
24	при этом	17	9
25	мы не	17	9
26	тем самым	6	8
27	ничего не	2	8
28	так как	29	8
29	и это	3	8
30	с тем	9	8
31	слово как	2	8
32	в ней	9	8
33	что же	3	8
34	таким образом	21	8
35	с его	3	8
36	никогда не	7	7
37	и от	5	7
38	в которой	5	7
39	мы можем	10	7
40	и той	4	7
41	же время	4	7
42	так и	17	7
43	потому что	89	7
44	слов и	5	7
45	только в	36	7
46	а не	38	7
47	и на	8	7
48	того чтобы	4	7
49	было бы	21	7
50	и его	7	7
51	той же	3	7
52	и тем	5	7
53	когда мы	4	6
54	бы в	6	6
55	во всех	12	6
56	не в	23	6
57	говорящего и	2	6
58	язык в	8	6
59	или как	2	6
60	речи и	11	6
61	в нем	26	6
62	в свою	8	6
63	если б	7	6
64	в его	7	6
65	слова в	7	6
66	в этой	3	6
67	мы будем	3	6
68	и то	4	5
69	в сознании	8	5
70	независимо от	15	5
71	и следовательно	4	5
72	в нашем	2	5
73	то есть	69	5
74	что язык	18	5
75	мы увидим	3	5
76	слова и	7	5
77	и их	6	5
78	самом деле	2	5
79	мы видели	5	5
80	но все	4	5
81	тому что	4	5
82	а в	11	5
83	но в	12	5
84	те же	4	5
85	в самом	5	5
86	и с	3	5
87	уже в	5	5
88	с точки	4	5
89	чичикова и	4	5
90	вместе с	12	5
91	что это	5	4
92	в одном	13	4
93	человека не	2	4
94	так же	7	4
95	так сказать	5	4
96	в словах	6	4
97	на это	2	4
98	вопроса о	2	4
99	его в	3	4
100	на него	6	4
101	если бы	23	4
102	что именно	2	4
103	лишь в	2	4
104	не что	2	4
105	были бы	4	4
106	свою очередь	8	4
107	у нас	3	4
108	влияние на	4	4
109	того что	15	4
110	которой мы	3	4
111	самого начала	5	4
112	в обществе	3	4
113	один из	2	4
114	одной и	4	4
115	и все	6	4
116	в каждом	6	4
117	с самого	5	4
118	к тому	5	4
119	о том	6	4
120	что такое	3	4
121	если мы	5	4
122	уже не	4	4
123	речь и	2	4
124	в целом	3	4
125	мы называем	4	4
126	не существует	2	4
127	языка и	20	4
128	не знаем	2	4
129	мы видим	5	4
130	во внутренней	3	4
131	того времени	2	4
132	все это	3	4
133	заключает в	6	4
134	в слове	21	4
135	и без	4	4
136	тем же	4	4
137	сказать что	5	3
138	на самом	2	3
139	и развития	2	3
140	язык не	5	3
141	это не	10	3
142	слова но	4	3
143	человеческой речи	6	3
144	которое может	2	3
145	но при	3	3
146	том что	21	3
147	нуждается в	2	3
148	в начале	2	3
149	и поэтому	2	3
150	словом и	2	3
151	деятельности и	5	3
152	и слово	2	3
153	и даже	4	3
154	этого слова	5	3
155	от того	9	3
156	то мы	4	3
157	в виду	2	3
158	в том	38	3
159	он должен	2	3
160	еще не	9	3
161	только на	4	3
162	может стать	3	3
163	как в	18	3
164	в разных	2	3
165	мертвых душ	5	3
166	для него	13	3
167	не с	2	3
168	то он	2	3
169	не так	6	3
170	как предмет	3	3
171	и для	8	3
172	видели что	2	3
173	что у	2	3
174	приближается к	2	3
175	в котором	5	3
176	их в	2	3
177	заметить что	7	3
178	мы легко	2	3
179	ответ на	2	3
180	что оно	5	3
181	быть может	6	3
182	если не	5	3
183	допустим что	2	3
184	между ними	2	3
185	не будет	2	3
186	главным образом	4	3
187	но что	2	3
188	из них	2	3
189	для нас	29	3
190	представить себе	3	3
191	хотя и	6	3
192	несмотря на	5	3
193	жизни и	3	3
194	что и	16	3
195	в ее	2	3
196	мы в	2	3
197	и уже	6	3
198	все эти	3	3
199	связи с	6	3
200	уважение к	2	3
201	до того	2	3
202	не имеем	3	3
203	отношения к	2	3
204	между тем	7	3
205	связь между	2	3
206	вряд ли	2	3
207	не мог	3	3
208	что иное	2	2
209	в каком	7	2
210	для этого	2	2
211	и вообще	5	2
212	вопрос о	5	2
213	все то	2	2
214	очевидно что	5	2
215	одном и	3	2
216	и потому	7	2
217	помнить что	6	2
218	значительной степени	3	2
219	как например	4	2
220	происхождение языка	2	2
221	с этим	11	2
222	для всех	6	2
223	слова не	2	2
224	относится к	5	2
225	с другими	3	2
226	в нашей	2	2
227	без языка	4	2
228	нет ничего	2	2
229	из этих	8	2
230	но как	4	2
231	в движении	2	2
232	человека и	2	2
233	членораздельный звук	10	2
234	но даже	2	2
235	времени и	3	2
236	должно быть	9	2
237	к этому	3	2
238	по отношению	15	2
239	от их	4	2
240	происхождении языка	7	2
241	иное как	2	2
242	у человека	2	2
243	сделать его	2	2
244	должны были	2	2
245	важную роль	2	2
246	друг друга	6	2
247	есть не	7	2
248	должен быть	2	2
249	к которому	5	2
250	из всего	2	2
251	слово в	2	2
252	а на	2	2
253	в разговоре	2	2
254	тем что	15	2
255	в языке	36	2
256	человека в	3	2
257	бы не	11	2
258	находятся в	3	2
259	в их	3	2
260	том же	3	2
261	не всегда	2	2
262	ее с	2	2
