N	3gram	Propp_Isto	formyVre
1	в связи с	6	15
2	друг с другом	2	13
3	для того чтобы	3	12
4	но и в	2	12
5	не только в	2	11
6	до сих пор	7	10
7	в том числе	3	8
8	и т д	36	7
9	не может быть	6	7
10	с одной стороны	7	6
11	во всех этих	2	6
12	и в особенности	2	6
13	одно и то	2	5
14	и то же	2	5
15	в том что	4	5
16	том числе и	2	5
17	мы имеем в	2	5
18	как и в	4	5
19	в то время	3	5
20	то время как	3	4
21	в этом случае	13	4
22	с другой стороны	10	4
23	но все же	6	4
24	по отношению к	2	4
25	о том как	4	3
26	о том что	5	3
27	так и в	2	3
28	вместе с тем	7	3
29	так же как	10	3
30	как мы увидим	4	3
31	же как и	4	3
32	наряду с этим	3	3
33	в другую страну	2	2
34	на этой стадии	4	2
35	это значит что	2	2
36	так как он	2	2
37	что и в	3	2
38	в особенности в	2	2
39	в данном случае	2	2
40	и вместе с	3	2
41	здесь как и	2	2
42	совершенно так же	3	2
