N	3gram	Losev_Vesc	formyVre
1	то же время	4	21
2	в то же	5	18
3	с точки зрения	6	15
4	друг с другом	2	13
5	для того чтобы	2	12
6	не только в	5	11
7	и в то	3	10
8	в этом отношении	2	7
9	и т д	36	7
10	не может быть	22	7
11	с одной стороны	3	6
12	и в этом	2	6
13	одно и то	5	5
14	и то же	5	5
15	в том что	9	5
16	и не только	6	5
17	в то время	4	5
18	в нем нет	2	4
19	с самим собою	2	4
20	то время как	4	4
21	как раз в	2	4
22	с другой стороны	3	4
23	но все же	2	4
24	во всяком случае	2	4
25	равно как и	4	4
26	все то что	2	3
27	и в частности	2	3
28	а не в	2	3
29	а следовательно и	2	3
30	о том как	4	3
31	о том что	4	3
32	как раз и	2	3
33	вместе с тем	3	3
34	так же как	2	3
35	как бы ни	2	3
36	может быть только	6	3
37	сами по себе	3	3
38	по сравнению с	7	3
39	в той или	2	3
40	мы находим в	2	2
41	по природе своей	2	2
42	это значит что	25	2
43	что есть в	2	2
44	потому что они	4	2
45	к тому что	2	2
46	можно сказать что	3	2
47	в основе своей	2	2
48	дело в том	4	2
49	ни с чем	2	2
50	в данном случае	2	2
51	в свою очередь	5	2
