N	2gram	Tiupa_Anal	Vvedenie
1	и т	3	45
2	в том	36	38
3	в этом	31	35
4	и в	30	35
5	том что	21	30
6	может быть	33	30
7	не только	30	26
8	для того	4	23
9	того чтобы	3	22
10	таким образом	5	21
11	также и	3	20
12	не может	26	19
13	то что	11	19
14	потому что	3	18
15	со стороны	5	16
16	о том	11	16
17	только в	8	16
18	так как	3	15
19	языка и	2	15
20	представляет собой	23	14
21	и не	33	13
22	что в	7	13
23	в самом	12	13
24	в нем	3	13
25	в их	8	12
26	того что	5	12
27	точки зрения	10	12
28	в его	15	12
29	этом смысле	3	11
30	в данном	6	11
31	то же	12	11
32	по себе	6	11
33	в ее	2	11
34	как мы	3	11
35	вопрос о	2	10
36	не в	17	10
37	прежде всего	8	10
38	но в	11	10
39	в той	8	10
40	между тем	7	10
41	из этих	2	9
42	этого рода	2	9
43	тем не	3	9
44	и как	6	9
45	все же	4	9
46	представляют собой	4	9
47	но не	13	9
48	не менее	5	9
49	дело с	5	9
50	науки о	2	9
51	это не	7	8
52	с другой	7	8
53	именно в	6	8
54	широком смысле	2	8
55	в качестве	38	8
56	в широком	4	7
57	и то	4	7
58	самом деле	3	7
59	как и	23	7
60	как бы	15	7
61	но и	29	7
62	было бы	4	7
63	сказать что	2	6
64	его в	2	6
65	не могут	3	6
66	том чтобы	7	6
67	хотя бы	4	6
68	иное как	6	6
69	и даже	10	6
70	тем что	2	6
71	как он	4	6
72	а именно	3	6
73	мере в	4	6
74	в какой	3	6
75	на вопрос	5	6
76	так например	2	6
77	на этот	2	6
78	а в	11	6
79	уже не	6	6
80	той мере	2	6
81	могут быть	12	6
82	в то	10	6
83	один из	4	6
84	и что	2	6
85	и его	9	6
86	все это	2	6
87	же время	7	6
88	этом случае	4	6
89	вовсе не	4	6
90	вместе с	6	6
91	данном случае	3	5
92	независимо от	2	5
93	с их	2	5
94	дело не	5	5
95	не что	5	5
96	и т.д	4	5
97	в виду	2	5
98	и тем	4	5
99	а как	4	5
100	одним из	3	5
101	с этой	2	5
102	что он	3	5
103	так что	3	5
104	т п	3	5
105	что иное	6	5
106	что не	3	5
107	одно из	2	5
108	как уже	5	5
109	как это	5	5
110	культуры в	2	5
111	есть не	9	5
112	не есть	8	5
113	она есть	2	5
114	другой стороны	2	5
115	в целом	9	5
116	внимание на	3	5
117	что и	5	5
118	говорить о	3	5
119	не просто	2	5
120	а не	25	5
121	в первом	3	5
122	хотя и	4	5
123	да и	2	4
124	особого рода	9	4
125	в результате	3	4
126	мы имеем	9	4
127	о чем	3	4
128	одной стороны	6	4
129	в области	4	4
130	по отношению	10	4
131	должен быть	6	4
132	этом отношении	5	4
133	это только	2	4
134	как о	2	4
135	еще не	5	4
136	времени и	7	4
137	по крайней	4	4
138	отношению к	9	4
139	в чем	2	4
140	отличие от	8	4
141	в отличие	8	4
142	с одной	7	4
143	заключается в	2	4
144	к тому	12	4
145	одной из	2	4
146	и для	3	4
147	об искусстве	2	4
148	только с	2	4
149	в котором	5	4
150	в тексте	26	4
151	в центре	3	4
152	не вполне	2	4
153	ответ на	3	4
154	тогда когда	3	4
155	в одном	3	4
156	из них	2	4
157	или иначе	2	4
158	в себе	17	4
159	и заключается	2	4
160	с точки	6	4
161	крайней мере	4	4
162	в своей	7	4
163	как раз	5	4
164	можно сказать	6	4
165	той же	4	4
166	однако не	4	4
167	никогда не	4	3
168	в отношении	2	3
169	свое время	3	3
170	или иной	8	3
171	известном смысле	2	3
172	в своем	2	3
173	а также	8	3
174	в начале	3	3
175	в собственном	3	3
176	и наоборот	3	3
177	для этого	2	3
178	к этому	2	3
179	не как	2	3
180	в другом	4	3
181	в конце	4	3
182	отношение к	2	3
183	во второй	3	3
184	о литературе	3	3
185	если бы	6	3
186	в принципе	8	3
187	при помощи	2	3
188	в свое	3	3
189	в сущности	10	3
190	текста и	10	3
191	в этих	3	3
192	в силу	4	3
193	только на	3	3
194	в частности	32	3
195	истории литературы	4	3
196	как в	3	3
197	такого рода	6	3
198	что может	2	3
199	текст и	2	3
200	что даже	2	3
201	не с	8	3
202	вообще не	2	3
203	к нему	4	3
204	на этой	2	3
205	литературное произведение	12	3
206	и на	10	3
207	взгляде на	3	3
208	того же	7	3
209	или иных	3	3
210	может служить	3	3
211	времени в	4	3
212	в конечном	6	3
213	и к	5	3
214	вообще и	2	3
215	на этом	4	3
216	однако в	4	3
217	из которых	4	3
218	большей или	4	3
219	в известном	2	3
220	своего рода	12	3
221	или меньшей	4	3
222	что же	3	3
223	нуждается в	9	3
224	от себя	4	3
225	здесь не	2	3
226	тех или	3	3
227	и того	5	3
228	говорит о	5	3
229	при этом	20	3
230	все эти	3	3
231	той или	8	3
232	связи с	2	3
233	и тогда	3	3
234	и есть	3	3
235	и сам	4	3
236	как будто	6	3
237	не следует	6	3
238	же самое	3	3
239	в этой	12	3
240	одно и	2	2
241	собой в	2	2
242	это еще	2	2
243	ничего не	10	2
244	первом случае	2	2
245	бы с	2	2
246	и потому	2	2
247	из того	5	2
248	его к	3	2
249	мы должны	2	2
250	во всех	5	2
251	и до	3	2
252	для нее	2	2
253	тем более	2	2
254	значении этого	8	2
255	при всей	4	2
256	должно быть	2	2
257	этой точки	2	2
258	каждый из	3	2
259	бы в	3	2
260	в обоих	3	2
261	в соответствии	2	2
262	и всего	2	2
263	как совокупность	2	2
264	его можно	2	2
265	нашего времени	3	2
266	что именно	2	2
267	и те	2	2
268	в связи	2	2
269	подобно тому	5	2
270	казалось бы	2	2
271	том же	2	2
272	а с	3	2
273	одного и	2	2
274	научного анализа	2	2
275	должна была	2	2
276	так и	16	2
277	может ли	2	2
278	к своему	2	2
279	на котором	3	2
280	на протяжении	2	2
281	следует что	2	2
282	т.д в	2	2
283	ни с	5	2
284	в наиболее	3	2
285	тому что	2	2
286	он написан	2	2
287	на то	2	2
288	состоит в	16	2
289	искусство и	2	2
290	нам не	2	2
291	какой бы	2	2
292	будто бы	4	2
293	и с	2	2
294	не говоря	2	2
295	соответствии с	3	2
296	своего предмета	3	2
297	он и	3	2
298	не столько	5	2
299	что мы	3	2
300	том или	4	2
301	к тексту	2	2
302	тому как	5	2
303	речь идет	2	2
304	себя в	8	2
305	несмотря на	5	2
306	в ряду	2	2
307	а затем	3	2
308	тогда как	30	2
309	следует понимать	2	2
310	по его	2	2
311	все равно	2	2
312	не мог	3	2
313	случае не	2	2
314	или ином	4	2
315	этого слова	10	2
316	не к	3	2
317	из его	2	2
318	мы уже	2	2
319	этих случаях	2	2
