N	2gram	Tiupa_Hudo	Analitik
1	не только	20	71
2	тогда как	15	67
3	и в	23	66
4	в качестве	31	61
5	литературного произведения	13	58
6	но и	14	57
7	в том	20	52
8	может быть	19	52
9	в частности	18	51
10	в этом	12	51
11	как и	3	50
12	и не	16	48
13	в тексте	13	42
14	а не	13	42
15	художественной реальности	5	41
16	том что	9	40
17	при этом	19	40
18	так и	12	35
19	то есть	26	35
20	художественного впечатления	4	34
21	в мире	24	31
22	своего рода	9	30
23	состоит в	20	30
24	коммуникативного события	9	30
25	представляет собой	11	30
26	не может	9	29
27	как бы	11	29
28	отнюдь не	2	29
29	а в	13	28
30	в его	11	27
31	и его	12	27
32	не в	9	26
33	но не	13	26
34	текста в	3	26
35	всего лишь	6	24
36	в себе	13	24
37	не случайно	3	24
38	художественного целого	3	24
39	иначе говоря	5	23
40	к тому	4	22
41	в этой	2	22
42	что в	7	22
43	лишь в	7	21
44	и т.п	7	20
45	о том	2	20
46	я в	13	20
47	по отношению	10	19
48	но в	10	19
49	в своей	7	19
50	то же	12	19
51	в самом	7	19
52	с его	6	19
53	в то	8	18
54	в данном	4	18
55	отношению к	10	18
56	тем самым	5	17
57	или иной	9	17
58	с другой	9	17
59	со стороны	5	17
60	такого рода	12	17
61	эстетического объекта	4	17
62	в целом	3	17
63	только в	7	17
64	могут быть	5	16
65	то что	5	16
66	в пределах	3	16
67	что и	2	16
68	в их	5	15
69	художественного текста	13	15
70	прежде всего	5	15
71	в рамках	13	15
72	уже не	6	15
73	и на	3	15
74	между тем	4	15
75	в принципе	8	14
76	факторов художественного	4	14
77	отличие от	7	14
78	не менее	5	14
79	того же	3	14
80	той или	5	14
81	мы имеем	6	14
82	себя в	8	14
83	я и	7	14
84	эстетического отношения	11	14
85	в отличие	7	14
86	далеко не	4	14
87	столь же	2	14
88	же время	7	14
89	в себя	4	14
90	по себе	2	13
91	произведение искусства	12	13
92	точки зрения	11	13
93	как раз	3	13
94	этого слова	2	13
95	ритмического ряда	3	13
96	для него	5	13
97	а также	6	13
98	как правило	3	13
99	объектной организации	6	13
100	внутреннего зрения	7	13
101	в случае	2	13
102	он не	4	13
103	никогда не	2	12
104	и к	3	12
105	как это	7	12
106	произведения как	3	12
107	еще не	4	12
108	как в	2	12
109	внутренней речи	14	12
110	в конечном	5	12
111	сводится к	11	12
112	и сам	3	12
113	даже в	3	11
114	в свою	3	11
115	это не	4	11
116	по своей	7	11
117	художественная реальность	2	11
118	конечном счете	5	11
119	и как	4	11
120	не с	2	11
121	можно сказать	6	11
122	в той	3	11
123	имеем дело	2	11
124	не следует	4	11
125	в произведении	3	10
126	в миропорядке	8	10
127	однако в	4	10
128	один из	2	10
129	того или	4	10
130	и одновременно	5	10
131	подобно тому	3	10
132	с одной	3	10
133	перед лицом	3	10
134	именно в	2	10
135	со своей	4	10
136	совпадает с	2	10
137	здесь не	2	10
138	отношения к	4	10
139	субъектной организации	5	9
140	в своем	4	9
141	значении этого	4	9
142	уединенного сознания	4	9
143	того что	5	9
144	не столько	7	9
145	как уже	3	9
146	одной стороны	3	9
147	свою очередь	2	9
148	имеет место	3	9
149	особого рода	8	9
150	или иного	4	9
151	другой стороны	6	9
152	за пределы	2	9
153	во всех	3	9
154	художественное целое	2	9
155	художественного восприятия	4	9
156	автора и	3	9
157	в русской	3	9
158	вступает в	2	9
159	личности в	4	9
160	тому как	3	9
161	присутствия в	9	9
162	и того	3	9
163	говорить о	4	9
164	таким образом	3	9
165	я с	5	8
166	о чем	3	8
167	внутреннего я	6	8
168	лирического героя	2	8
169	роль в	2	8
170	в ходе	5	8
171	не всегда	2	8
172	что он	5	8
173	эстетический объект	4	8
174	одной из	2	8
175	в контексте	3	8
176	коммуникативное событие	2	8
177	воспринимающего сознания	4	8
178	художественности в	6	8
179	хотя и	4	8
180	человеческого я	3	8
181	в основе	7	8
182	между двумя	2	8
183	о его	2	8
184	уже говорилось	2	8
185	дело не	2	8
186	если бы	3	8
187	не является	5	8
188	времени и	2	8
189	он и	2	8
190	в сторону	2	8
191	с точки	3	8
192	с ним	2	8
193	во времени	4	7
194	в литературе	2	7
195	картины мира	3	7
196	в другом	4	7
197	как говорит	3	7
198	организации художественного	4	7
199	и тем	4	7
200	от себя	3	7
201	в году	2	7
202	художественной целостности	3	7
203	место в	5	7
204	являет собой	3	7
205	кадров внутреннего	3	7
206	в ее	6	7
207	модус художественности	6	7
208	все это	2	7
209	который в	2	7
210	одна из	2	7
211	в противоположность	3	7
212	по преимуществу	3	7
213	себя и	3	7
214	художественного произведения	4	7
215	несмотря на	2	7
216	субъекта и	3	7
217	художественного мира	2	7
218	героя и	5	7
219	и для	3	7
220	у него	2	7
221	или иначе	5	7
222	и т.д	4	7
223	личности и	3	7
224	приводит к	6	7
225	в одном	3	7
226	таком случае	2	7
227	собственно говоря	2	7
228	времени в	2	7
229	в таком	3	7
230	в финале	2	7
231	жизни но	2	7
232	в нашем	2	7
233	креативная компетенция	4	6
234	его в	4	6
235	этого текста	2	6
236	в силу	4	6
237	должен быть	2	6
238	роли в	4	6
239	от своего	2	6
240	объекта и	3	6
241	не знает	4	6
242	в нем	6	6
243	самим собой	5	6
244	не будет	3	6
245	тем более	2	6
246	или в	2	6
247	модуса художественности	13	6
248	при всей	2	6
249	и состоит	3	6
250	и то	4	6
251	могла бы	2	6
252	то в	2	6
253	из этих	3	6
