N	3gram	Voloshinov	Narrotol
1	не только в	3	13
2	по отношению к	2	11
3	о том что	2	9
4	в то же	9	8
5	той или иной	4	8
6	в этом отношении	2	8
7	то же время	7	8
8	не может быть	2	8
9	можно сказать что	2	6
10	и тем самым	3	6
11	но при этом	2	5
12	на самом деле	3	5
13	для того чтобы	7	5
14	но и в	3	5
15	и вследствие этого	2	5
16	в свою очередь	4	5
17	к тому что	2	4
18	то же самое	4	3
19	того или иного	5	3
20	в связи с	2	3
21	с точки зрения	5	3
22	заключает в себе	4	3
23	в самом деле	2	3
24	в зависимости от	7	3
25	одно и то	5	2
26	все то что	2	2
27	и то же	5	2
28	но все же	3	2
29	как бы в	3	2
30	что иное как	2	2
31	только потому что	2	2
32	и в то	2	2
33	на первый взгляд	2	2
34	и т.п и	3	2
