N	2gram	Bakhtin_KF	Tragedij
1	и в	28	18
2	в этом	15	9
3	не только	5	8
4	и не	28	7
5	и на	3	7
6	как бы	9	7
7	может быть	45	7
8	же время	2	6
9	что он	2	6
10	но в	5	6
11	и его	18	6
12	что это	4	5
13	все же	5	5
14	это не	10	5
15	то же	5	5
16	как и	5	5
17	так и	2	5
18	не может	29	5
19	в то	3	5
20	что в	4	4
21	еще не	5	4
22	в целом	10	4
23	но и	9	4
24	прежде всего	4	4
25	том что	4	4
26	в этой	2	4
27	и все	9	4
28	все это	10	4
29	в нем	32	4
30	что я	5	4
31	то что	7	4
32	но это	6	4
33	я не	6	4
34	в себе	21	4
35	один из	2	3
36	что за	2	3
37	и как	2	3
38	в мире	8	3
39	тем самым	4	3
40	к нему	12	3
41	в своем	17	3
42	при этом	4	3
43	в его	42	3
44	все эти	11	3
45	отнюдь не	7	3
46	с ее	2	3
47	должно быть	6	3
48	как в	2	3
49	жизнь и	2	3
50	для него	13	3
51	с ним	5	3
52	никогда не	5	2
53	и то	2	2
54	но все	6	2
55	до конца	3	2
56	с тем	2	2
57	тем что	3	2
58	вопрос о	2	2
59	в одном	5	2
60	его в	5	2
61	не имеет	6	2
62	в виде	2	2
63	раз и	2	2
64	ничего не	3	2
65	нет в	4	2
66	в данном	2	2
67	в ее	17	2
68	но эта	6	2
69	а как	2	2
70	о том	3	2
71	что и	7	2
72	ни в	12	2
73	не в	13	2
74	и здесь	7	2
75	это уже	2	2
76	потому что	2	2
77	что этот	3	2
78	и я	6	2
79	он не	6	2
80	и ее	2	2
81	ее жизни	3	2
82	и за	2	2
83	бы и	3	2
84	уже не	7	2
85	и это	12	2
86	со мной	7	2
87	в том	6	2
88	я буду	3	2
89	он и	2	2
90	с его	2	2
91	в это	2	2
92	отношение к	6	2
