N	3gram	Tiupa_Lite	Vvedenie
1	в том что	15	15
2	о том что	3	13
3	не может быть	5	10
4	тем не менее	4	9
5	в то же	12	6
6	в этом случае	2	6
7	то же время	12	6
8	во всяком случае	2	5
9	и т п	2	5
10	с другой стороны	5	5
11	по крайней мере	2	4
12	не только в	4	4
13	в данном случае	6	4
14	так или иначе	8	4
15	в этом отношении	5	4
16	с одной стороны	8	4
17	по отношению к	4	4
18	в отличие от	6	4
19	с точки зрения	4	4
20	можно было бы	2	4
21	дело в том	2	3
22	тех или иных	2	3
23	и то что	2	3
24	состоит в том	8	2
25	подобно тому как	4	2
26	в целом ряде	2	2
27	этой точки зрения	3	2
28	с этой точки	3	2
29	в соответствии с	2	2
30	только в том	2	2
31	не говоря уже	3	2
32	в связи с	4	2
33	в свою очередь	2	2
