N	2gram	Tiupa_Disk	UchenyiS
1	и в	27	14
2	не только	36	10
3	а не	35	10
4	и не	25	8
5	прежде всего	17	8
6	то что	10	7
7	не может	17	7
8	в этом	29	7
9	может быть	29	6
10	то же	12	5
11	хотя бы	3	5
12	все это	2	5
13	в конечном	2	4
14	но и	22	4
15	в этой	5	4
16	конечном счете	2	4
17	с другой	14	4
18	в их	5	4
19	не о	2	3
20	в частности	18	3
21	и т.д	5	3
22	не следует	4	3
23	это не	5	3
24	и то	4	3
25	в своей	10	3
26	все же	8	3
27	не как	5	3
28	как и	27	3
29	в то	8	3
30	но в	15	3
31	же время	9	3
32	в области	3	3
33	другой стороны	5	3
34	для него	9	3
35	в самом	4	2
36	в себе	22	2
37	о чем	4	2
38	нас в	2	2
39	же самое	2	2
40	что он	6	2
41	крайней мере	3	2
42	к области	2	2
43	таким образом	4	2
44	но не	17	2
45	более чем	3	2
46	между тем	5	2
47	самом деле	2	2
48	только в	9	2
49	одним из	2	2
50	в противовес	4	2
51	не есть	3	2
52	и с	2	2
53	не случайно	2	2
54	что и	5	2
55	по крайней	3	2
56	могут быть	5	2
57	не приходится	2	2
58	по композиции	5	2
59	не могут	2	2
60	это было	2	2
61	по себе	3	2
62	тем что	4	2
63	том что	27	2
64	в сторону	4	2
65	в его	9	2
66	сводится к	7	2
67	в том	29	2
68	этом отношении	4	2
69	этого термина	2	2
70	с его	9	2
71	должна быть	2	2
72	а о	2	2
73	но это	3	2
74	для всех	2	2
75	установку на	2	2
76	не в	8	2
77	мы не	2	2
78	не столько	3	2
