N	2gram	Tiupa_Vved	VerxiiNi
1	и в	23	26
2	таким образом	6	22
3	в этом	27	15
4	вместе с	2	15
5	как бы	8	12
6	в том	21	11
7	не только	32	10
8	из этих	5	10
9	и с	2	10
10	может быть	25	10
11	что в	6	9
12	в области	5	9
13	связи с	2	9
14	но и	31	9
15	но не	9	8
16	с другой	10	8
17	и у	2	8
18	и не	24	8
19	к нему	2	7
20	потому что	7	7
21	одной стороны	9	7
22	то что	9	7
23	с одной	9	7
24	но в	14	7
25	том что	16	7
26	а с	4	7
27	все же	10	6
28	к тому	9	6
29	о том	7	6
30	в себе	15	6
31	в конце	3	6
32	несмотря на	2	6
33	всяком случае	3	6
34	что и	6	6
35	и т.д	6	6
36	все это	3	6
37	и потому	2	6
38	так и	14	6
39	во всяком	3	6
40	никогда не	6	5
41	в мире	9	5
42	и для	8	5
43	не имеет	3	5
44	более или	2	5
45	так же	2	5
46	и к	2	5
47	в силу	2	5
48	отношение к	5	5
49	к жизни	2	5
50	того чтобы	2	5
51	лишь в	4	5
52	в его	9	5
53	а не	31	5
54	тому же	6	5
55	или менее	2	5
56	на этот	2	4
57	и от	3	4
58	далеко не	5	4
59	а в	15	4
60	в котором	11	4
61	в самом	6	4
62	в нем	9	4
63	не может	14	4
64	в которых	2	4
65	то есть	13	4
66	целый ряд	2	4
67	то же	8	4
68	должен был	2	4
69	и что	2	4
70	и по	3	4
71	в этих	5	4
72	только в	9	4
73	что он	2	4
74	и только	2	4
75	он не	6	4
76	во время	3	4
77	в течение	2	4
78	в этой	2	4
79	в то	5	4
80	что это	2	3
81	в рамках	5	3
82	на нее	2	3
83	в своем	9	3
84	если в	3	3
85	не вполне	4	3
86	к ним	4	3
87	или иначе	2	3
88	уже не	7	3
89	хотя бы	2	3
90	к этому	3	3
91	в результате	5	3
92	в значительной	2	3
93	тем не	3	3
94	представляет собой	18	3
95	и даже	3	3
96	и как	2	3
97	если бы	10	3
98	при этом	43	3
99	не менее	4	3
100	как о	2	3
101	у них	3	3
102	в качестве	18	3
103	в таком	2	3
104	ясно что	2	3
105	и о	4	3
106	можно сказать	6	3
107	отношению к	11	3
108	в одном	5	3
109	того что	7	3
110	для него	5	3
111	по своему	3	2
112	мы видели	3	2
113	так например	2	2
114	от них	2	2
115	для этого	2	2
116	о котором	5	2
117	начиная с	3	2
118	и это	2	2
119	или иной	5	2
120	но при	7	2
121	а также	12	2
122	на то	3	2
123	ли это	2	2
124	состоит в	23	2
125	мы имеем	8	2
126	мы можем	2	2
127	в начале	3	2
128	с того	3	2
129	свидетельствует о	5	2
130	ему в	2	2
131	вплоть до	2	2
132	между тем	3	2
133	одним из	5	2
134	к одной	2	2
135	особенно в	3	2
136	к его	5	2
137	в свою	5	2
138	при таком	2	2
139	не как	2	2
140	приводит к	2	2
141	те же	2	2
142	что мы	2	2
143	в них	4	2
144	и на	5	2
145	и здесь	2	2
146	уже в	2	2
147	еще не	8	2
148	мысль о	2	2
149	к которому	2	2
150	по своей	4	2
151	все что	3	2
152	жизни и	8	2
153	не было	5	2
154	по своим	3	2
155	так называемой	2	2
156	можно назвать	2	2
157	этом отношении	7	2
158	не в	12	2
159	из него	2	2
160	не всегда	2	2
161	и наконец	2	2
162	той или	5	2
163	и все	8	2
164	на друга	2	2
165	же время	4	2
166	один из	3	2
167	в виду	3	2
168	заключает в	4	2
169	друг на	2	2
170	связано с	3	2
171	и после	2	2
172	не к	4	2
173	прежде всего	11	2
174	не могло	2	2
175	во всех	2	2
176	в разных	2	2
177	же самое	2	2
178	вслед за	3	2
179	и сами	2	2
180	быть и	2	2
181	не с	4	2
