N	2gram	Losev_Vlad	Sovremen
1	не может	12	17
2	точки зрения	4	12
3	может быть	12	12
4	таким образом	6	11
5	мы не	2	9
6	и в	56	7
7	в этом	30	7
8	и не	33	6
9	ничего не	4	6
10	как и	7	6
11	в результате	6	6
12	что же	11	5
13	все эти	6	5
14	и наконец	2	5
15	прежде всего	5	5
16	нет и	2	4
17	это не	3	4
18	не только	35	4
19	в том	26	4
20	мы должны	3	4
21	как бы	5	4
22	их в	3	4
23	так как	11	4
24	в дальнейшем	10	4
25	в целом	3	4
26	жизни и	8	4
27	вместе с	9	4
28	а в	20	4
29	из них	3	4
30	для нас	9	3
31	и мы	6	3
32	когда мы	2	3
33	и потому	8	3
34	но в	19	3
35	при этом	5	3
36	но мы	3	3
37	не в	12	3
38	все же	11	3
39	он в	4	3
40	как он	4	3
41	было бы	7	3
42	в области	3	3
43	уже в	9	3
44	в себе	5	3
45	еще не	2	3
46	у нас	11	3
47	и все	8	3
48	все это	7	3
49	в нем	7	3
50	а не	5	3
51	и к	10	3
52	что она	2	3
53	в этой	4	3
54	то же	10	3
55	в одном	2	3
56	отнюдь не	3	3
57	в конце	22	3
58	ясно что	2	3
59	но все	3	2
60	на его	7	2
61	на этот	9	2
62	и по	10	2
63	всяком случае	8	2
64	что все	2	2
65	которой он	7	2
66	не менее	9	2
67	той же	6	2
68	не могут	2	2
69	в его	18	2
70	с этим	3	2
71	и что	11	2
72	то и	3	2
73	во всяком	8	2
74	и во	3	2
75	что такое	3	2
76	в науке	3	2
77	такого рода	4	2
78	свою очередь	2	2
79	из этих	5	2
80	так сказать	2	2
81	ее на	3	2
82	в самом	3	2
83	и есть	2	2
84	в виде	4	2
85	еще более	3	2
86	знаем что	2	2
87	что в	24	2
88	№ с	3	2
89	в настоящее	2	2
90	совершенно не	2	2
91	в таком	2	2
92	в которой	8	2
93	у него	28	2
94	уже не	6	2
95	в свою	3	2
96	то ни	2	2
97	в нашем	5	2
98	не будем	3	2
99	для его	2	2
100	настоящее время	2	2
101	тот же	7	2
102	на этом	3	2
103	как мы	17	2
104	мы с	4	2
105	мы знаем	5	2
106	что это	2	2
107	этих двух	2	2
108	тем не	8	2
109	на котором	2	2
110	как известно	2	2
111	и даже	23	2
112	в которую	2	2
113	некоторое время	3	2
