N	2gram	Propp_Isto	NovoeSre
1	а не	9	17
2	и в	41	16
3	не может	19	16
4	и не	12	11
5	и есть	2	10
6	что в	21	9
7	жизни и	3	8
8	в том	14	8
9	он не	8	8
10	не будет	6	7
11	может быть	19	7
12	как и	8	7
13	в этом	19	7
14	никогда не	16	6
15	ни в	4	6
16	не в	12	6
17	не знает	2	6
18	но это	5	6
19	с его	4	6
20	не только	30	5
21	в жизни	2	5
22	должен быть	2	5
23	все это	9	5
24	в нем	12	5
25	в ней	4	5
26	в них	4	4
27	не имеет	6	4
28	прежде всего	6	4
29	не менее	5	4
30	не было	3	4
31	то что	12	4
32	о том	15	4
33	это не	14	4
34	потому что	13	4
35	и все	6	4
36	значит что	3	4
37	но и	20	3
38	с другой	20	3
39	в ее	3	3
40	она не	3	3
41	к тому	4	3
42	и пр	2	3
43	что такое	2	3
44	в своей	4	3
45	еще не	13	3
46	к ним	3	3
47	должна быть	3	3
48	как в	17	3
49	конечно не	2	3
50	сказать что	5	3
51	во всех	8	3
52	вопрос о	6	3
53	наряду с	2	3
54	в основе	2	3
55	с тем	8	3
56	в одну	3	2
57	время как	4	2
58	в себе	3	2
59	что она	6	2
60	как будто	4	2
61	и с	4	2
62	одна из	7	2
63	том чтобы	3	2
64	формы и	2	2
65	но не	8	2
66	духа в	2	2
67	думать что	3	2
68	и от	5	2
69	и это	9	2
70	не будут	2	2
71	когда мы	2	2
72	же как	6	2
73	а в	12	2
74	все время	2	2
75	но в	7	2
76	том что	18	2
77	и на	12	2
78	с этим	3	2
79	и что	15	2
80	все эти	8	2
81	мы не	10	2
82	не имеют	3	2
83	можно было	3	2
84	в свои	3	2
85	связаны с	4	2
86	мира и	2	2
87	у него	16	2
88	не знал	2	2
89	уже не	8	2
90	по существу	5	2
91	как это	6	2
92	другой стороны	17	2
93	так же	6	2
94	так и	8	2
95	могут быть	3	2
96	но для	3	2
97	одной стороны	12	2
98	такой же	3	2
99	но она	2	2
100	в то	6	2
101	хотя и	3	2
102	связана с	4	2
103	должно было	2	2
104	с одной	12	2
105	и формы	3	2
106	и даже	3	2
107	вместе с	17	2
