N	3gram	Ircho_Kome	formyVre
1	и т п	7	32
2	то же время	5	21
3	в то же	5	18
4	в связи с	3	15
5	для того чтобы	3	12
6	но и в	2	12
7	до сих пор	3	10
8	в том числе	4	8
9	в большинстве случаев	2	8
10	в этом отношении	3	7
11	и т д	4	7
12	в отличие от	3	7
13	с одной стороны	5	6
14	друг от друга	2	6
15	в том что	13	5
16	на протяжении всего	3	5
17	как и в	2	5
18	в то время	8	5
19	то время как	6	4
20	с другой стороны	6	4
21	во всяком случае	4	4
22	по отношению к	5	4
23	то же самое	2	3
24	о том что	6	3
25	вместе с тем	4	3
26	с самого начала	2	3
27	к тому что	3	2
28	что и в	2	2
29	в частности в	2	2
30	в соответствии с	2	2
31	в тех же	3	2
32	к тому же	12	2
