N	2gram	Savitsky_P	Psycholo
1	то что	4	193
2	и в	14	190
3	в том	9	163
4	что в	4	123
5	потому что	3	114
6	том что	4	113
7	может быть	5	107
8	в этом	10	100
9	как бы	4	80
10	для того	3	78
11	не только	17	75
12	и не	12	73
13	и т	3	69
14	точки зрения	3	69
15	не может	4	68
16	было бы	6	56
17	если бы	4	55
18	и мы	2	54
19	то же	9	54
20	а не	2	50
21	заключается в	3	46
22	только в	7	46
23	по себе	4	46
24	не в	5	45
25	но и	6	40
26	как раз	2	39
27	того что	2	39
28	и это	2	37
29	и как	3	36
30	с тем	3	35
31	и если	4	34
32	как на	2	34
33	все это	2	32
34	в себе	3	32
35	в ней	6	31
36	мы не	3	31
37	в его	2	31
38	для нас	2	31
39	никак не	2	30
40	с одной	3	29
41	с точки	3	29
42	одной стороны	3	29
43	в нем	3	29
44	что мы	3	28
45	с другой	5	27
46	а в	4	27
47	в своем	4	23
48	могут быть	3	23
49	с этим	2	22
50	между тем	3	22
51	из них	2	22
52	и вот	2	21
53	в котором	4	21
54	в которых	5	21
55	в то	7	20
56	тот же	3	20
57	это не	3	20
58	мы должны	4	19
59	в ее	2	19
60	но в	9	18
61	но не	3	18
62	вслед за	3	18
63	есть не	2	18
64	и есть	2	18
65	одна из	2	17
66	и о	5	17
67	сводится к	3	16
68	и к	4	16
69	и тем	2	16
70	и потому	4	15
71	в частности	2	15
72	в них	2	15
73	во всех	2	15
74	заключает в	2	14
75	хотя бы	8	14
76	столь же	3	14
77	главным образом	2	14
78	прежде всего	3	14
79	в области	11	14
80	в жизни	2	14
81	именно в	2	13
82	отнюдь не	2	13
83	со стороны	2	13
84	не менее	2	12
85	например в	2	12
86	и с	2	12
87	по сравнению	2	11
88	думать что	2	11
89	и других	2	11
90	есть в	2	11
91	не было	2	11
92	должно быть	2	10
93	сами по	3	10
94	тем самым	3	9
95	в силу	2	9
96	мысль о	2	9
97	к чему	2	9
98	в виде	2	9
99	не к	2	9
100	стороны и	2	8
101	наряду с	3	8
102	которую мы	2	8
103	в общем	2	8
104	она есть	3	7
105	время в	2	7
106	же в	4	7
107	есть нечто	2	7
108	в качестве	9	7
109	в отношении	10	6
110	еще более	2	6
111	и без	3	6
112	в русской	4	6
113	да и	2	6
114	в русском	2	6
115	говорить о	2	6
116	которое в	2	5
117	если в	2	5
118	а я	5	5
119	именно как	2	5
120	во всей	2	5
121	хотя и	3	5
122	в смысле	6	5
123	в эту	2	5
124	отношения к	2	5
125	начала и	2	4
126	может и	2	4
127	с с	2	4
128	но к	2	4
129	является в	2	4
130	с ними	3	4
131	в порядке	3	4
132	т е	3	4
133	отношении к	5	4
134	в пределах	8	4
135	в мире	2	4
136	же время	7	4
137	не о	2	3
138	исторического материализма	3	3
139	в полной	2	3
140	а также	4	3
141	из важнейших	2	3
142	творчества и	2	3
143	ней не	2	3
144	сказывается в	2	3
145	быть может	6	3
146	тем более	2	3
147	было в	2	3
148	в которую	2	3
149	бы ни	2	3
150	не столько	2	3
151	точек зрения	2	3
152	на пути	4	2
153	для них	2	2
154	значительной мере	2	2
155	в значительной	2	2
156	гораздо большей	4	2
157	так называемые	2	2
158	друг другу	2	2
159	осуществляется в	2	2
160	что из	2	2
161	нужно было	2	2
162	р и	6	2
163	признание что	2	2
164	в россии	3	2
165	исключительно в	2	2
166	в начале	2	2
167	полной мере	2	2
168	в сфере	2	2
169	более чем	2	2
170	весьма мало	2	2
