N	2gram	Berdyaev_V	Dialekti
1	не есть	6	181
2	и не	20	120
3	и т	2	82
4	а не	7	78
5	и в	16	77
6	т д	2	75
7	не только	2	66
8	то что	9	59
9	и есть	4	55
10	так как	9	46
11	потому что	4	45
12	как бы	5	43
13	ни в	3	42
14	и что	3	42
15	не имеет	3	41
16	в том	3	40
17	в этом	4	39
18	том что	2	37
19	что он	4	37
20	прежде всего	2	37
21	это не	2	36
22	что в	3	34
23	в нем	4	34
24	и все	4	33
25	того что	5	33
26	но и	5	32
27	все это	5	31
28	так и	4	29
29	как и	4	28
30	никогда не	3	27
31	не в	3	26
32	и то	2	25
33	говорить о	4	25
34	но это	3	24
35	что не	4	21
36	должна быть	3	21
37	личности и	3	21
38	в чем	3	21
39	что все	4	20
40	только в	2	20
41	что и	3	20
42	уже не	2	20
43	что мы	4	19
44	и это	2	19
45	хотя бы	3	18
46	жизни и	3	18
47	должно быть	3	17
48	в своей	3	16
49	мы не	2	16
50	нет ничего	3	16
51	да и	2	16
52	то это	3	16
53	конечно не	2	16
54	хотя и	5	15
55	и мы	3	15
56	и потому	7	14
57	с ним	2	14
58	не было	3	14
59	но в	3	13
60	в ней	4	13
61	что они	7	13
62	могут быть	2	12
63	еще не	8	12
64	все эти	3	12
65	все равно	2	12
66	не могут	2	12
67	а в	2	12
68	и тогда	2	12
69	но не	2	12
70	его не	2	11
71	в них	3	11
72	что я	3	11
73	от этого	3	10
74	к тому	3	10
75	в его	4	10
76	и для	3	10
77	оно не	3	10
78	во всяком	2	10
79	в жизни	3	10
80	в истории	8	9
81	превращается в	3	9
82	в этих	3	9
83	в котором	4	9
84	тому что	3	9
85	мир и	2	9
86	от него	2	8
87	не будет	2	8
88	личность как	2	8
89	один из	2	8
90	вот почему	2	8
91	бы и	3	8
92	что есть	5	8
93	нет и	2	8
94	как не	3	8
95	это мы	2	8
96	в конце	3	7
97	тем что	2	7
98	все что	4	7
99	мы и	2	7
100	и я	4	7
101	с его	3	7
102	истории и	2	7
103	в мире	5	7
104	в личности	2	6
105	с тем	2	6
106	того чтобы	2	6
107	и они	3	6
108	одна из	2	6
109	нем нет	2	6
110	в себя	2	6
111	это все	2	6
112	можно было	2	6
113	во всех	3	6
114	для него	2	6
115	не с	2	6
116	ее в	2	6
117	но мы	2	5
118	тот кто	2	5
119	и во	2	5
120	а есть	2	5
121	свободы и	12	5
122	их в	3	5
123	есть уже	2	5
124	от бога	8	5
125	во мне	4	5
126	раз навсегда	2	5
127	я думаю	2	5
128	вечность и	2	4
129	человека и	6	4
130	если не	3	4
131	личности а	2	4
132	к богу	8	4
133	что их	2	4
134	от этих	2	4
135	людей и	2	4
136	на себя	5	4
137	вечности и	2	4
138	к чему	3	4
139	для нас	2	3
140	когда я	2	3
141	всего в	2	3
142	а с	2	3
143	не так	2	3
144	мы хотим	4	3
145	тот же	3	3
146	не могли	2	3
147	в абсолютном	3	3
148	лишь в	3	3
149	верит в	2	3
150	я говорю	2	3
151	вслед за	2	3
152	ничего и	2	3
153	мы это	2	3
154	на земле	7	3
155	не к	2	3
156	нет еще	2	3
157	что было	2	3
158	и будет	3	3
159	между тем	2	3
160	в силах	4	2
161	ее и	2	2
162	бога как	2	2
163	в образе	4	2
164	в вопросе	3	2
165	не нужна	3	2
166	мы же	3	2
167	в духе	2	2
168	и последнее	2	2
169	своей истории	2	2
170	уже на	2	2
171	земли и	2	2
172	тем кто	2	2
173	и теперь	2	2
174	духа и	2	2
175	на нас	2	2
176	религиозного сознания	5	2
177	на том	2	2
178	они и	2	2
179	тогда уже	2	2
180	когда в	2	2
181	это еще	4	2
182	чудо то	2	2
183	свободе и	2	2
184	которые не	2	2
185	его и	2	2
186	а между	2	2
187	свою личность	4	2
188	вопросе о	2	2
189	и сам	2	2
190	мира в	2	2
