N	2gram	Trubetskoy	DiskursI
1	в качестве	3	72
2	а не	5	60
3	может быть	10	56
4	не только	10	49
5	и в	26	49
6	при этом	3	46
7	в том	11	44
8	и не	8	44
9	то есть	4	41
10	представляет собой	3	41
11	том что	7	40
12	в этом	15	38
13	в себе	6	37
14	состоит в	2	37
15	но и	9	35
16	но не	8	31
17	так и	6	28
18	но в	7	28
19	не может	4	27
20	по своей	2	26
21	в рамках	3	23
22	еще не	2	23
23	а также	2	20
24	все же	6	19
25	прежде всего	2	19
26	в нем	4	19
27	далеко не	4	18
28	то же	4	17
29	с другой	8	17
30	отношению к	3	17
31	в мире	5	17
32	точки зрения	13	16
33	только в	4	16
34	в его	5	15
35	то что	7	15
36	о том	6	15
37	или иной	2	14
38	не в	2	14
39	не менее	3	14
40	одной стороны	7	14
41	можно сказать	3	14
42	с одной	7	14
43	для него	3	13
44	как бы	12	13
45	в своем	3	12
46	и все	2	12
47	того же	6	12
48	и на	2	12
49	что в	9	11
50	с его	2	11
51	и как	3	11
52	не было	2	11
53	а в	4	10
54	а с	7	10
55	той или	2	10
56	и т.д	6	10
57	же время	2	10
58	в то	4	9
59	в силу	5	9
60	между тем	2	9
61	в них	2	9
62	уже не	3	9
63	этом отношении	2	8
64	и о	3	8
65	к тому	6	8
66	потому что	7	8
67	если в	3	8
68	и даже	3	8
69	в этих	4	8
70	не с	2	8
71	в котором	4	8
72	в одном	3	8
73	из них	7	8
74	он не	4	8
75	приводит к	2	7
76	одной из	5	7
77	и для	5	7
78	в процессе	2	7
79	что и	6	7
80	в этой	4	7
81	к этому	3	7
82	лишь в	5	7
83	таким образом	22	7
84	тому же	5	7
85	никогда не	5	6
86	к его	2	6
87	не как	2	6
88	отношение к	5	6
89	что он	4	6
90	одно из	2	6
91	одновременно и	2	6
92	именно в	2	6
93	крайней мере	5	6
94	в эпоху	7	6
95	во всех	2	6
96	по крайней	5	6
97	в которых	4	6
98	с точки	6	6
99	в виду	2	5
100	не всегда	2	5
101	и потому	6	5
102	того что	3	5
103	к ним	3	5
104	к своим	4	5
105	несмотря на	6	5
106	один из	2	5
107	сказать что	2	5
108	но при	2	5
109	из этих	10	5
110	мысль о	2	5
111	в значительной	3	5
112	в свою	2	5
113	не вполне	3	5
114	же самое	2	5
115	не к	2	5
116	по своим	2	5
117	не могут	2	4
118	у них	3	4
119	по своему	2	4
120	и это	2	4
121	к жизни	5	4
122	можно назвать	2	4
123	во всяком	6	4
124	мы имеем	2	4
125	с ней	3	4
126	в результате	3	4
127	отличается от	2	4
128	тем не	3	4
129	связи с	9	4
130	одним из	2	4
131	в самом	4	4
132	и к	5	4
133	вплоть до	2	3
134	к которому	2	3
135	в новом	2	3
136	в области	9	3
137	в одно	2	3
138	как на	8	3
139	гораздо менее	2	3
140	о котором	2	3
141	более или	5	3
142	ему в	2	3
143	выступает в	2	3
144	для этого	2	3
145	различия между	2	3
146	числе и	4	3
147	все эти	6	3
148	том числе	5	3
149	и от	4	3
150	в начале	2	3
151	особенно в	2	3
152	хотя бы	3	3
153	в которой	3	3
154	и по	4	3
155	и наконец	2	3
156	или менее	5	3
157	но все	7	3
158	не имеет	5	3
159	когда он	3	3
160	уже в	2	3
161	всяком случае	6	3
162	жизни и	2	3
163	то ни	2	3
164	и что	4	3
165	вместе с	15	3
166	в отношении	6	2
167	мы должны	6	2
168	для всех	2	2
169	вслед за	2	2
170	должно было	2	2
171	быть и	2	2
172	и при	3	2
173	его не	2	2
174	по существу	2	2
175	в россии	2	2
176	мы видели	2	2
177	так например	2	2
178	к нему	7	2
179	с самого	3	2
180	или по	2	2
181	те же	2	2
182	свидетельствует о	2	2
183	не могло	2	2
184	самого начала	2	2
185	выбор между	2	2
186	все это	6	2
187	же как	3	2
188	требует от	2	2
189	то с	3	2
190	бы то	2	2
191	представление о	6	2
192	некоторые из	2	2
193	утверждать что	2	2
194	с другими	4	2
195	к концу	3	2
196	говорили о	2	2
197	мы можем	2	2
198	целый ряд	4	2
199	если бы	3	2
200	ни было	2	2
201	для того	5	2
202	с этой	3	2
203	героев и	2	2
204	заключает в	2	2
205	стадии развития	2	2
206	на этот	4	2
207	на то	2	2
208	в самой	2	2
209	ни один	2	2
210	и другой	2	2
211	и с	10	2
212	путь к	3	2
213	из которых	4	2
214	и только	4	2
