N	2gram	Nazirov_Tv	PoTuStor
1	может быть	11	17
2	и в	40	16
3	в этом	11	9
4	и только	2	9
5	таким образом	14	9
6	прежде всего	10	9
7	и с	9	8
8	не может	9	8
9	и его	14	8
10	сказать что	3	7
11	не только	16	7
12	с его	12	7
13	и это	2	6
14	самом деле	4	6
15	я и	3	6
16	для него	9	6
17	при этом	14	6
18	ни в	2	5
19	все эти	3	5
20	как бы	26	5
21	только для	2	5
22	нуждается в	2	5
23	еще не	5	5
24	в чем	4	5
25	в него	2	5
26	и на	12	4
27	все это	14	4
28	на самом	3	4
29	его в	2	4
30	в его	19	4
31	но и	10	4
32	и не	12	4
33	и все	6	4
34	но в	11	4
35	с самого	3	4
36	в этой	7	4
37	с ее	3	4
38	и наконец	3	4
39	так как	6	4
40	и их	2	4
41	только в	7	4
42	в нем	4	4
43	хотя бы	5	4
44	с ними	3	4
45	можно сказать	2	4
46	так и	5	4
47	в один	3	4
48	мысли и	5	4
49	самого начала	3	4
50	отнюдь не	9	4
51	и даже	8	4
52	едва ли	2	3
53	что в	17	3
54	и притом	2	3
55	жизни и	3	3
56	и как	5	3
57	и потому	4	3
58	а в	10	3
59	в том	13	3
60	и вот	2	3
61	в основном	9	3
62	только на	2	3
63	крайней мере	4	3
64	и есть	2	3
65	во время	2	3
66	в этих	2	3
67	в конечном	4	3
68	как это	2	3
69	то что	9	3
70	только как	2	3
71	во всех	2	3
72	по крайней	4	3
73	могут быть	4	3
74	всяком случае	2	3
75	вместе с	4	3
76	в одном	3	3
77	и др	2	3
78	мы знаем	2	3
79	во всяком	2	3
80	том что	14	3
81	в основе	3	3
82	один из	5	2
83	никогда не	13	2
84	мы видим	3	2
85	в жизни	3	2
86	в мир	2	2
87	в одно	2	2
88	же как	3	2
89	что не	5	2
90	в область	4	2
91	и по	5	2
92	что и	3	2
93	не менее	8	2
94	ее в	3	2
95	не существует	3	2
96	было бы	2	2
97	не могут	2	2
98	сводится к	2	2
99	и других	5	2
100	о том	9	2
101	то же	19	2
102	с этим	2	2
103	как и	16	2
104	что он	11	2
105	современной ему	2	2
106	так же	6	2
107	и лишь	2	2
108	того же	2	2
109	но ведь	2	2
110	в своей	8	2
111	мы не	3	2
112	мир по	2	2
113	в самом	6	2
114	в начале	2	2
115	с этой	4	2
116	а может	2	2
117	в частности	4	2
118	он не	10	2
119	у него	11	2
120	ту же	4	2
121	во всей	2	2
122	со всеми	3	2
123	и о	2	2
124	не есть	2	2
125	в душе	4	2
126	к этому	4	2
127	на этих	2	2
128	что на	3	2
129	конечном счете	4	2
130	и через	4	2
131	не знает	2	2
132	что оно	2	2
133	быть может	3	2
134	в этот	3	2
135	мы уже	2	2
136	на ранних	2	2
137	не будет	2	2
138	с ним	4	2
139	на протяжении	3	2
140	между собой	2	2
141	но это	10	2
142	но зато	3	2
