N	2gram	Trubetskoy	Myslijsy
1	потому что	9	182
2	то есть	2	142
3	и в	24	121
4	может быть	17	107
5	в том	31	103
6	то что	18	83
7	для нас	3	75
8	что в	9	73
9	и не	9	73
10	только в	6	72
11	не только	10	67
12	таким образом	34	64
13	том что	20	59
14	так как	7	59
15	в этом	13	59
16	но и	11	59
17	то же	4	56
18	не в	9	54
19	если бы	8	53
20	в себе	5	53
21	не может	18	52
22	того что	7	47
23	в сознании	7	46
24	в нем	3	45
25	было бы	3	45
26	и проч	4	45
27	не есть	4	42
28	как и	10	42
29	так что	6	39
30	вместе с	7	39
31	что и	7	38
32	так и	10	37
33	при этом	9	37
34	тогда когда	3	36
35	что мы	4	36
36	и что	9	32
37	по отношению	11	30
38	а в	3	30
39	но не	3	29
40	между тем	12	29
41	вовсе не	2	28
42	есть только	2	28
43	мы можем	6	28
44	для него	2	28
45	с этим	12	27
46	то и	2	26
47	не было	2	26
48	независимо от	2	26
49	отношению к	11	26
50	этого слова	2	25
51	между собою	5	24
52	в то	6	24
53	с тем	4	23
54	от того	3	23
55	как бы	10	23
56	только тогда	2	22
57	но в	5	22
58	а потому	5	22
59	не имеет	2	22
60	с другой	6	22
61	и потому	3	21
62	не менее	7	21
63	в ней	3	20
64	это не	3	20
65	тем самым	3	19
66	заключает в	2	19
67	с ним	6	19
68	и то	4	19
69	что это	5	19
70	из этих	8	19
71	должно быть	5	19
72	тем не	4	19
73	о том	7	19
74	того же	9	19
75	очевидно что	3	18
76	для меня	4	18
77	для того	8	18
78	еще не	6	18
79	не могут	4	18
80	тогда как	6	18
81	в самом	8	18
82	в таком	4	18
83	в его	5	17
84	точки зрения	14	17
85	что оно	3	17
86	во всяком	2	17
87	в своем	12	16
88	к тому	8	16
89	в которой	5	16
90	только что	3	16
91	так же	8	16
92	в них	2	16
93	что если	3	16
94	на то	9	16
95	и на	6	16
96	и по	3	15
97	в этих	3	15
98	с одной	3	15
99	что он	7	15
100	прежде всего	3	15
101	в свою	2	15
102	мы должны	4	14
103	свою очередь	2	14
104	и без	5	14
105	должны быть	3	14
106	связи с	4	14
107	в истории	3	14
108	то в	2	14
109	столь же	5	14
110	в котором	2	14
111	в одно	2	14
112	все же	15	14
113	во всех	10	14
114	же время	2	14
115	что все	5	13
116	и все	9	13
117	те же	2	13
118	не следует	2	13
119	образом в	3	13
120	и может	3	13
121	а между	8	13
122	из них	5	13
123	и его	2	13
124	как на	6	13
125	никогда не	4	12
126	от него	3	12
127	друг друга	2	12
128	и при	6	12
129	одно из	3	12
130	что же	2	12
131	что на	2	12
132	не то	3	12
133	все это	13	12
134	как мы	3	12
135	есть в	2	12
136	тем более	3	12
137	сих пор	15	12
138	или менее	8	12
139	хотя и	4	12
140	другой стороны	5	12
141	более или	8	12
142	всяком случае	2	12
143	до сих	15	12
144	другими словами	2	11
145	в силу	7	11
146	той же	2	11
147	того чтобы	8	11
148	и вообще	3	11
149	в состоянии	5	11
150	что для	4	11
151	все что	10	11
