N	2gram	Propp_Morf	KulturaY
1	и т	62	143
2	т е	25	102
3	и в	17	84
4	в том	10	74
5	потому что	7	68
6	не только	8	60
7	точки зрения	7	59
8	в этом	18	57
9	было бы	5	53
10	и не	16	52
11	может быть	61	47
12	том что	7	44
13	того чтобы	4	44
14	что в	10	44
15	т д	60	42
16	для того	3	41
17	у нас	3	38
18	самом деле	4	37
19	хотя бы	5	37
20	так как	20	36
21	с точки	6	36
22	таким образом	26	33
23	а не	11	33
24	можно было	4	32
25	если бы	3	32
26	не в	3	30
27	прежде всего	14	30
28	и пр	45	30
29	все же	9	29
30	того что	3	28
31	не менее	7	28
32	все эти	5	28
33	уже не	4	26
34	не может	19	25
35	то что	10	25
36	вовсе не	6	25
37	вопрос о	10	24
38	еще не	4	24
39	с другой	9	24
40	так и	10	23
41	то же	10	23
42	только в	3	23
43	тем не	7	21
44	во всяком	2	20
45	но и	9	20
46	и что	3	20
47	что он	5	19
48	но в	4	19
49	тем что	4	19
50	о том	6	19
51	всяком случае	2	19
52	что же	2	19
53	между тем	5	18
54	связи с	12	18
55	все это	2	18
56	в качестве	8	18
57	к тому	5	18
58	с тем	2	18
59	в сущности	3	18
60	как бы	6	18
61	это не	6	17
62	как это	7	17
63	что это	3	17
64	другой стороны	5	17
65	ничего не	5	16
66	что и	10	16
67	но не	8	16
68	по отношению	7	15
69	и тем	3	15
70	один из	7	15
71	а в	8	15
72	того как	2	15
73	в данном	2	15
74	целый ряд	3	15
75	ни к	2	15
76	в нашем	6	15
77	в связи	10	14
78	хотя и	5	14
79	как мы	8	14
80	сказать что	4	14
81	мы имеем	19	14
82	отношению к	7	14
83	также и	6	14
84	что такое	3	14
85	если мы	6	14
86	не могут	7	13
87	это и	3	13
88	по существу	13	13
89	что она	2	13
90	в пределах	3	13
91	в этой	3	13
92	в которых	2	13
93	для нас	2	13
94	там где	5	13
95	и его	3	13
96	этот вопрос	4	12
97	вопроса о	3	12
98	с этой	3	12
99	как в	5	12
100	могут быть	21	12
101	в результате	8	12
102	говорить о	4	12
103	ясно что	5	12
104	в таких	3	11
105	из этих	2	11
106	должна быть	2	11
107	этом отношении	2	11
108	и здесь	7	11
109	в какой	3	11
110	он не	5	11
111	в каком	2	10
112	так же	4	10
113	в то	4	10
114	к этому	4	10
115	со стороны	5	10
116	они не	3	10
117	как и	4	10
118	ту же	2	10
119	вряд ли	2	10
120	тех же	4	10
121	с этим	14	10
122	бы в	2	10
123	несмотря на	4	10
124	от того	4	10
125	в первом	5	10
126	то мы	5	9
127	в целом	5	9
128	здесь не	3	9
129	и для	4	9
130	можно сказать	2	9
131	а также	7	9
132	но это	6	9
133	в которой	3	9
134	не имеет	2	9
135	на то	3	9
136	ни в	3	9
137	но для	3	9
138	что мы	2	9
139	и есть	3	9
140	на самом	4	8
141	в частности	2	8
142	в своих	2	8
143	состоит в	3	8
144	а потому	2	8
145	в чем	2	8
146	с одной	2	8
147	в тех	8	8
148	что они	5	8
149	этом случае	10	8
150	с его	3	8
151	независимо от	4	8
152	и как	6	8
153	об этом	5	8
154	в этих	17	8
155	тому что	5	8
156	но все	4	8
157	далеко не	5	8
158	же в	3	8
159	не знает	2	7
160	а с	2	7
161	как например	2	7
162	к вопросу	2	7
163	она не	2	7
164	одной стороны	2	7
165	но вот	2	7
166	например в	2	7
167	не все	6	7
168	том случае	3	7
169	здесь можно	5	7
170	и более	2	7
171	на этот	2	7
172	в одном	2	7
173	лишь с	2	7
174	не значит	3	7
175	учение о	5	7
176	перед нами	14	6
177	данном случае	2	6
178	роль в	2	6
179	на этом	4	6
180	не всегда	10	6
181	этого не	2	6
182	в свое	2	6
183	а если	4	6
184	должны быть	2	6
185	когда в	2	6
186	не на	2	6
187	что эти	3	6
188	как будто	2	6
189	то это	5	6
190	дело не	2	6
191	мы не	8	6
192	в числе	2	6
193	прежде чем	5	6
194	или в	6	6
195	только для	2	6
196	не с	2	6
197	только что	3	6
