N	2gram	Propp_Isto	EvropaiC
1	таким образом	13	34
2	в том	12	31
3	и в	40	24
4	том что	11	20
5	все эти	6	19
6	не может	19	18
7	то что	17	18
8	может быть	37	17
9	народа в	2	15
10	до сих	11	15
11	все же	17	15
12	сих пор	12	15
13	в этом	13	13
14	все это	6	13
15	в своем	5	12
16	с этим	5	12
17	самом деле	2	12
18	между тем	2	12
19	по отношению	6	11
20	но и	21	11
21	отношению к	6	11
22	не только	28	10
23	так и	13	10
24	во всех	3	10
25	мы знаем	10	10
26	как и	5	10
27	как бы	6	10
28	в результате	2	9
29	друг с	4	9
30	и не	19	9
31	не в	11	9
32	что в	19	9
33	на то	6	9
34	с другом	3	9
35	потому что	12	9
36	при этом	6	9
37	и что	14	9
38	так же	18	8
39	из этих	2	8
40	или менее	5	8
41	если бы	8	8
42	идет речь	2	8
43	к тому	6	8
44	более или	5	8
45	знаем что	9	8
46	того чтобы	3	8
47	ясно что	2	8
48	на самом	3	7
49	для этого	3	7
50	так как	20	7
51	в силу	7	7
52	по своей	2	7
53	что он	32	7
54	того что	6	7
55	не менее	7	7
56	о том	12	7
57	из этого	3	7
58	что и	9	7
59	в этой	9	7
60	по существу	7	7
61	что при	3	7
62	вместе с	13	7
63	только в	16	6
64	у них	2	6
65	еще не	14	6
66	так что	9	6
67	в то	4	6
68	должна быть	5	6
69	и для	5	6
70	с другой	8	6
71	и если	4	6
72	и на	6	6
73	мы можем	7	6
74	с ним	3	6
75	и от	2	5
76	его в	15	5
77	но все	9	5
78	в себе	6	5
79	в состоянии	2	5
80	должно быть	2	5
81	к этому	2	5
82	в которой	2	5
83	и их	4	5
84	ничем не	2	5
85	из них	5	5
86	что это	12	5
87	из всех	2	5
88	этих народов	3	5
89	у него	5	5
90	но в	13	5
91	столь же	2	5
92	именно в	5	5
93	и с	5	5
94	другой стороны	7	5
95	в целом	3	5
96	в его	10	5
97	как будто	7	5
98	в пользу	2	5
99	никогда не	25	4
100	и то	3	4
101	в такой	2	4
102	не могут	3	4
103	мы должны	17	4
104	что эта	3	4
105	всех этих	4	4
106	хотя бы	5	4
107	то ни	2	4
108	тем не	7	4
109	социальной жизни	4	4
110	то же	21	4
111	в их	6	4
112	в области	2	4
113	а с	4	4
114	одним из	2	4
115	в виде	2	4
116	между собой	4	4
117	с тем	13	4
118	не так	2	4
119	этом случае	3	4
120	ни один	8	4
121	на вопрос	4	4
122	не есть	2	4
123	и конец	2	4
124	из которых	3	4
125	что мы	9	4
126	выше мы	6	4
127	связи с	10	4
128	он не	10	4
129	если мы	4	4
130	в дальнейшем	6	4
131	мы уже	7	4
132	то ясно	2	4
133	даже в	5	3
134	представление о	3	3
135	вопрос о	8	3
136	что их	3	3
137	тем самым	2	3
138	при помощи	2	3
139	это не	8	3
140	что если	2	3
141	и потому	3	3
142	к которой	2	3
143	в начале	3	3
144	в тех	4	3
145	бы в	2	3
146	ни было	2	3
147	в этих	17	3
148	конечно не	2	3
149	в связи	7	3
150	и наконец	5	3
151	вследствие этого	2	3
152	они должны	3	3
153	но по	3	3
154	прежде всего	15	3
155	отличие от	3	3
156	с одной	8	3
157	в разных	2	3
158	образом в	2	3
159	одно из	2	3
160	в жизни	2	3
161	но не	7	3
162	очень много	10	3
163	и это	2	3
164	на этой	2	3
165	а в	15	3
166	бы то	2	3
167	не вполне	3	3
168	в нем	8	3
169	в ней	10	3
170	тогда когда	2	3
171	не то	4	3
172	для нас	17	3
173	же не	3	3
174	можно назвать	3	3
175	должны быть	4	3
176	по одному	2	3
177	было бы	11	3
178	и по	4	3
179	в истории	2	3
180	во всем	3	3
181	в совершенно	2	3
182	же как	7	3
183	это представление	3	3
184	тот же	3	3
185	как мы	3	3
186	слагается из	2	3
187	мы будем	5	3
188	чем в	2	3
189	одна из	4	2
190	другими словами	8	2
191	нет в	2	2
192	этого явления	4	2
193	очень мало	2	2
194	то и	2	2
195	но как	2	2
196	к ним	4	2
197	и ее	3	2
198	есть только	3	2
199	то время	3	2
200	что она	10	2
201	при таком	2	2
202	в другом	6	2
203	но если	4	2
204	борьбы с	2	2
205	на него	7	2
206	которые могут	3	2
207	друг друга	2	2
208	должен быть	3	2
209	однако это	3	2
210	зависимости от	3	2
211	на первый	2	2
212	в виду	2	2
213	не было	3	2
214	он должен	3	2
215	в частности	3	2
216	по его	3	2
217	что они	13	2
218	точку зрения	3	2
219	такой же	2	2
220	это может	2	2
221	а для	2	2
222	никто не	3	2
223	не знает	7	2
224	и из	2	2
225	показывают что	7	2
226	это конечно	3	2
227	рассматривать как	2	2
228	для него	2	2
229	мы видели	4	2
230	на нее	3	2
231	именно потому	2	2
232	том чтобы	2	2
233	и так	3	2
234	в эту	3	2
235	но так	3	2
236	также и	3	2
237	что у	3	2
238	к нему	3	2
239	она не	6	2
240	в ту	2	2
241	они не	8	2
242	в котором	5	2
243	если это	3	2
244	их в	7	2
245	этот вопрос	7	2
246	и социальной	3	2
247	в которых	2	2
248	одной стороны	7	2
249	между прочим	3	2
250	на этом	3	2
251	между ними	2	2
252	отнюдь не	2	2
253	по этому	2	2
