N	2gram	Tiupa_Hudo	slovoVRo
1	и в	34	92
2	и т	15	82
3	т п	10	72
4	в нем	5	59
5	может быть	12	59
6	и его	8	59
7	и не	15	51
8	не только	22	44
9	не может	10	41
10	но и	13	39
11	до конца	3	37
12	в этом	22	36
13	а не	23	34
14	во всех	2	32
15	так и	19	30
16	точки зрения	7	30
17	в пределах	4	29
18	в его	17	27
19	слова в	2	26
20	все это	2	25
21	как бы	11	24
22	то же	14	23
23	и на	6	22
24	не в	16	21
25	в сущности	2	21
26	как в	11	21
27	вовсе не	2	21
28	в то	12	20
29	прежде всего	12	19
30	как мы	5	19
31	или иной	2	18
32	как и	16	18
33	себя в	11	18
34	же время	11	18
35	с ним	6	18
36	все же	5	17
37	все эти	4	17
38	в основе	3	17
39	и даже	4	17
40	к своему	2	16
41	при этом	21	16
42	в них	3	16
43	но в	6	16
44	там где	2	15
45	и с	10	15
46	со своим	5	15
47	с точки	5	15
48	так сказать	3	14
49	только в	8	14
50	это не	12	13
51	рядом с	5	13
52	с его	9	13
53	и для	5	13
54	с другой	4	13
55	на фоне	5	13
56	никогда не	8	12
57	и потому	3	12
58	отношение к	3	12
59	а в	11	12
60	или в	3	12
61	еще не	10	12
62	и к	6	12
63	один из	6	11
64	на его	2	11
65	с ними	3	11
66	одной стороны	4	11
67	слова как	2	11
68	в этих	7	11
69	с одной	4	11
70	для него	15	11
71	все они	2	10
72	в своем	9	10
73	в том	24	10
74	и все	10	10
75	она не	6	10
76	в себе	19	10
77	с другими	2	10
78	в него	2	10
79	т д	5	10
80	лишь в	5	10
81	уже не	12	10
82	зрения на	2	10
83	его в	5	9
84	и от	6	9
85	у толстого	2	9
86	к нему	2	9
87	в их	2	9
88	в своей	15	9
89	сказать что	3	9
90	одна из	4	9
91	так как	2	9
92	поэтому и	2	9
93	с ее	7	9
94	героя и	5	9
95	но не	7	9
96	к чужому	4	9
97	романа в	3	9
98	он не	8	9
99	в одной	3	8
100	человека и	4	8
101	в ней	6	8
102	все время	2	8
103	с этим	3	8
104	в значительной	3	8
105	человека в	10	8
106	в самом	7	8
107	для нас	4	8
108	перед нами	13	7
109	том что	31	7
110	от него	3	7
111	друг друга	5	7
112	но именно	3	7
113	по преимуществу	6	7
114	о нем	4	7
115	в целом	2	7
116	связи с	4	7
117	например в	3	7
118	у него	13	7
119	мышления и	3	7
120	значительной степени	3	7
121	здесь не	2	7
122	но все	2	7
123	автора и	4	7
124	жизни и	10	7
125	не было	8	7
126	в таком	3	7
127	же и	3	7
128	мы уже	7	7
129	даже в	4	6
130	ничего не	11	6
131	слово не	2	6
132	наконец в	2	6
133	как к	4	6
134	роль в	2	6
135	на этом	5	6
136	бы и	2	6
137	а также	4	6
138	одновременно и	5	6
139	что в	8	6
140	ни в	5	6
141	в контексте	2	6
142	дело с	2	6
143	в качестве	13	6
144	можно сказать	9	6
145	говорить о	4	6
146	хотя бы	2	6
147	он в	2	6
148	именно в	9	6
149	человек в	3	6
150	себя и	4	6
151	по себе	3	6
152	в одном	3	6
153	по своим	2	6
154	между тем	14	6
155	не как	3	5
156	а как	2	5
157	героя в	2	5
158	только на	6	5
159	не знает	2	5
160	характерно что	4	5
161	не менее	9	5
162	отношению к	15	5
163	мы не	2	5
164	и по	3	5
165	в других	4	5
166	хотя и	3	5
167	особенно в	3	5
168	или напротив	2	5
169	в данном	3	5
170	по отношению	15	5
171	в результате	2	5
172	этом отношении	4	5
173	для того	3	5
174	его и	2	5
175	и более	2	5
176	не с	2	5
177	они не	2	5
178	в дальнейшем	2	5
179	о том	21	5
180	той же	3	5
181	уже в	2	5
182	или даже	2	5
183	и сам	3	5
184	в противовес	2	5
185	как его	3	5
186	но он	3	5
187	вместе с	2	5
188	так же	3	4
189	но как	3	4
190	и ее	3	4
191	оно было	2	4
192	в другом	3	4
193	что и	3	4
194	что он	14	4
195	однако в	4	4
196	в виде	2	4
197	влияние на	2	4
198	в частности	10	4
199	того что	5	4
200	до сих	3	4
201	все его	3	4
202	его же	2	4
203	так в	2	4
204	не столько	4	4
205	того чтобы	6	4
206	же как	4	4
207	одной из	5	4
208	характер и	3	4
209	но это	2	4
210	дело не	2	4
211	в которой	2	4
212	если бы	7	4
213	с этой	3	4
214	и о	8	4
215	сих пор	3	4
216	быть только	2	4
217	к тому	11	4
218	эти слова	3	4
219	в литературе	3	4
220	которая не	3	4
221	они в	2	4
222	о себе	3	4
223	в другой	2	4
224	среди других	3	4
225	в бытовой	2	4
226	из них	5	4
227	и уже	3	4
228	установкой на	3	4
229	как только	3	4
230	именно на	2	4
231	в себя	3	4
232	как раз	7	4
233	в системе	2	4
234	данном случае	3	3
235	нуждается в	2	3
236	еще раз	2	3
237	такая же	2	3
238	в духе	6	3
239	такого рода	4	3
240	как это	8	3
241	может и	3	3
242	в такой	2	3
243	они были	2	3
244	тому что	8	3
245	на том	3	3
246	без другого	2	3
247	не была	3	3
248	различия между	3	3
249	было бы	8	3
250	в первом	2	3
251	интерес к	5	3
252	и то	2	3
253	или иного	4	3
254	того или	4	3
255	и внутренней	3	3
256	из этих	3	3
257	однако и	5	3
258	от этого	2	3
259	не все	2	3
260	дело в	2	3
261	должно быть	2	3
262	это было	2	3
263	в чужой	3	3
264	на него	3	3
265	во второй	7	3
266	тем что	6	3
267	в связи	3	3
268	сознания в	2	3
269	жизни в	12	3
270	и другие	5	3
271	такой же	3	3
272	нас в	2	3
273	не могло	2	3
274	за ней	2	3
275	ни с	2	3
276	не должно	2	3
277	в этой	11	3
278	потому что	7	3
279	все что	4	3
280	и это	7	3
281	личности и	3	3
282	произведения и	2	3
283	автором и	2	3
284	не знаем	2	3
285	в форме	2	3
286	и тем	2	3
287	и остается	2	3
288	автор и	2	3
289	на самом	2	2
290	ему не	3	2
291	ни о	3	2
292	о которых	2	2
293	но мы	2	2
294	она может	2	2
295	для всего	3	2
296	к себе	8	2
297	по своей	5	2
298	и внутренне	3	2
299	и у	3	2
300	это и	2	2
301	как он	4	2
302	так что	3	2
303	тем как	2	2
304	как уже	3	2
305	своего времени	3	2
306	а его	3	2
307	произведения не	4	2
308	а с	5	2
309	то что	13	2
310	по своему	3	2
311	что все	3	2
312	только не	3	2
313	друг для	3	2
314	жизнь в	3	2
315	на себе	3	2
316	в сторону	2	2
317	лежит на	2	2
318	и т.п	2	2
319	не могла	4	2
320	между ними	2	2
321	не умеет	3	2
322	на них	2	2
323	что не	4	2
324	место в	3	2
325	и герой	2	2
326	в ее	16	2
327	в пределе	2	2
328	что они	4	2
329	в двух	2	2
330	как от	2	2
331	пародия на	4	2
332	себе самому	4	2
333	между автором	2	2
334	да и	5	2
335	в толпе	2	2
336	первом случае	2	2
337	то в	6	2
338	как например	2	2
339	с такими	2	2
340	то и	5	2
341	и что	3	2
342	в равной	3	2
343	можно было	6	2
344	и эта	3	2
345	что она	10	2
346	не нужно	3	2
347	именно этим	2	2
348	та же	5	2
349	же в	3	2
350	об этом	8	2
351	как о	3	2
352	в жизни	9	2
353	вместе со	2	2
354	тем не	7	2
355	как у	2	2
356	чем не	2	2
357	действующих лиц	3	2
358	ни к	2	2
359	к ней	2	2
360	речь в	2	2
361	остановимся на	3	2
362	за ним	3	2
363	нет и	2	2
364	на то	4	2
365	века в	2	2
366	столь же	6	2
367	в котором	5	2
368	а между	4	2
369	глядя на	3	2
370	в своих	4	2
371	или иначе	3	2
372	в сфере	2	2
373	вступает в	2	2
374	приводит к	5	2
375	в начале	3	2
376	и она	2	2
377	несмотря на	7	2
378	ближе к	2	2
379	героя на	2	2
380	для друга	3	2
381	только о	2	2
382	и только	2	2
383	в нашем	2	2
384	ибо в	2	2
