N	2gram	Tiupa_Lite	Otkroven
1	у него	5	22
2	у достоевского	2	19
3	и в	26	19
4	но и	25	13
5	и не	19	13
6	в этом	19	12
7	не только	29	11
8	человека в	5	11
9	не в	11	11
10	а не	28	11
11	может быть	24	11
12	человека и	2	10
13	в нем	4	10
14	никогда не	5	9
15	потому что	5	9
16	не было	5	9
17	прежде всего	14	9
18	и он	3	8
19	лишь в	4	7
20	в его	9	7
21	до конца	3	7
22	нет ничего	2	7
23	от него	2	7
24	он не	4	7
25	как и	13	6
26	для него	6	5
27	а в	5	5
28	в россии	2	5
29	в том	22	5
30	него в	2	5
31	в творчестве	2	5
32	в самом	4	5
33	то что	14	5
34	в этой	7	5
35	и его	7	4
36	что в	7	4
37	он сам	2	4
38	есть лишь	2	4
39	все эти	2	4
40	не может	10	4
41	что не	3	4
42	с его	5	4
43	в себе	8	3
44	о том	3	3
45	это не	4	3
46	что он	8	3
47	и вот	2	3
48	было бы	4	3
49	различие между	3	3
50	для того	2	3
51	во имя	3	3
52	еще не	4	3
53	и есть	3	3
54	все что	3	3
55	в этих	2	3
56	в своих	5	3
57	в русской	13	3
58	как бы	8	3
59	хотя бы	3	3
60	могут быть	4	3
61	с ним	2	3
62	быть может	2	3
63	человеческого духа	2	3
64	того что	7	3
65	как к	4	2
66	одно из	3	2
67	и то	3	2
68	и на	5	2
69	с тем	2	2
70	уже в	7	2
71	мысль о	2	2
72	у кого	2	2
73	ничего кроме	2	2
74	не имеет	2	2
75	ничего не	3	2
76	и с	4	2
77	что и	3	2
78	в своем	12	2
79	тем что	6	2
80	человека а	2	2
81	но в	5	2
82	том что	19	2
83	к этой	2	2
84	что для	2	2
85	все же	6	2
86	о которой	2	2
87	жизни в	5	2
88	в своей	5	2
89	так как	2	2
90	с чем	3	2
91	же это	3	2
92	так что	4	2
93	даже и	2	2
94	не есть	2	2
95	в душе	3	2
96	и нет	4	2
97	к этому	2	2
98	все еще	2	2
99	так и	7	2
100	от самого	2	2
101	всего в	4	2
102	в другом	3	2
103	что есть	2	2
104	их не	2	2
105	его в	4	2
