N	2gram	Trubetskoy	Vladivir
1	и в	26	116
2	то что	7	71
3	и не	8	67
4	не только	10	65
5	в этом	15	53
6	в том	11	52
7	том что	7	51
8	что в	9	48
9	но и	9	47
10	в конце	6	41
11	в его	5	40
12	и с	10	39
13	то есть	4	37
14	сказать что	2	36
15	и даже	3	36
16	так что	3	35
17	учение о	4	35
18	потому что	7	33
19	что он	4	32
20	не может	4	31
21	о том	6	30
22	только в	4	30
23	никогда не	5	29
24	для него	3	29
25	а в	4	27
26	не было	2	26
27	в то	4	25
28	но в	7	25
29	в себе	6	25
30	а также	2	24
31	точки зрения	13	23
32	может быть	10	23
33	он не	4	23
34	в виде	4	22
35	так как	9	22
36	вместе с	15	21
37	в своем	3	20
38	прежде всего	2	20
39	и что	4	20
40	и потому	6	19
41	так и	6	19
42	не менее	3	19
43	таким образом	22	19
44	в течение	4	19
45	тем не	3	19
46	не в	2	18
47	с его	2	18
48	что и	6	17
49	в этой	4	17
50	а не	5	17
51	и если	3	17
52	уже не	3	16
53	все же	6	16
54	того что	3	16
55	к тому	6	16
56	и все	2	16
57	в котором	4	16
58	в связи	3	15
59	к этому	3	15
60	несмотря на	6	15
61	иной раз	2	15
62	то же	4	15
63	и к	5	15
64	того же	6	14
65	уже в	2	14
66	все эти	6	14
67	и как	3	14
68	и на	2	14
69	так же	5	13
70	с тем	18	13
71	можно сказать	3	13
72	и от	4	13
73	что это	3	13
74	в результате	3	13
75	жизни и	2	13
76	на этот	4	13
77	и у	8	12
78	в нем	4	12
79	и по	4	12
80	связи с	9	12
81	во всяком	6	12
82	и это	2	12
83	если не	2	12
84	всяком случае	6	12
85	в отношении	6	11
86	мы должны	6	11
87	или менее	5	11
88	и о	3	11
89	при этом	3	11
90	все это	6	11
91	хотя бы	3	11
92	в которой	3	11
93	и здесь	2	11
94	на то	2	11
95	более или	5	11
96	конце концов	3	11
97	тому же	5	11
98	к нему	7	10
99	что все	4	10
100	в качестве	3	10
101	в россии	2	10
102	еще не	2	10
103	но не	8	10
104	в самом	4	10
105	с точки	6	10
106	а с	7	9
107	в начале	2	9
108	по существу	2	9
109	с другой	8	9
110	именно в	2	9
111	что мы	2	9
112	из этого	2	9
113	же время	2	9
114	отношение к	5	8
115	как бы	12	8
116	тот же	2	8
117	из этих	10	8
118	с этой	3	8
119	в этих	4	8
120	и для	5	8
121	после смерти	10	8
122	все существующее	2	8
123	когда он	3	8
124	конечно не	2	8
125	в смысле	4	8
126	и особенно	2	8
127	к его	2	7
128	не имеет	5	7
129	точно так	3	7
130	того чтобы	5	7
131	мы видели	2	7
132	к концу	3	7
133	если бы	3	7
134	ничего общего	2	7
135	но если	2	7
136	но все	7	7
137	в одном	3	7
138	в таком	3	7
139	в них	2	7
140	те же	2	6
141	в виду	2	6
142	так или	3	6
143	в общем	8	6
144	свидетельствует о	2	6
145	по своему	2	6
146	должен был	4	6
147	и наконец	2	6
148	для того	5	6
149	и из	2	6
150	не с	2	6
151	этого последнего	2	6
152	или иначе	3	6
153	главным образом	8	6
154	ко всему	2	6
155	по своей	2	6
156	взгляд на	2	6
157	начиная с	2	5
158	еще на	2	5
159	духовного развития	2	5
160	на все	2	5
161	с самого	3	5
162	он в	2	5
163	можно только	2	5
164	один из	2	5
165	то ни	2	5
166	во время	4	5
167	в области	9	5
168	и больше	2	5
169	бы то	2	5
170	мы имеем	2	5
171	во всех	2	5
172	далеко не	4	5
173	не вполне	3	5
174	в свою	2	5
175	из них	7	5
176	и только	4	5
177	как на	8	5
178	не к	2	5
179	к богу	3	4
180	очень мало	4	4
181	не могут	2	4
182	крайней мере	5	4
183	вплоть до	2	4
184	оказывается что	3	4
185	ясно что	3	4
186	бога и	4	4
187	и вместе	4	4
188	у них	3	4
189	время он	2	4
190	одной из	5	4
191	одной стороны	7	4
192	больше чем	2	4
193	представление о	6	4
194	с ней	3	4
195	мы можем	2	4
196	только что	2	4
197	лишь в	5	4
198	этом отношении	2	4
199	при жизни	4	4
200	и другие	3	4
201	уже давно	2	4
202	по крайней	5	4
203	с одной	7	4
204	и сейчас	2	4
205	только не	2	4
206	ему в	2	4
207	же самое	2	4
208	но с	3	4
209	по своим	2	4
210	которые в	2	3
211	не как	2	3
212	в силу	5	3
213	наконец в	2	3
214	творца и	2	3
215	и при	3	3
216	его не	2	3
217	его от	2	3
218	так например	2	3
219	этот факт	2	3
220	общего с	2	3
221	тех пор	2	3
222	с того	2	3
223	не могла	2	3
224	в разных	2	3
225	же как	3	3
226	самого начала	2	3
227	этот период	2	3
228	жизни по	2	3
229	том числе	5	3
230	особенно в	2	3
231	отличается от	2	3
232	очень много	2	3
233	как о	3	3
234	одним из	2	3
235	не могло	2	3
236	в мире	5	3
237	все что	2	3
238	в которых	4	3
239	ни у	2	3
240	и действительно	2	3
241	к жизни	5	3
242	но когда	2	3
243	в новом	2	3
244	быть и	2	3
245	путь к	3	2
246	добра и	2	2
247	утверждать что	2	2
248	не потому	2	2
249	только для	2	2
250	ни было	2	2
251	этот путь	2	2
252	на пути	2	2
253	уже с	3	2
254	не всегда	2	2
255	по учению	3	2
256	в одно	2	2
257	в эпоху	7	2
258	но по	3	2
259	со всеми	2	2
260	подойти к	3	2
261	образом в	5	2
262	нами и	2	2
263	для всех	2	2
264	или по	2	2
265	богом и	2	2
266	и те	3	2
267	то после	2	2
268	из этой	2	2
269	но вместе	2	2
270	с самых	2	2
271	той или	2	2
272	что эти	3	2
273	всем и	2	2
274	если в	3	2
275	было конечно	2	2
276	с другими	4	2
277	о котором	2	2
278	еще только	2	2
279	образом если	2	2
280	них не	2	2
281	виде в	2	2
282	никем не	2	2
283	так называемую	2	2
284	сих пор	5	2
285	в глазах	2	2
286	никто из	2	2
287	и является	2	2
288	то с	3	2
289	в самой	2	2
290	из которых	4	2
291	тогда когда	2	2
292	в русском	2	2
293	можно назвать	2	2
294	и перед	2	2
295	и после	2	2
296	относится к	2	2
297	а так	3	2
298	тем и	2	2
299	до сих	5	2
