N	2gram	Trubetskoy	SlovoVZh
1	не может	22	16
2	точки зрения	11	14
3	может быть	9	14
4	как бы	4	13
5	и в	14	12
6	таким образом	11	12
7	по отношению	2	11
8	и не	19	10
9	так как	4	9
10	если бы	6	9
11	прежде всего	8	8
12	для нас	2	7
13	при этом	5	6
14	в том	17	6
15	в нем	5	6
16	только в	5	6
17	в ней	2	6
18	никогда не	5	5
19	но в	2	5
20	том что	9	5
21	то же	11	5
22	как и	4	5
23	должна быть	2	5
24	хотя бы	5	5
25	а не	2	5
26	то что	13	5
27	отнюдь не	7	5
28	в самом	3	4
29	в этом	17	4
30	не только	9	4
31	на самом	6	4
32	его в	4	4
33	и является	2	4
34	жизни и	4	4
35	не в	4	4
36	все же	4	4
37	к нему	2	4
38	и к	6	4
39	и на	5	4
40	уже не	2	4
41	от того	4	4
42	по себе	2	3
43	о том	7	3
44	и для	6	3
45	да и	3	3
46	не к	2	3
47	он должен	5	3
48	из этого	3	3
49	ни в	2	3
50	все эти	2	3
51	в котором	2	3
52	бы то	4	3
53	и наконец	2	3
54	то ни	4	3
55	так же	2	3
56	в своей	5	3
57	конечно не	5	3
58	в себе	9	3
59	еще не	3	3
60	все это	6	3
61	только на	2	3
62	в некоторых	2	3
63	между тем	5	3
64	и с	7	3
65	но для	2	3
66	сих пор	5	3
67	с ним	2	3
68	до сих	5	3
69	отношении к	2	3
70	быть и	2	3
71	и по	3	3
72	самом деле	7	3
73	того что	3	3
74	и более	2	3
75	но и	10	3
76	для него	6	3
77	ясно что	2	3
78	и то	4	2
79	в его	4	2
80	данном случае	3	2
81	что в	4	2
82	не так	2	2
83	не есть	3	2
84	место в	2	2
85	и те	2	2
86	что и	3	2
87	с точки	9	2
88	она не	2	2
89	в своем	6	2
90	все они	3	2
91	в данном	7	2
92	но мы	3	2
93	ко всем	3	2
94	зависит от	2	2
95	и что	2	2
96	в то	10	2
97	себя и	5	2
98	в этих	2	2
99	но это	2	2
100	в настоящее	2	2
101	он не	5	2
102	точку зрения	4	2
103	как на	8	2
104	и потому	3	2
105	но не	4	2
106	на это	2	2
107	если же	2	2
108	мы можем	2	2
109	между собой	5	2
110	настоящее время	2	2
111	тогда когда	4	2
112	от этой	2	2
113	в корне	4	2
114	вместе с	4	2
