N	3gram	Vinokur_St	FransuaR
1	в то же	5	55
2	то же время	5	55
3	до сих пор	12	27
4	в том числе	3	27
5	в том что	29	27
6	в этом отношении	13	20
7	но в то	2	20
8	с точки зрения	10	20
9	для того чтобы	13	17
10	о том что	19	17
11	том числе и	2	17
12	но и в	2	15
13	нужно сказать что	5	14
14	на самом деле	7	13
15	не может быть	5	13
16	дело в том	7	13
17	с одной стороны	2	13
18	в той же	2	13
19	а также и	2	12
20	с другой стороны	8	12
21	в конце концов	2	10
22	в данном случае	7	10
23	как и в	2	10
24	не только в	4	10
25	в значительной степени	2	10
26	по отношению к	3	9
27	так и в	5	9
28	в свое время	3	9
29	более или менее	2	8
30	после того как	5	8
31	в настоящее время	2	7
32	можно было бы	8	7
33	в самом деле	7	7
34	в то время	2	7
35	это прежде всего	2	6
36	с самого начала	3	6
37	к тому же	2	6
38	но все же	3	6
39	за то что	5	6
40	во всяком случае	8	5
41	но все это	2	5
42	в это время	3	5
43	в одной из	3	5
44	в том же	3	5
45	как раз в	4	5
46	в применении к	3	5
47	может быть и	2	4
48	так например в	4	4
49	и в самом	3	4
50	что и в	4	4
51	то что в	3	4
52	в одном из	4	4
53	во втором случае	2	4
54	вовсе не в	2	4
55	так же как	5	4
56	на этот вопрос	2	4
57	том что в	4	4
58	сказать что в	3	4
59	и то что	2	4
60	бы то ни	2	3
61	как своего рода	2	3
62	не только с	2	3
63	он не только	2	3
64	в этом смысле	2	3
65	свидетельствуют о том	2	3
66	не только не	2	3
67	заключается в том	4	3
68	вместе с тем	2	3
69	и в наши	2	3
70	и в том	3	3
71	как бы ни	2	3
72	что в нем	2	3
73	говорит об этом	2	3
74	в предисловии к	2	3
75	в своей статье	4	3
76	находим и в	2	3
77	и в этом	4	3
78	но и с	2	3
79	на эту тему	4	2
80	и в данном	2	2
81	ничего общего с	3	2
82	и в области	5	2
83	вряд ли можно	2	2
84	одним и тем	2	2
85	да и в	3	2
86	и тем же	2	2
87	говорит о том	3	2
88	в этом случае	3	2
89	но также и	5	2
90	эту тему в	2	2
91	по этому поводу	4	2
92	том что он	6	2
93	то что он	3	2
94	ни для кого	2	2
95	что это не	2	2
96	выхода в свет	4	2
97	и только в	3	2
98	в г в	4	2
