N	2gram	Potebnia_M	Vladivir
1	и в	48	116
2	то что	37	71
3	и не	28	67
4	не только	32	65
5	у него	3	65
6	в этом	19	53
7	в том	47	52
8	том что	28	51
9	что в	30	48
10	но и	30	47
11	в его	6	40
12	и с	4	39
13	то есть	53	37
14	сказать что	8	36
15	и даже	3	36
16	там же	8	35
17	так что	14	35
18	же с	7	34
19	потому что	82	33
20	что он	8	32
21	не может	18	31
22	о том	7	30
23	только в	29	30
24	никогда не	2	29
25	как мы	8	29
26	для него	14	29
27	вовсе не	13	27
28	а в	14	27
29	не было	12	26
30	в то	16	25
31	но в	8	25
32	в себе	26	25
33	и то	13	25
34	а к	4	25
35	и его	4	25
36	точки зрения	4	23
37	между прочим	5	23
38	может быть	46	23
39	он не	4	23
40	что же	3	23
41	в виде	3	22
42	так как	20	22
43	об этом	4	22
44	ни в	2	22
45	в своей	2	21
46	вместе с	22	21
47	в своем	6	20
48	прежде всего	6	20
49	для нас	40	20
50	и что	13	20
51	и потому	9	19
52	и вообще	4	19
53	так и	17	19
54	не менее	9	19
55	по поводу	8	19
56	таким образом	24	19
57	в течение	2	19
58	тем не	7	19
59	не в	24	18
60	как и	22	18
61	хотя и	3	18
62	что и	16	17
63	в этой	3	17
64	то это	9	17
65	у нас	2	17
66	а не	22	17
67	и если	4	17
68	уже не	11	16
69	все же	3	16
70	того что	24	16
71	совсем не	2	16
72	было бы	16	16
73	к тому	9	16
74	и все	5	16
75	для себя	3	16
76	в котором	7	16
77	не есть	24	16
78	но это	9	15
79	к этому	3	15
80	это было	3	15
81	несмотря на	2	15
82	то же	35	15
83	в своих	2	15
84	и к	5	15
85	того же	5	14
86	уже в	10	14
87	тут же	2	14
88	с а	2	14
89	его жизни	2	14
90	и как	8	14
91	и на	5	14
92	мы уже	5	14
93	так же	6	13
94	с тем	9	13
95	можно сказать	4	13
96	да и	2	13
97	и от	5	13
98	что это	6	13
99	жизни и	3	13
100	то время	7	13
101	во всем	2	13
102	есть только	9	12
103	только на	4	12
104	в нем	16	12
105	и по	5	12
106	связи с	6	12
107	во всяком	4	12
108	и это	6	12
109	если не	6	12
110	по себе	26	12
111	всяком случае	3	12
112	мы должны	6	11
113	или менее	6	11
114	и о	6	11
115	при этом	6	11
116	все это	4	11
117	никак не	3	11
118	в данном	3	11
119	хотя бы	3	11
120	в которой	9	11
121	и здесь	3	11
122	то он	2	11
123	на то	6	11
124	более или	6	11
125	но что	4	11
126	даже в	3	10
127	собственно говоря	2	10
128	к нему	7	10
129	в ней	11	10
130	что его	3	10
131	что все	5	10
132	в истории	2	10
133	еще не	9	10
134	но не	8	10
135	что для	5	10
136	в самом	11	10
137	с точки	3	10
138	с ним	10	10
139	это не	2	9
140	для меня	5	9
141	но как	2	9
142	и притом	3	9
143	оно есть	4	9
144	а с	4	9
145	а только	7	9
146	в целом	5	9
147	в начале	3	9
148	что если	5	9
149	с этим	12	9
150	с другой	8	9
151	не будет	4	9
152	именно в	5	9
153	этом смысле	2	9
154	что мы	16	9
155	же время	8	9
156	отношения к	2	9
157	но он	3	9
158	отношение к	2	8
159	не столько	2	8
160	в чем	6	8
161	как бы	10	8
162	тот же	2	8
163	из этих	10	8
164	должно быть	9	8
165	тем что	13	8
166	и я	3	8
167	с этой	2	8
168	в этих	2	8
169	как в	17	8
170	со стороны	4	8
171	в это	2	8
172	значит что	2	8
173	конечно не	2	8
174	в смысле	4	8
175	в каком	8	7
176	к его	2	7
177	другими словами	3	7
178	но даже	3	7
179	в свое	2	7
180	при помощи	2	7
181	не имеет	10	7
182	а а	2	7
183	по этому	2	7
184	на его	4	7
185	точно так	15	7
186	того чтобы	5	7
187	же в	3	7
188	бы и	4	7
189	мы видели	5	7
190	и мы	3	7
191	то и	10	7
192	за пределы	2	7
193	даже не	2	7
194	если бы	20	7
195	ничего общего	2	7
196	к ней	7	7
197	но если	2	7
198	но все	2	7
199	в одном	4	7
200	с в	4	7
201	что этот	2	7
202	в таком	6	7
203	и есть	4	7
204	в них	9	7
205	выше мы	4	7
206	данном случае	3	6
207	его в	6	6
208	те же	6	6
209	а это	2	6
210	от того	10	6
211	есть и	3	6
212	есть не	9	6
213	уже на	2	6
214	том же	2	6
215	к своему	3	6
216	само по	6	6
217	отличие от	2	6
218	что на	3	6
219	тому что	6	6
220	так или	2	6
221	не говоря	3	6
222	его на	3	6
223	нельзя сказать	5	6
224	было для	3	6
225	по своему	2	6
226	время как	3	6
227	другой стороны	4	6
228	тем более	9	6
229	что она	4	6
230	на него	3	6
231	в сравнении	4	6
232	мысли и	8	6
233	и вполне	2	6
234	должен был	2	6
235	и наконец	3	6
236	для того	8	6
