N	2gram	Voloshinov	Sovremen
1	не может	16	17
2	точки зрения	14	12
3	может быть	14	12
4	таким образом	12	11
5	мы не	3	9
6	и в	12	7
7	в этом	4	7
8	и не	10	6
9	ничего не	2	6
10	как и	5	6
11	мы можем	2	6
12	с точки	2	5
13	все эти	3	5
14	и наконец	3	5
15	в условиях	2	5
16	прежде всего	8	5
17	зависимости от	4	4
18	это не	2	4
19	не только	4	4
20	в том	6	4
21	в зависимости	2	4
22	как бы	13	4
23	так как	9	4
24	точку зрения	2	4
25	жизни и	4	4
26	вместе с	2	4
27	с помощью	6	4
28	для нас	7	3
29	и потому	2	3
30	но в	5	3
31	при этом	6	3
32	но мы	2	3
33	не в	4	3
34	все же	4	3
35	уже в	2	3
36	в себе	3	3
37	еще не	3	3
38	и все	2	3
39	все это	3	3
40	в нем	6	3
41	между собой	2	3
42	а не	5	3
43	и к	4	3
44	то же	5	3
45	отнюдь не	5	3
46	ясно что	3	3
47	но все	2	2
48	и по	3	2
49	же самое	2	2
50	конечно в	2	2
51	быть и	3	2
52	форма в	2	2
53	не менее	3	2
54	в его	2	2
55	он должен	3	2
56	и пр	3	2
57	и что	2	2
58	в самом	4	2
59	что в	2	2
60	в настоящее	2	2
61	такой же	2	2
62	в некоторых	3	2
63	самом деле	3	2
64	уже не	4	2
65	то ни	3	2
66	если же	2	2
67	в нашем	11	2
68	могут быть	2	2
69	настоящее время	2	2
70	с одной	2	2
71	этих двух	2	2
72	тем не	3	2
