N	3gram	Tiupa_Narr_2	Istorich
1	с одной стороны	5	7
2	о том что	4	4
3	в связи с	1	4
4	тем не менее	4	4
5	так же как	2	3
6	здесь мы имеем	1	3
7	на него и	1	3
8	для того чтобы	1	3
9	не превращается в	1	3
10	не может быть	2	3
11	на том что	1	2
12	в том что	8	2
13	по отношению к	5	2
14	не только в	6	2
15	в данном случае	6	2
16	но и в	2	2
17	до сих пор	1	2
18	уже говорилось выше	2	1
19	подобно тому как	2	1
20	на этом свете	1	1
21	уже никто не	1	1
22	и тем самым	2	1
23	на самом деле	2	1
24	в то же	3	1
25	точно так же	2	1
26	которой он сам	1	1
27	и здесь мы	1	1
28	этой точки зрения	1	1
29	при встрече с	3	1
30	можно сказать что	3	1
31	свидетельствует о том	1	1
32	иметь в виду	1	1
33	не говорит об	1	1
34	в соответствии с	3	1
35	с ним о	1	1
36	никак не может	1	1
37	и в других	1	1
38	в то время	1	1
39	но и тем	1	1
40	не только тем	1	1
41	в том смысле	1	1
42	одна из наиболее	1	1
43	одной стороны и	1	1
44	в самом деле	1	1
45	то же время	3	1
46	что у него	1	1
47	что есть на	1	1
48	в зависимости от	1	1
49	на том свете	2	1
50	на другой день	1	1
51	с точки зрения	2	1
52	то время как	1	1
53	том что искусство	1	1
54	в отличие от	5	1
55	не в том	1	1
56	то что он	1	1
57	во всяком случае	1	1
58	и потому не	1	1
59	с этой точки	1	1
60	состоит в том	4	1
