N	3gram	Vygotskiy__4	DiskursI
1	в том что	12	6
2	то же время	1	5
3	по отношению к	1	4
4	в то же	1	4
5	с одной стороны	3	4
6	не может быть	1	3
7	о том что	10	3
8	и может быть	4	2
9	подобно тому как	1	2
10	с точки зрения	4	2
11	ни одно из	2	2
12	и не может	1	2
13	свой жизненный путь	1	2
14	в мире в	2	2
15	несет в себе	3	2
16	дело в том	1	2
17	на первый взгляд	1	2
18	все дело в	1	1
19	прежде всего на	1	1
20	в самом деле	7	1
21	той же жизни	1	1
22	с другой стороны	2	1
23	и в то	1	1
24	жизни и смерти	1	1
25	бы то ни	1	1
26	только то что	1	1
27	то что в	3	1
28	а с другой	1	1
29	одна из них	3	1
30	и в частности	2	1
31	в это время	2	1
32	то что может	1	1
33	то ни было	1	1
34	а также и	1	1
35	во всяком случае	3	1
36	и той же	2	1
37	даже в пределах	1	1
38	равно как и	1	1
39	то есть в	1	1
40	с самого начала	5	1
41	мысль о том	1	1
42	но в этом	1	1
43	в конечном счете	1	1
44	можно сказать что	1	1
45	мы ничего не	1	1
46	одной и той	2	1
47	все то что	11	1
48	то есть мы	1	1
49	речь идет о	2	1
