N	4gram	Propp_Morf_1	Problema
1	и тем не менее	1	8
2	не имеет ничего общего	1	2
3	как мы увидим ниже	3	2
4	прежде чем перейти к	1	2
5	действующих лиц в этой	1	1
6	в настоящее время уже	1	1
7	что бы то ни	1	1
8	и т д здесь	1	1
9	же в этих случаях	1	1
10	одно и то же	1	1
11	и т д все	1	1
12	о том что такое	1	1
13	это не значит что	2	1
14	в то время как	3	1
15	иметь в виду следующее	1	1
16	во что бы то	1	1
17	то это значит что	1	1
18	на то что в	1	1
19	то во всяком случае	1	1
20	бы то ни стало	1	1
21	в связи с этим	4	1
