N	2gram	Voloshinov_1	VelikijI
1	и не	10	20
2	и в	12	16
3	так как	9	9
4	то что	5	9
5	еще не	3	8
6	в истории	1	8
7	что они	1	7
8	а не	5	7
9	и потому	2	7
10	не есть	2	6
11	на себя	1	5
12	но и	3	5
13	того что	3	5
14	хотя и	1	5
15	все это	3	5
16	как бы	13	5
17	в его	2	4
18	в этом	4	4
19	в нем	6	4
20	так и	4	4
21	что все	1	4
22	что не	4	4
23	как и	5	4
24	что мы	5	4
25	в котором	3	4
26	в ней	6	4
27	и все	2	4
28	и что	2	3
29	должна быть	5	3
30	нас и	2	3
31	хотя бы	5	3
32	как не	2	3
33	в чем	2	3
34	с его	2	3
35	во всех	1	3
36	что и	2	3
37	в том	6	3
38	тот же	1	3
39	но в	5	3
40	все эти	3	3
41	в своей	3	3
42	и мы	1	3
43	в жизни	5	3
44	ни в	3	3
45	в них	3	3
46	не было	1	3
47	должно быть	1	3
48	в этих	2	3
49	нет ничего	2	3
50	что я	1	3
51	не в	4	3
52	но это	2	3
53	никогда не	5	3
54	и для	3	3
55	к тому	1	3
56	жизни и	4	3
57	что в	2	3
58	оно не	2	3
59	а между	1	2
60	и это	1	2
61	того чтобы	1	2
62	и то	2	2
63	но мы	2	2
64	это мы	1	2
65	можно было	1	2
66	мы не	3	2
67	с ним	3	2
68	мы это	1	2
69	ее и	3	2
70	и во	1	2
71	так для	1	2
72	между тем	3	2
73	нас за	1	2
74	его к	2	2
75	только в	6	2
76	в себя	2	2
77	конечно не	3	2
78	уже не	4	2
79	не только	4	2
80	на этих	1	2
81	его и	1	2
82	не так	2	2
83	для него	3	2
84	не к	3	2
85	ценности и	1	2
86	так не	1	2
87	это не	2	2
88	а с	1	2
89	прежде всего	8	2
90	для них	1	2
91	люди не	1	2
92	все равно	1	2
93	для их	1	2
94	и тогда	1	2
95	не могут	1	2
96	является в	1	2
97	значения и	2	2
98	тем кто	1	2
99	да и	3	2
100	уж конечно	1	2
101	уже на	1	2
102	том что	5	2
103	а к	2	2
104	для нас	7	2
105	от него	1	2
106	в форме	2	2
107	есть уже	2	2
108	но не	2	2
109	могут быть	2	2
110	во всяком	1	2
111	от этой	2	1
112	как мы	1	1
113	в виду	5	1
114	в ее	1	1
115	в словах	1	1
116	нем но	1	1
117	и самое	2	1
118	не имеют	1	1
119	то же	5	1
120	и которые	1	1
121	в результате	1	1
122	это только	1	1
123	что уже	1	1
124	и вообще	3	1
125	и ее	3	1
126	зависимости от	4	1
127	кто же	1	1
128	и на	4	1
129	и который	1	1
130	со словами	1	1
131	бы то	3	1
132	оно ни	1	1
133	все в	1	1
134	что оно	1	1
135	этого бытия	1	1
136	к нему	4	1
137	важный для	1	1
138	мы указывали	1	1
139	сознания не	1	1
140	менее всего	1	1
141	себе и	1	1
142	крайней мере	1	1
143	и можно	1	1
144	словах и	1	1
145	и уж	1	1
146	как в	5	1
147	и мир	1	1
148	пути в	1	1
149	это ни	1	1
150	в своем	2	1
151	все же	4	1
152	уже сказано	1	1
153	в двух	1	1
154	мы увидим	1	1
155	ли он	1	1
156	и так	2	1
157	в самом	4	1
158	что это	1	1
159	в целом	1	1
160	этот третий	1	1
161	им в	1	1
162	уже в	2	1
163	слово это	2	1
164	в виде	1	1
165	но прежде	1	1
166	слова не	1	1
167	или даже	1	1
168	перестает быть	2	1
169	и вот	1	1
170	и должна	1	1
171	вовсе не	1	1
172	отношение к	4	1
173	нашего времени	1	1
174	но что	2	1
175	бытия и	1	1
176	у него	1	1
177	и по	3	1
178	на этом	1	1
179	бы это	1	1
180	то ни	3	1
181	любит и	2	1
182	конечно в	2	1
183	и с	3	1
184	и менее	1	1
185	с другой	4	1
186	миру и	1	1
187	и тем	1	1
188	в высшую	1	1
189	говорит о	1	1
190	них и	1	1
191	не всегда	1	1
192	и уже	3	1
193	о чем	1	1
194	и было	1	1
195	него не	1	1
196	места в	1	1
197	вместе с	2	1
198	так же	3	1
199	ко всем	2	1
200	как это	2	1
201	то есть	1	1
202	в лице	1	1
203	что всякий	1	1
204	является и	1	1
205	мы в	2	1
206	у нас	1	1
207	если оно	1	1
208	ненависть к	1	1
209	несравненно более	2	1
210	в одном	1	1
211	по крайней	1	1
212	с этой	2	1
213	конечно ни	1	1
214	в атмосфере	2	1
215	и внешней	1	1
216	к ним	2	1
217	и остается	1	1
218	мы все	4	1
219	не существует	1	1
220	найти в	1	1
221	это как	3	1
222	ничего не	2	1
223	человек и	1	1
224	бытия если	1	1
225	может быть	14	1
226	на него	2	1
227	хором с	1	1
228	уже и	1	1
229	человеческого общества	2	1
230	связь с	2	1
231	жизни в	1	1
232	может и	1	1
233	и третье	1	1
234	другой стороны	2	1
235	теперь когда	1	1
236	им не	2	1
237	но все	2	1
238	к этому	2	1
239	в окончательном	1	1
240	в искусстве	1	1
241	и другие	2	1
242	важная задача	1	1
243	слова с	1	1
244	в процессе	6	1
245	и эта	1	1
246	себя и	2	1
247	она не	2	1
248	они не	1	1
