N	3gram	Tiupa_Teor_1	Problemy
1	с точки зрения	3	8
2	в большинстве случаев	1	8
3	по отношению к	4	5
4	то же время	5	5
5	с самим собою	1	5
6	в то же	5	5
7	в отличие от	6	4
8	сама по себе	1	4
9	не может быть	4	4
10	как бы в	1	4
11	в той или	1	3
12	более или менее	2	3
13	с другой стороны	5	3
14	но в то	1	3
15	той или иной	1	3
16	никак не может	1	3
17	как и в	2	3
18	в этом смысле	2	2
19	может быть и	2	2
20	в том или	1	2
21	в отношении к	1	2
22	и то же	1	2
23	по себе еще	1	2
24	одно и то	1	2
25	тем не менее	3	2
26	в то время	1	2
27	друг от друга	1	2
28	в этих случаях	1	2
29	человека и его	1	2
30	себе еще не	1	2
31	каждая из этих	1	1
32	точки зрения и	1	1
33	я и мир	1	1
34	но прежде всего	1	1
35	а между тем	1	1
36	в этом мире	2	1
37	и в жизни	1	1
38	иметь в виду	1	1
39	в виду что	1	1
40	дело в том	1	1
41	в том числе	2	1
42	то же самое	1	1
43	по крайней мере	1	1
44	является одним из	1	1
45	бы то ни	1	1
46	речи и соответственно	1	1
47	ибо и в	1	1
48	при этом не	1	1
49	том числе и	1	1
50	том или ином	1	1
51	человека с человеком	1	1
52	бы развернуть в	1	1
53	в значительной степени	1	1
54	незаметно для читателя	1	1
55	то ни было	1	1
56	с одной стороны	2	1
57	в связи с	1	1
58	но в отличие	1	1
59	как один из	1	1
60	в романе достоевского	1	1
61	в равной степени	3	1
62	так или иначе	4	1
63	отношение между ними	1	1
64	это возможно в	1	1
65	продолжением и развитием	1	1
66	в следующей главе	1	1
67	самим собой как	1	1
68	своими корнями в	1	1
69	здесь как бы	1	1
70	о том что	1	1
71	не менее чем	1	1
72	не была бы	1	1
73	как бы вбирает	1	1
74	не случайно они	1	1
75	никогда не бывает	1	1
76	не только не	2	1
77	ивана карамазова в	1	1
78	можно сказать что	2	1
79	в известной степени	1	1
80	но не в	1	1
81	больше и больше	1	1
82	таким образом и	1	1
83	в том что	8	1
84	в своей жизни	1	1
