N	3gram	Bakhtin_Fr_6	VLabPisa
1	в этом отношении	3	13
2	с другой стороны	2	8
3	не может быть	1	8
4	по отношению к	1	7
5	более или менее	1	6
6	в зависимости от	1	5
7	то же время	5	5
8	в то же	5	5
9	в связи с	1	4
10	можно сказать что	1	4
11	в том что	2	4
12	о том как	1	3
13	и др в	1	3
14	в значительной мере	1	3
15	вместе с тем	1	3
16	в этой области	1	3
17	мы видели что	1	3
18	большей или меньшей	3	3
19	о том что	5	3
20	в одном из	1	3
21	в другом месте	4	2
22	одной стороны и	2	2
23	в чем же	1	2
24	до сих пор	3	2
25	только то что	1	2
26	таким образом в	2	2
27	так и от	1	2
28	или меньшей степени	2	2
29	с одной стороны	4	2
30	в конце концов	1	2
31	во всех этих	2	2
32	в большей или	3	2
33	те из них	1	2
34	таким образом не	1	2
35	для того чтобы	1	2
36	во всех его	3	2
37	на этот вопрос	1	1
38	в той или	1	1
39	другой стороны в	1	1
40	в начале этой	1	1
41	в таких же	1	1
42	как один из	2	1
43	в самом деле	4	1
44	и по отношению	1	1
45	но с более	1	1
46	как это было	1	1
47	как и все	1	1
48	именно в этом	1	1
49	леонардо да винчи	1	1
50	но и в	2	1
51	то что из	1	1
52	все это мы	1	1
53	искусстве и в	1	1
54	со всех сторон	1	1
55	говорит о том	1	1
56	некоторые из них	1	1
57	таким образом уже	1	1
58	мы полагаем что	1	1
59	в ту же	1	1
60	в данном случае	2	1
61	по этому вопросу	1	1
62	но в то	1	1
63	не только в	1	1
64	мы видим что	1	1
65	каждый из них	2	1
66	все же не	1	1
67	с большей или	1	1
68	для правильного понимания	1	1
69	все то что	4	1
70	в системе образов	1	1
71	у него в	1	1
72	в то время	1	1
73	он говорит и	1	1
74	та или иная	1	1
75	но и для	1	1
76	даже в этой	1	1
77	той или иной	1	1
78	от всех других	1	1
79	или иной мере	1	1
80	после того как	1	1
81	в искусстве и	2	1
82	что все они	1	1
83	очень богатой и	1	1
84	начале этой главы	1	1
