N	2gram	Ircho_Kome_2	Analitik
1	не только	7	22
2	и в	26	18
3	как и	4	14
4	так и	12	14
5	в этом	10	14
6	но и	10	13
7	и его	12	13
8	и не	14	12
9	в качестве	5	12
10	в частности	4	12
11	том что	9	12
12	а в	3	10
13	как бы	2	10
14	в том	11	9
15	со стороны	2	9
16	что в	9	9
17	а не	1	9
18	может быть	11	9
19	и даже	1	8
20	со своей	3	8
21	с его	5	8
22	отношению к	3	7
23	как раз	1	7
24	но не	3	7
25	по отношению	3	7
26	во второй	1	7
27	в его	4	7
28	с другой	2	7
29	еще не	6	6
30	не в	2	6
31	в их	3	6
32	для него	1	6
33	в начале	4	6
34	и самого	1	6
35	к тому	12	6
36	текста в	1	6
37	в этой	3	6
38	он не	2	6
39	о том	6	6
40	как правило	3	5
41	того же	3	5
42	прежде всего	4	5
43	в конце	2	5
44	в сущности	1	5
45	между тем	4	5
46	представляет собой	1	5
47	такого рода	1	5
48	никогда не	1	5
49	той же	3	5
50	мы имеем	2	5
51	другой стороны	1	5
52	в самом	4	5
53	что и	7	5
54	в мире	2	5
55	в результате	1	5
56	однако в	2	5
57	не является	2	5
58	или иной	1	5
59	в свою	1	5
60	что по	2	4
61	приводит к	1	4
62	все же	4	4
63	имеем дело	1	4
64	не менее	4	4
65	таким образом	6	4
66	тем самым	1	4
67	ли не	7	4
68	по себе	1	4
69	в одном	2	4
70	однако что	1	4
71	и сам	3	4
72	и к	2	4
73	героя и	1	4
74	отнюдь не	2	4
75	свою очередь	1	4
76	о чем	3	4
77	внимание на	1	4
78	и на	7	4
79	столь же	9	4
80	себя в	3	4
81	что он	5	4
82	в пределах	1	4
83	и как	1	4
84	в своем	6	4
85	же время	3	3
86	не было	3	3
87	точки зрения	4	3
88	поскольку он	1	3
89	мы не	2	3
90	как это	4	3
91	и без	1	3
92	если в	2	3
93	по его	1	3
94	его в	4	3
95	ответ на	3	3
96	были бы	1	3
97	в ее	2	3
98	той или	1	3
99	о смерти	1	3
100	что касается	3	3
101	дело с	3	3
102	то же	3	3
103	говорить о	2	3
104	как в	3	3
105	в целом	4	3
106	что не	1	3
107	следует признать	2	3
108	в то	6	3
109	всех без	1	3
110	с этим	5	3
111	восходит к	4	3
112	тому же	11	3
113	ничего не	1	3
114	не столько	1	3
115	едва ли	14	3
116	жизнь и	1	3
117	по поводу	3	3
118	с их	4	3
119	однако и	1	3
120	не всегда	2	3
121	именно в	1	3
122	роль в	2	3
123	так в	2	3
124	в рамках	1	3
125	его не	1	3
126	все это	3	3
127	к этому	5	3
128	было бы	8	3
129	он и	1	3
130	уже в	4	3
131	в каждом	3	3
132	из этих	4	3
133	мысль о	1	3
134	все эти	1	2
135	не могла	1	2
136	о которых	1	2
137	пока же	1	2
138	для всех	3	2
139	в них	4	2
140	в себе	1	2
141	и здесь	6	2
142	на его	1	2
143	во всяком	2	2
144	связь с	1	2
145	входит в	1	2
146	не должен	1	2
147	углом зрения	1	2
148	с нею	1	2
149	на пути	2	2
150	говорит о	1	2
151	доказывает что	1	2
152	могла бы	3	2
153	не может	3	2
154	в ответ	2	2
155	и для	4	2
156	о его	4	2
157	и все	2	2
158	гораздо более	1	2
159	в жизни	1	2
160	в большинстве	1	2
161	произведения и	1	2
162	в нем	6	2
163	даже в	2	2
164	там где	1	2
165	в тех	3	2
166	не более	2	2
167	то ли	2	2
168	мере в	1	2
169	свою жизнь	1	2
170	во всех	3	2
171	об этом	2	2
172	бы и	2	2
173	тем что	3	2
174	с тем	5	2
175	в принципе	2	2
176	по своей	1	2
177	не мог	1	2
178	в искусстве	1	2
179	сводится к	1	2
180	нуждается в	1	2
181	вместе с	9	2
182	а для	1	2
183	например в	3	2
184	отношения к	1	2
185	в себя	1	2
186	всяком случае	2	2
187	действующего лица	1	2
188	на меня	1	2
189	это не	2	2
190	но они	1	2
191	более чем	4	2
192	хотя и	4	2
193	не с	1	2
194	хотя в	1	2
195	то что	6	2
196	с точки	1	2
197	в той	2	2
198	отличие от	2	2
199	конечном счете	1	2
200	и от	4	2
201	да и	3	2
202	но всегда	1	2
203	обе эти	1	2
204	один из	5	2
205	тот или	1	2
206	в контексте	1	2
207	в первом	2	2
208	тем не	1	2
209	только в	4	2
210	видеть в	1	2
211	о и	1	2
212	одной стороны	2	2
213	одна из	2	2
214	военную службу	2	2
215	с одной	2	2
216	когда он	1	2
217	власть над	1	2
218	не для	2	2
219	как уже	1	2
220	в поход	1	2
221	в отличие	2	2
222	мы можем	3	2
223	как к	1	2
224	несмотря на	1	2
225	но в	3	2
226	о себе	1	2
227	в общем	1	2
228	и ее	2	2
229	одну из	1	2
230	же в	4	2
231	а также	1	2
232	нам не	1	2
233	самом деле	1	2
234	на два	1	2
235	в ней	3	2
236	сказать что	1	2
237	что она	2	2
238	представляется нам	1	2
239	в глазах	2	2
240	на себя	7	2
241	судя по	4	2
242	в соответствии	1	2
243	от его	1	2
244	тех пор	3	2
245	по своему	2	2
246	на примере	1	2
247	и затем	1	1
248	жизни ибо	1	1
249	то мы	1	1
250	ни одного	1	1
251	каждом из	1	1
252	в полном	1	1
253	со своим	1	1
254	полной мере	1	1
255	тем же	1	1
256	между ними	1	1
257	не знает	1	1
258	бы быть	1	1
259	на себе	1	1
260	бы в	2	1
261	с учетом	1	1
262	к той	1	1
263	восходящих к	1	1
264	но о	1	1
265	своих героев	1	1
266	вопрос о	3	1
267	своего героя	1	1
268	от всех	2	1
269	в столь	1	1
270	в одно	1	1
271	в поле	3	1
272	первом случае	1	1
273	между отцом	1	1
274	место в	4	1
275	дружеских отношениях	1	1
276	только как	1	1
277	в литературе	1	1
278	жизни и	3	1
279	персонажа это	1	1
280	она является	1	1
281	свидетельствует не	1	1
282	вслед за	2	1
283	от этого	2	1
284	с новой	1	1
285	не умеет	1	1
286	в переносном	1	1
287	до тех	3	1
288	ко всему	1	1
289	для которого	1	1
290	такое что	1	1
291	к ее	1	1
292	для себя	1	1
293	все его	1	1
294	перед лицом	2	1
295	в область	1	1
296	и является	1	1
297	всей округе	1	1
298	мертвых душ	1	1
299	игра случая	1	1
300	и их	3	1
301	самим собой	1	1
302	большинстве случаев	1	1
303	в доме	6	1
304	речь о	2	1
305	речь идет	3	1
306	выступает не	1	1
307	рядом с	2	1
308	положение как	1	1
309	вовсе не	2	1
310	ведет к	1	1
311	оба они	1	1
312	только при	1	1
313	сомневаться что	1	1
314	бы он	1	1
315	всего они	1	1
316	как видим	2	1
317	случаях когда	1	1
318	говоря о	1	1
319	одно из	2	1
320	затем и	2	1
321	как можно	1	1
322	если говорить	1	1
323	сих пор	2	1
324	наконец в	2	1
325	ведая того	1	1
326	говоря уже	2	1
327	из двух	1	1
328	по имени	4	1
329	у него	4	1
330	и теперь	1	1
331	с помощью	1	1
332	утверждал что	1	1
333	независимо от	5	1
334	и частной	1	1
335	хотя бы	2	1
336	с ним	1	1
337	забывать что	1	1
338	и другие	2	1
339	всего этого	1	1
340	друг от	1	1
341	этот тезис	1	1
342	так что	5	1
343	его поступки	1	1
344	человека с	1	1
