N	3gram	Tiupa_Hudo_2	VerxiiNi
1	с одной стороны	3	7
2	с точки зрения	2	6
3	в том числе	1	5
4	до сих пор	2	5
5	а с другой	1	5
6	для того чтобы	3	5
7	о том что	7	4
8	том числе и	1	4
9	но все же	1	4
10	к тому же	2	4
11	так или иначе	1	3
12	точно так же	1	3
13	так же как	2	3
14	тем не менее	3	3
15	в том что	11	3
16	то же самое	2	2
17	в этом отношении	1	2
18	то или иное	1	2
19	не только для	1	2
20	с того момента	1	2
21	бы то ни	1	2
22	то же время	4	2
23	но и для	1	2
24	с самого начала	1	2
25	той или иной	1	2
26	можно сказать что	1	2
27	в то же	4	2
28	и в этом	2	2
29	и все же	1	1
30	а между тем	3	1
31	это не означает	1	1
32	так и остается	1	1
33	состоит в том	2	1
34	по отношению к	7	1
35	в котором он	1	1
36	в самом деле	3	1
37	в настоящее время	1	1
38	в соответствии с	3	1
39	о том как	2	1
40	в таком случае	1	1
41	и в то	2	1
42	все те же	2	1
43	с этого момента	1	1
44	в то что	1	1
45	найти в нем	1	1
46	того момента когда	1	1
47	в данном случае	2	1
48	в первом случае	1	1
49	оставляя после себя	1	1
50	но при этом	3	1
51	и потому-то с	1	1
52	а не как	1	1
53	все более и	1	1
54	с другой стороны	1	1
55	как бы в	1	1
56	а в том	1	1
57	у него в	1	1
58	не может быть	3	1
59	но с другой	1	1
60	но тем не	2	1
61	в то время	1	1
62	в одном из	1	1
63	не только не	2	1
64	более и более	1	1
65	в этой роли	1	1
66	после того как	1	1
67	как на нечто	1	1
68	что и в	1	1
69	с собой на	1	1
70	именно потому что	1	1
