N	3gram	Ircho_Kome_1	Poddanst
1	в то же	4	7
2	то же время	4	7
3	в отношении к	1	5
4	не только в	1	4
5	в том что	9	4
6	с одной стороны	3	3
7	в том числе	1	2
8	и не только	1	2
9	но и в	2	2
10	том что в	1	1
11	чуть ли не	1	1
12	более или менее	1	1
13	или хотя бы	1	1
14	только в условиях	1	1
15	можно говорить о	1	1
16	в отличие от	1	1
17	и еще в	1	1
18	и связывается с	1	1
19	вместе с тем	1	1
20	в применении к	1	1
21	так же как	1	1
22	только в виде	1	1
23	во всяком случае	2	1
24	с другой стороны	5	1
25	не в отрыве	1	1
26	в борьбе с	1	1
27	именно потому что	2	1
28	мы не только	1	1
29	в большинстве случаев	1	1
30	можно судить по	2	1
31	что уже в	1	1
32	для того чтобы	1	1
33	насколько можно судить	1	1
34	в отрыве от	1	1
35	и т д	4	1
