1	в то же время	3	5
2	не что иное как	1	4
3	и тем не менее	1	3
4	но в то же	1	3
5	заключается в том что	2	2
6	так или иначе но	1	2
7	дело в том что	3	2
8	и в конце концов	1	1
9	а это в свою	1	1
10	словаря брокгауза и ефрона	1	1
11	в собственном смысле слова	1	1
12	тем не менее не	1	1
13	ответа на свои вопросы	1	1
14	то что можно назвать	1	1
15	до тех пор пока	1	1
16	отчет в том что	1	1
17	но во всяком случае	1	1
18	а в том чтобы	1	1
19	энциклопедического словаря брокгауза и	1	1
20	в связи с этим	1	1
21	также и то что	1	1
22	но вместе с тем	1	1
23	не говоря уже о	2	1
24	приходит к выводу что	1	1
25	это в свою очередь	1	1
