N	3gram	Propp_Isto_1	OGranits
1	не может быть	7	4
2	до тех пор	1	4
3	по отношению к	3	3
4	что иное как	1	2
5	но так как	1	2
6	мы можем поставить	1	2
7	в зависимости от	2	2
8	можем поставить вопрос	1	2
9	не чем иным	1	2
10	с одной стороны	4	2
11	с другой стороны	5	2
12	того или иного	1	2
13	есть не что	1	2
14	чем иным как	1	2
15	с самого начала	2	2
16	не что иное	1	2
17	в том что	4	2
18	тот же мотив	1	1
19	в другом месте	1	1
20	весь этот материал	1	1
21	один и тот	2	1
22	связаны между собою	1	1
23	но это конечно	1	1
24	что в этом	1	1
25	иметь в виду	1	1
26	там где нет	1	1
27	более или менее	5	1
28	равно как и	1	1
29	подобно тому как	1	1
30	то же самое	3	1
31	здесь мы не	1	1
32	одно из проявлений	1	1
33	тесно связана с	1	1
34	можно говорить о	1	1
35	в отличие от	2	1
36	только то что	1	1
37	в этом отношении	1	1
38	то что в	2	1
39	такое утверждение не	1	1
40	можно было бы	3	1
41	и в области	1	1
42	является не чем	1	1
43	по себе а	1	1
44	для того чтобы	1	1
45	так же как	2	1
46	если бы мы	2	1
47	этого мы должны	1	1
48	и тот же	2	1
49	тем не менее	6	1
50	может быть объяснено	1	1
51	в одном случае	1	1
52	в связи с	3	1
53	а не как	1	1
54	само по себе	2	1
55	прежде всего в	1	1
56	это конечно не	2	1
57	мы уже видели	1	1
58	но столь же	1	1
59	только в связи	1	1
60	но тем не	1	1
61	мы не можем	2	1
62	таким образом мы	2	1
63	и в действительности	1	1
64	хотя бы в	1	1
65	не только на	1	1
66	но в то	1	1
67	на то что	4	1
68	эту точку зрения	2	1
69	к тому что	1	1
70	тех или иных	1	1
