N	2gram	Nazirov_Tr_1	Stilisti
1	и в	18	42
2	не только	8	27
3	как бы	7	27
4	прежде всего	4	22
5	и т.д	1	20
6	хотя бы	1	17
7	но и	4	15
8	то же	5	15
9	и не	7	14
10	не может	5	12
11	может быть	7	12
12	как и	5	11
13	и как	3	10
14	ситуации и	1	10
15	как мы	1	10
16	в этом	9	10
17	отнюдь не	3	10
18	при этом	3	9
19	то что	4	9
20	в то	5	9
21	в себе	4	8
22	все же	5	8
23	таким образом	1	8
24	тем самым	3	8
25	с тем	2	8
26	эти слова	1	8
27	в ней	1	8
28	и это	2	8
29	в которой	1	7
30	же время	6	7
31	того чтобы	1	7
32	потому что	2	7
33	а не	1	7
34	и от	1	7
35	и его	6	7
36	ничего не	2	7
37	никогда не	2	7
38	только в	1	7
39	и на	7	7
40	с его	2	7
41	в форме	1	6
42	так и	5	6
43	или как	1	6
44	в нем	4	6
45	не в	2	6
46	в конце	3	6
47	во всех	1	6
48	в этой	4	6
49	в области	1	6
50	и с	7	5
51	и наконец	1	5
52	слова в	1	5
53	и их	1	5
54	с помощью	1	5
55	как это	3	5
56	вместе с	1	5
57	в той	1	5
58	той же	1	5
59	в его	3	5
60	тому что	1	5
61	у которого	1	5
62	не является	1	5
63	уже в	3	5
64	бы в	1	4
65	так же	4	4
66	в обществе	1	4
67	было в	2	4
68	что это	5	4
69	то есть	3	4
70	так сказать	1	4
71	его в	2	4
72	того что	1	4
73	но все	2	4
74	все время	1	4
75	к тому	2	4
76	один из	3	4
77	уже не	2	4
78	что именно	1	4
79	в самом	2	4
80	с самого	1	4
81	мы видим	1	4
82	не просто	2	4
83	но в	6	4
84	о том	2	4
85	все это	4	4
86	самом деле	1	4
87	и то	2	4
88	если б	2	4
89	можно было	1	4
90	самого начала	1	4
91	нуждается в	1	3
92	и здесь	2	3
93	еще не	4	3
94	и вот	1	3
95	конце концов	1	3
96	не к	1	3
97	связи с	1	3
98	но при	2	3
99	и все	4	3
100	этом мы	1	3
101	лишь в	1	3
102	об этом	4	3
103	если он	1	3
104	для нас	1	3
105	не мог	2	3
106	в виду	1	3
107	в ее	2	3
108	здесь мы	1	3
109	не так	2	3
110	это не	5	3
111	и даже	4	3
112	этом случае	1	3
113	в целом	4	3
114	что оно	1	3
115	в котором	1	3
116	вряд ли	2	3
117	этого слова	1	3
118	социальной жизни	1	3
119	в одном	2	3
120	что и	2	3
121	роль в	1	3
122	иван петрович	3	3
123	связь и	1	3
124	только на	1	3
125	перед нами	2	3
126	и эта	1	3
127	связь между	1	3
128	том что	4	3
129	все эти	3	2
130	но не	1	2
131	вопрос о	2	2
132	в связи	1	2
133	значение и	1	2
134	это выражение	1	2
135	перед ним	1	2
136	человека и	1	2
137	не было	1	2
138	и эту	1	2
139	к нему	3	2
140	я и	1	2
141	как нечто	1	2
142	но мы	1	2
143	у себя	1	2
144	с ним	3	2
145	бы не	1	2
146	он сказал	1	2
147	человек не	1	2
148	человека с	1	2
149	в голову	1	2
150	в своей	1	2
151	а на	1	2
152	бы и	2	2
153	и он	3	2
154	по своей	1	2
155	смысле этого	1	2
156	между собой	1	2
157	отношение к	2	2
158	для него	3	2
159	его речь	1	2
160	должны были	1	2
161	в том	2	2
162	и сам	3	2
163	иными словами	1	2
164	роль играет	1	2
165	как в	3	2
166	в дальнейшем	5	2
167	где и	1	2
168	в душе	2	2
169	даже на	2	2
170	представляет собой	1	2
171	с собой	1	2
172	из трех	1	2
173	и потому	1	2
174	должно быть	3	2
175	выражение лица	1	2
176	тем что	2	2
177	это же	1	2
178	чего же	1	2
179	что эти	2	2
180	а к	1	2
181	от самых	1	2
182	жизни своей	1	2
183	тем и	1	2
184	в мире	3	2
185	до конца	2	2
186	несмотря на	5	2
187	в разговоре	1	2
188	в частности	2	2
189	в какой-то	1	2
190	что он	6	2
191	такие как	1	2
192	но эта	2	2
193	быть может	1	2
194	развития в	1	2
195	но это	4	2
196	не есть	1	2
197	и при	1	2
198	статье мы	1	1
199	от самой	1	1
200	жизни ее	1	1
201	эти мысли	1	1
202	столь же	2	1
203	одним из	1	1
204	не могла	1	1
205	друга и	1	1
206	я тебе	2	1
207	всегда оказывается	1	1
208	по сравнению	1	1
209	сравнению с	1	1
210	есть в	1	1
211	это мы	1	1
212	дистанция между	1	1
213	в поле	3	1
214	это чувство	1	1
215	в литературе	1	1
216	создает и	1	1
217	сама собой	1	1
218	его с	1	1
219	человека мы	1	1
220	мы начинаем	1	1
221	борьбе за	1	1
222	даже не	1	1
223	нет в	2	1
224	ведь уже	1	1
225	это как	1	1
226	она не	1	1
227	этими двумя	2	1
228	какой-нибудь бывший	1	1
229	разговоре с	1	1
230	не менее	1	1
231	но еще	1	1
232	это часто	1	1
233	в виде	2	1
234	значение для	1	1
235	в сцене	1	1
236	только о	2	1
237	ту сторону	1	1
238	речью которая	1	1
239	в ресторане	2	1
240	намек на	1	1
241	у него	6	1
242	это значит?	1	1
243	что эта	1	1
244	роман и	1	1
245	одному из	1	1
246	взгляд на	1	1
247	на улице	1	1
248	выходящее за	1	1
249	что я	4	1
250	слов как	1	1
251	и жизнь	1	1
252	наряду с	1	1
253	любовь в	1	1
254	также что	1	1
255	это происходит	1	1
256	первым словом	1	1
257	и вне	1	1
258	как некое	1	1
259	превратиться в	1	1
260	ответа на	1	1
261	то в	1	1
262	частью его	1	1
263	хлеб и	1	1
264	и теперь	1	1
265	что хочет	1	1
266	из ее	1	1
267	от силы	1	1
268	сильнее и	1	1
269	является ли	1	1
270	его как	1	1
271	ничем не	2	1
272	не протекал	1	1
273	и личность	2	1
274	не смог	1	1
275	он непрерывно	1	1
276	к людям	3	1
277	нет это	1	1
278	этими словами	1	1
279	только один	1	1
280	что в	4	1
281	при которой	1	1
282	в журнале	1	1
283	то для	1	1
284	с этой	1	1
285	никакого значения	1	1
286	например в	1	1
287	совершенно не	1	1
288	звезды и	1	1
289	речи в	1	1
290	необходимое условие	1	1
291	свидетельствует о	1	1
292	конечно в	1	1
293	дело с	1	1
294	вместе со	2	1
295	в таком	2	1
296	а затем	1	1
297	понятно что	1	1
298	состоит из	2	1
299	но если	1	1
300	между тем	1	1
301	но как	1	1
302	в ход	1	1
303	но они	2	1
304	более чем	1	1
305	на нечто	1	1
306	и политических	1	1
307	именно эта	1	1
308	и которое	1	1
309	в стиле	1	1
310	на все	1	1
311	за свое	1	1
312	за пределы	1	1
313	что этот	2	1
314	на вопрос	1	1
315	которой не	1	1
316	и всегда	1	1
317	к своей	1	1
318	она должна	2	1
319	мог бы	3	1
320	утверждать что	1	1
321	всегда будет	1	1
322	это и	1	1
323	что при	1	1
324	что без	1	1
325	в романе	10	1
326	в газетах	1	1
327	характеры и	1	1
328	из тех	1	1
329	даже отчасти	1	1
330	жив и	1	1
331	даже если	2	1
332	и темы	1	1
333	и если	1	1
334	в чем	1	1
335	именно так	1	1
336	но уже	1	1
337	по себе	1	1
338	и о	1	1
339	ивана петровича	6	1
340	х годов	1	1
341	это уже	2	1
342	нем ничего	1	1
343	содержит в	1	1
344	в глаза	2	1
345	ни в	2	1
346	к сожалению	1	1
347	в истории	1	1
348	так что	2	1
349	наших дней	1	1
350	но этого	2	1
351	и общий	1	1
352	со своей	1	1
353	перестает быть	1	1
354	по самой	1	1
355	тем не	1	1
356	о чем	3	1
357	желание в	1	1
358	этот тон	1	1
359	они сами	1	1
360	могло бы	1	1
361	ему в	1	1
362	на ту	1	1
363	его самого	1	1
364	страха и	1	1
365	в особенности	1	1
366	произносит слово	1	1
367	друг друга	2	1
368	глаза в	1	1
369	только не	1	1
370	одна из	2	1
371	имеет для	1	1
372	он в	1	1
373	которое уже	1	1
374	именно в	1	1
375	чтобы он	1	1
376	того как	1	1
377	факт что	1	1
378	чтобы не	1	1
379	в иной	1	1
380	ведь еще	2	1
381	с сознанием	1	1
382	в каких	1	1
383	и что	4	1
384	у достоевского	5	1
385	в результате	1	1
386	он не	2	1
387	еще раз	2	1
388	все сильнее	1	1
389	на этом	1	1
390	не могут	2	1
391	всю эту	1	1
392	не как	1	1
393	значение выходящее	1	1
394	на общество	1	1
395	я не	4	1
396	сказал что	1	1
397	и женщины	1	1
398	его поза	1	1
399	в общем	1	1
400	в развитии	1	1
401	своей и	1	1
402	в другом	1	1
403	между этими	2	1
404	ее не	1	1
405	входят в	1	1
406	не был	2	1
407	самой своей	1	1
408	на этот	1	1
409	дома и	2	1
410	в основном	3	1
411	первостепенное значение	1	1
412	и до	2	1
413	когда в	1	1
414	и есть	1	1
415	не из	1	1
416	способен на	1	1
417	слова были	1	1
418	первую фразу	1	1
419	знает что	2	1
420	повиновения и	1	1
421	раз и	2	1
422	говорили что	1	1
423	же слова	1	1
424	но от	1	1
425	быть в	1	1
426	ненависть к	2	1
427	и сильнее	1	1
428	в самой	1	1
429	и отношения	1	1
430	ту же	1	1
431	россии но	1	1
432	бросается в	2	1
433	к личности	1	1
434	такие слова	1	1
435	со своими	1	1
436	как же	2	1
437	сливается с	1	1
438	в тему	1	1
439	мысль о	1	1
440	от всего	2	1
441	еще в	2	1
442	к одному	1	1
443	вообще не	1	1
444	превратилось в	2	1
445	ввел в	1	1
446	как говорит	2	1
447	отметить что	1	1
448	в своем	3	1
449	является ее	1	1
450	с ними	1	1
