N	3gram	Propp_Isto_1	Problemy
1	с самого начала	2	8
2	и т п	1	6
3	не может быть	7	6
4	по отношению к	3	5
5	в этом смысле	1	4
6	бы то ни	2	4
7	то ни было	2	4
8	но в то	1	3
9	что у меня	1	3
10	с другой стороны	5	3
11	и в нем	1	3
12	смысле этого слова	1	2
13	сводится к тому	1	2
14	подобно тому как	1	2
15	в этом случае	1	2
16	но все это	1	2
17	вместе с тем	2	2
18	в отличие от	2	2
19	друг на друга	1	2
20	а может быть	1	2
21	к тому чтобы	1	2
22	того что он	1	2
23	что он в	1	2
24	и в этом	1	2
25	о том что	3	2
26	тем не менее	6	2
27	друг с другом	3	2
28	в большинстве случаев	4	2
29	к тому же	1	2
30	мы увидим что	5	2
31	именно потому что	1	2
32	и т д	22	2
33	если бы он	1	1
34	должны были бы	2	1
35	для него как	1	1
36	на этом моменте	1	1
37	какой бы то	1	1
38	прежде всего в	1	1
39	в виде отдельных	1	1
40	даже тон рассказа	1	1
41	большей или меньшей	2	1
42	мы должны были	2	1
43	на них мы	1	1
44	и в особенности	1	1
45	и к другим	1	1
46	в нем и	1	1
47	как его понимал	1	1
48	не было и	1	1
49	и то в	1	1
50	до сих пор	5	1
51	что он должен	1	1
52	не только с	1	1
53	мы могли бы	1	1
54	на самом же	1	1
55	а так как	1	1
56	в этом отношении	1	1
57	то что в	2	1
58	о нем но	1	1
59	за то что	1	1
60	в нем он	1	1
61	выдает себя за	1	1
62	к тому что	1	1
63	в значительной степени	1	1
64	в большей или	1	1
65	этого вопроса необходимо	1	1
66	то что уже	1	1
67	в себе как	1	1
68	как будто бы	2	1
69	не только для	1	1
70	в этом направлении	1	1
71	мы сейчас увидим	1	1
72	это конечно не	2	1
73	но и с	1	1
74	и тот же	2	1
75	нас прежде всего	1	1
76	его отношения к	1	1
77	мы видели что	2	1
78	один и тот	2	1
79	мы говорили что	1	1
80	это потому что	1	1
81	в эту сторону	1	1
82	чем иным как	1	1
83	но тем не	1	1
84	на другом материале	1	1
85	он нисколько не	1	1
86	не чем иным	1	1
87	но и для	1	1
88	но так же	1	1
89	по его мнению	1	1
90	он как бы	1	1
91	а что он	1	1
92	но все же	3	1
93	самом же деле	1	1
94	но и по	1	1
95	на то что	4	1
96	вопрос о том	2	1
97	и больше ничего	1	1
98	кажется что в	1	1
99	и что он	1	1
100	по сравнению со	1	1
101	для того чтобы	1	1
102	в который попадает	1	1
103	в том что	4	1
104	что и в	1	1
105	мы еще не	1	1
106	т д он	1	1
