N	3gram	Bakhtin_sl_1	Morfolog
1	и т д	5	47
2	в этом случае	2	9
3	мы видим что	1	9
4	не может быть	1	8
5	с точки зрения	8	4
6	а также и	1	4
7	с другой стороны	4	4
8	тем не менее	1	4
9	в первом случае	2	3
10	не могут быть	2	3
11	как и в	1	3
12	более или менее	3	2
13	ни одной из	1	2
14	может быть и	1	2
15	то время как	2	2
16	с одной стороны	4	2
17	это не значит	1	2
18	в то время	2	2
19	тем и другим	1	2
20	в большинстве случаев	6	2
21	для того чтобы	1	2
22	в том что	1	2
23	а вовсе не	2	1
24	далеко не исчерпывают	1	1
25	здесь перед нами	1	1
26	это было бы	1	1
27	т д можно	1	1
28	же время и	1	1
29	он может быть	1	1
30	самого начала в	1	1
31	могут быть заменены	1	1
32	и там где	2	1
33	бы они ни	1	1
34	до сих пор	2	1
35	бы то ни	1	1
36	в какой степени	1	1
37	но это не	1	1
38	можно было бы	2	1
39	в противном случае	1	1
40	одно и то	2	1
41	в данном случае	3	1
42	и заставляет его	1	1
43	в первый раз	1	1
44	и то же	2	1
45	не входит в	1	1
46	друг друга могут	1	1
47	перед нами в	1	1
48	во всяком случае	5	1
49	во всех этих	1	1
50	а в сущности	1	1
51	то же время	12	1
52	и не определяют	1	1
53	мы имеем в	1	1
54	те или иные	3	1
55	о том что	1	1
56	если бы мы	1	1
57	но чаще всего	1	1
58	в других случаях	2	1
59	с самого начала	1	1
60	его к своей	1	1
61	той или иной	9	1
62	можно сказать что	1	1
63	или во всяком	2	1
64	они ни были	1	1
65	за тридевять земель	1	1
66	в другом случае	2	1
67	в то же	12	1
68	к тому что	2	1
69	так как во	1	1
70	друг с другом	2	1
71	но в этом	1	1
