N	2gram	Medvedev_S_1	slovoVRo
1	и в	3	39
2	может быть	2	37
3	и его	1	33
4	не только	3	24
5	и не	1	22
6	но и	2	21
7	не может	1	20
8	в этом	5	16
9	все это	7	16
10	так и	1	15
11	в процессе	1	13
12	вовсе не	1	10
13	не в	3	9
14	прежде всего	1	8
15	таким образом	2	8
16	еще не	2	7
17	в него	1	7
18	с ним	1	7
19	никогда не	1	7
20	в его	3	7
21	в этих	1	7
22	и потому	1	7
23	как бы	2	7
24	все эти	1	6
25	все же	1	6
26	как и	1	6
27	но не	1	6
28	в них	1	6
29	в сущности	1	6
30	для нас	3	5
31	и наконец	1	5
32	по себе	1	5
33	это не	1	5
34	только в	2	5
35	в том	5	5
36	один из	1	5
37	одной стороны	1	5
38	остается в	1	5
39	с другой	1	5
40	с одной	1	5
41	конечно не	1	5
42	том что	2	5
43	же время	1	4
44	наконец в	1	4
45	в то	1	4
46	с помощью	1	4
47	в смысле	2	4
48	а в	1	4
49	его в	1	4
50	то же	2	4
51	для этого	1	4
52	по отношению	2	4
53	отношению к	2	4
54	во всяком	1	3
55	из себя	1	3
56	связи с	1	3
57	должна быть	2	3
58	хотя бы	1	3
59	или даже	2	3
60	что в	2	3
61	исторической жизни	2	3
62	истории литературы	10	3
63	между тем	1	3
64	сама по	1	3
65	в чем	1	3
66	у него	1	3
67	перед нами	1	3
68	и как	1	3
69	и затем	1	2
70	но она	1	2
71	в связи	1	2
72	не было	1	2
73	она может	2	2
74	в виде	1	2
75	даже в	1	2
76	мы не	1	2
77	те же	1	2
78	что он	1	2
79	но как	1	2
80	то что	2	2
81	может не	1	2
82	за пределы	2	2
83	они не	1	2
84	это и	2	2
85	именно на	1	2
86	в результате	2	2
87	всяком случае	1	2
88	именно в	1	2
89	далеко не	2	2
90	о том	1	2
91	в области	1	2
92	в данном	1	2
93	и более	1	2
94	его исторической	1	1
95	место в	1	1
96	перейти к	1	1
97	даже не	1	1
98	может служить	1	1
99	тем именно	1	1
100	зависит от	1	1
101	науки о	1	1
102	на тех	1	1
103	него и	1	1
104	невозможно никакое	1	1
105	и должны	1	1
106	вступает в	1	1
107	но именно	1	1
108	в конце	2	1
109	дело не	2	1
110	работы в	1	1
111	в своей	1	1
112	и есть	1	1
113	и только	3	1
114	все то	1	1
115	между собой	1	1
116	мы еще	1	1
117	в таких	1	1
118	он ни	1	1
119	он говорит	1	1
120	этой задаче	1	1
121	на все	1	1
122	по самому	1	1
123	никак не	1	1
124	для изучения	1	1
125	в целом	1	1
126	только как	2	1
127	отнюдь не	1	1
128	ввести в	2	1
129	и о	1	1
130	на основании	1	1
131	новые и	1	1
132	вытекающих из	1	1
133	как только	2	1
134	тем что	1	1
135	ничего не	1	1
136	в каждом	1	1
137	образом в	1	1
138	на первый	1	1
139	в этой	1	1
140	есть процесс	1	1
141	или нет	1	1
142	в мире	1	1
143	и что	2	1
144	лучшем случае	1	1
145	и разрешить	1	1
146	мы понимаем	1	1
147	в наше	1	1
148	в методологии	1	1
149	представить себе	1	1
150	первый план	1	1
151	в частности	2	1
152	это как	1	1
153	слова но	1	1
154	только для	1	1
155	два типа	1	1
156	в систему	1	1
157	и должно	1	1
158	что она	1	1
159	должно было	1	1
160	для наших	1	1
161	в лучшем	1	1
162	к вопросам	1	1
163	литературы и	2	1
164	и по	1	1
165	развития и	1	1
