1	и в	13	25
2	что он	2	22
3	и т	49	20
4	в сказке	19	18
5	т д	47	18
6	может быть	52	17
7	т е	16	16
8	мы имеем	9	14
9	но и	3	13
10	не только	4	13
11	в его	1	12
12	уже не	2	11
13	так как	12	11
14	и не	9	11
15	в этом	13	10
16	тем что	4	10
17	все же	7	10
18	в виде	2	9
19	и его	2	9
20	с другой	8	9
21	его в	4	9
22	героя в	4	9
23	таким образом	20	9
24	том что	3	8
25	мы видим	11	8
26	что мотив	1	8
27	что в	4	8
28	и что	2	8
29	этих случаях	14	8
30	все эти	2	8
31	связи с	11	8
32	на него	3	8
33	с тем	2	8
34	другой стороны	4	8
35	потому что	5	7
36	при помощи	8	7
37	одной стороны	2	7
38	и здесь	6	7
39	в частности	2	7
40	в качестве	7	7
41	то что	5	7
42	а затем	8	7
43	во время	6	7
44	как и	4	7
45	только в	2	7
46	с одной	2	7
47	но это	3	7
48	о том	2	7
49	представляет собой	17	7
50	этом случае	9	7
51	змея и	4	6
52	могут быть	15	6
53	не совсем	1	6
54	в животное	1	6
55	или в	5	6
56	этот мотив	1	6
57	в нее	2	6
58	в мифах	1	6
59	себя в	2	6
60	в том	6	6
61	не в	1	6
62	что и	8	6
63	прежде всего	9	6
64	не может	17	6
65	как в	4	6
66	там где	4	6
67	в этих	16	6
68	это не	6	6
69	убивает его	2	6
70	и действительно	1	5
71	входит в	3	5
72	что это	1	5
73	для нас	1	5
74	змей и	2	5
75	в море	5	5
76	например в	1	5
77	мы увидим	5	5
78	с этим	14	5
79	как мы	4	5
80	здесь мы	1	5
81	в него	1	5
82	в образе	5	5
83	не будем	1	5
84	но не	6	5
85	в иное	6	5
86	но все	3	5
87	ясно что	2	5
88	сказке герой	1	5
89	показывает что	1	5
90	так же	4	5
91	видим что	10	5
92	мы не	5	5
93	змей в	1	4
94	наряду с	5	4
95	того как	1	4
96	в которой	1	4
97	иное царство	6	4
98	то же	9	4
99	все это	1	4
100	и тем	1	4
101	тем не	4	4
102	он не	3	4
103	мы должны	3	4
104	же можно	2	4
105	в пределах	3	4
106	мы уже	2	4
107	и конь	2	4
108	в связи	9	4
109	все еще	1	4
110	а именно	1	4
111	не всегда	9	4
112	в некоторых	4	4
113	не менее	5	4
114	за тридевять	1	4
115	в америке	1	4
116	герой в	2	4
117	с другими	1	4
118	садится на	1	4
119	за ним	1	4
120	когда герой	2	4
121	раньше чем	4	4
122	сюда же	5	3
123	имеется и	1	3
124	в этой	1	3
125	можно бы	2	3
126	того чтобы	3	3
127	к нему	3	3
128	состоит из	1	3
129	тридевять земель	1	3
130	этот случай	6	3
131	на гору	1	3
132	ему в	1	3
133	то это	4	3
134	героя и	3	3
135	встречается в	1	3
136	время боя	2	3
137	что его	4	3
138	и все	1	3
139	его к	1	3
140	герой например	1	3
141	сказки в	1	3
142	и др	12	3
143	их в	1	3
144	герой не	2	3
145	его не	1	3
146	или же	7	3
147	по лестнице	1	3
148	друг друга	3	3
149	в форме	6	3
150	что герой	1	3
151	и как	4	3
152	и пр	40	3
153	к заключению	1	3
154	но оно	1	3
155	в ином	2	3
156	после смерти	1	3
157	в таких	2	3
158	никто не	2	3
159	можно наблюдать	5	3
160	а в	6	3
161	в данном	1	3
162	если в	4	3
163	на этом	4	3
164	мы опять	1	3
165	формы борьбы	1	3
166	заключению что	1	3
167	дает ему	1	3
168	представляют собой	10	3
169	по воздуху	3	3
170	увидим ниже	4	3
171	в целом	3	3
172	в то	3	3
173	и начинает	1	3
174	нет необходимости	7	3
175	в другой	1	3
176	для того	2	3
177	см гл	1	3
178	но эти	2	3
179	всех людей	1	3
180	но мы	1	3
181	и с	1	3
182	что при	1	3
183	со змеем	3	3
184	несмотря на	4	2
185	связанные с	1	2
186	в различных	2	2
187	сказки и	1	2
188	как таковые	3	2
189	перед боем	2	2
190	друг с	1	2
191	в другую	1	2
192	если бы	3	2
193	а не	9	2
194	силу и	1	2
195	же в	3	2
196	сказка знает	2	2
197	у царя	1	2
198	образом мы	5	2
199	е на	1	2
200	но так	1	2
201	на которой	1	2
202	животных и	2	2
203	здесь как	1	2
204	но он	1	2
205	на съедение	2	2
206	с другом	1	2
207	других форм	1	2
208	в формах	1	2
209	точки зрения	4	2
210	мы можем	3	2
211	здесь можно	5	2
212	перед нами	11	2
213	вопрос о	7	2
214	если сравнить	1	2
215	из дому	2	2
216	к этому	2	2
217	или на	2	2
218	и для	3	2
219	а если	4	2
220	его головы	1	2
221	сказать что	2	2
222	один из	5	2
223	оказывается что	1	2
224	как бы	5	2
225	то в	2	2
226	ее за	1	2
227	индии в	1	2
228	другой сказке	1	2
229	и по	3	2
230	что мы	2	2
231	одна из	2	2
232	на корабле	1	2
233	в сказках	1	2
234	из нее	1	2
235	или как	1	2
236	герой переносится	1	2
237	превращаются в	1	2
238	другую страну	1	2
239	но есть	2	2
240	что за	1	2
241	она не	1	2
242	он возвращается	1	2
243	вовсе не	4	2
244	даже в	1	2
245	есть на	1	2
246	во сне	2	2
247	об этом	4	2
248	становится понятным	1	2
249	ничего не	4	2
250	сказки то	2	2
251	наблюдать что	4	2
252	это значит	1	2
253	во всех	5	2
254	с этого	2	2
255	переносится в	1	2
256	по существу	8	2
257	такое же	1	2
258	это было	2	2
259	до этого	1	2
260	таких случаях	2	2
261	его и	2	2
262	в это	1	2
263	себя проглотить	1	2
264	в других	4	2
265	отправляется на	1	2
266	героем и	1	2
267	данном случае	1	2
268	летучий корабль	4	2
269	на то	1	2
270	без всяких	1	2
271	он бросает	1	2
272	за язык	1	2
273	за ней	2	2
274	на спине	2	2
275	до сих	1	2
276	из двух	2	2
277	и змей	3	2
278	б в	2	2
279	бросается в	1	2
280	что от	1	2
281	и затем	4	2
282	находится в	1	2
283	сказке о	2	2
284	по отношению	4	2
285	встречается и	2	2
286	другой пример	2	2
287	помощи которой	2	2
288	одним из	1	2
289	так например	2	2
290	роль в	1	2
291	камни и	1	2
292	из которых	3	2
293	бы мы	1	2
294	на берег	2	2
295	о которых	1	2
296	это уже	3	2
297	как таковое	3	2
298	на коне	5	2
299	и этим	7	2
300	следует за	2	2
301	а на	2	2
302	отношению к	4	2
303	то здесь	3	2
304	самом деле	3	2
305	он может	1	2
306	и улетает	1	2
307	она иногда	1	2
308	представляли собой	1	2
309	уже только	1	2
310	на птице	2	2
311	своих детей	1	2
312	сих пор	1	2
313	три дня	1	2
314	тех же	4	2
315	и при	2	2
316	значит что	3	2
317	в течение	1	2
318	таким же	1	2
319	их на	2	2
320	того что	2	2
321	в бочку	1	2
322	еще в	1	2
323	со стороны	1	2
324	наше рассмотрение	1	2
325	означает что	2	2
326	и герой	1	2
327	но для	2	2
328	из воды	1	2
329	он же	1	2
330	из них	3	2
331	имеем здесь	1	2
332	с большой	1	2
333	о чем	1	2
334	с этой	1	2
335	одновременно с	1	2
336	в свое	2	2
337	можно показать	2	2
338	на одном	1	2
339	можно сказать	2	2
340	том как	1	2
341	ли он	1	2
