N	2gram	Propp_Russ_1	Komedia
1	iv в	1	34
2	и в	36	26
3	в г	4	17
4	и не	6	14
5	и его	1	12
6	к тому	4	12
7	так и	7	12
8	тому же	1	11
9	может быть	8	11
10	в том	17	11
11	в этом	12	10
12	но и	16	10
13	том что	19	9
14	если бы	1	9
15	вместе с	10	9
16	что в	19	9
17	было бы	1	8
18	и на	10	7
19	не только	22	7
20	на себя	2	7
21	что и	7	7
22	из них	8	7
23	ли не	1	7
24	еще не	4	6
25	в своем	3	6
26	о том	8	6
27	в нем	2	6
28	в доме	2	6
29	таким образом	6	6
30	в то	1	6
31	потому что	10	6
32	и здесь	2	6
33	в двух	1	6
34	наряду с	1	6
35	во время	14	6
36	то что	6	6
37	в которой	1	5
38	с его	1	5
39	что он	1	5
40	так что	2	5
41	в истории	1	5
42	независимо от	2	5
43	с этим	2	5
44	а затем	1	5
45	ни в	1	5
46	на основании	1	5
47	с тем	8	5
48	себя внимание	1	5
49	и с	2	5
50	один из	8	5
51	в качестве	3	5
52	обращает на	1	5
53	к этому	4	5
54	б и	1	4
55	уже в	1	4
56	хотя и	2	4
57	что это	3	4
58	в целом	2	4
59	из этих	4	4
60	в них	6	4
61	как и	10	4
62	в этих	3	4
63	место в	1	4
64	в древней	2	4
65	тому что	4	4
66	не менее	3	4
67	не по	1	4
68	судя по	2	4
69	это слово	1	4
70	как будто	5	4
71	как мы	10	4
72	в в	2	4
73	что у	2	4
74	сразу же	1	4
75	можно было	1	4
76	еще в	4	4
77	его в	1	4
78	между тем	7	4
79	комедии и	1	4
80	в его	2	4
81	в середине	3	4
82	только в	4	4
83	ii в	2	4
84	до нас	1	4
85	же в	1	4
86	в начале	1	4
87	так как	15	4
88	у него	2	4
89	на этот	3	4
90	что для	1	4
91	в руках	1	4
92	в частности	2	4
93	как это	8	4
94	все же	5	4
95	и для	2	4
96	точки зрения	3	4
97	например в	2	3
98	тех же	1	3
99	то же	3	3
100	в их	4	3
101	надо было	1	3
102	вопрос о	1	3
103	похожи на	1	3
104	того же	1	3
105	это время	2	3
106	в ней	2	3
107	во всех	4	3
108	как правило	3	3
109	но не	2	3
110	по отношению	1	3
111	как в	5	3
112	что касается	1	3
113	но в	2	3
114	в этой	1	3
115	как он	2	3
116	но все	3	3
117	в каждом	2	3
118	по всему	1	3
119	но если	1	3
120	не имеет	6	3
121	того как	5	3
122	связи с	4	3
123	что на	4	3
124	и сам	1	3
125	в поле	3	3
126	то время	1	3
127	в образе	2	3
128	и поэтому	2	3
129	к нему	1	3
130	после смерти	1	3
131	к их	1	3
132	ответ на	1	3
133	мы знаем	1	3
134	и их	4	3
135	представить себе	1	3
136	мы можем	2	3
137	тем что	4	3
138	возможно что	1	3
139	не было	2	3
140	нашего века	1	3
141	так называемой	3	3
142	о чем	3	3
143	в связи	4	3
144	из которых	1	3
145	в тех	4	3
146	отношению к	1	3
147	все это	6	3
148	или в	2	3
149	для нас	6	3
150	интерес к	2	3
151	а в	9	3
152	в период	1	3
153	ко времени	3	3
154	жизни и	1	3
155	того времени	1	3
156	по поводу	1	3
157	не может	4	3
158	как известно	2	2
159	и т	10	2
160	а из	1	2
161	только потому	1	2
162	в первом	1	2
163	и за	1	2
164	мы имеем	4	2
165	мы не	6	2
166	из самых	1	2
167	говорить о	1	2
168	не вполне	1	2
169	в виду	1	2
170	и был	1	2
171	в народном	1	2
172	он был	2	2
173	под названием	1	2
174	и другие	13	2
175	в до	1	2
176	если в	3	2
177	отличие от	1	2
178	тут же	2	2
179	отнюдь не	2	2
180	что именно	2	2
181	целый ряд	1	2
182	что по	4	2
183	от этого	1	2
184	с той	1	2
185	в нашем	2	2
186	по которым	1	2
187	ни одна	1	2
188	что она	2	2
189	после этого	4	2
190	он не	1	2
191	в силу	2	2
192	на этом	3	2
193	же не	2	2
194	об этом	9	2
195	связанных с	1	2
196	это не	10	2
197	в это	3	2
198	как видно	1	2
199	не всегда	1	2
200	чем в	2	2
201	в развитии	1	2
202	в один	2	2
203	не более	1	2
204	всяком случае	1	2
205	представление о	3	2
206	в отличие	1	2
207	которые в	1	2
208	одна из	4	2
209	в одном	3	2
210	место во	1	2
211	что их	1	2
212	не является	1	2
213	с другом	1	2
214	в духе	1	2
215	содержанию и	1	2
216	и это	1	2
217	как не	2	2
218	так в	4	2
219	и что	4	2
220	с собой	4	2
221	быту и	1	2
222	общей форме	1	2
223	или на	3	2
224	на что	2	2
225	после того	2	2
